YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1969,9.9,4,44.8,4.5,0,0,0,0,0,0,77.4,45.4,186.1
1970,131.2,119.8,21.9,0,0,0,0,0,0,0,0,126.3,399.2
1971,107.7,38.2,0,0,0,0,0,0,0,0,0,9.4,155.3
1973,108.8,130.5,44.5,12.3,0,0,0,0,0,0,0,74,370.1
1974,191,,,,,0,0,0,0,0,51.8,66.8,
1975,59.8,73,17,0,0,0,0,0,0,0,0,45.8,195.7
1976,40.6,51.2,75.1,0,0,0,0,0,0,0,0,0,166.9
1977,16.7,83.1,56.7,17,0,0,0,0,0,0,0,19.3,192.9
1978,83.4,73.6,90.9,19.8,0,0,0,0,0,0,0,21.5,289.2
1979,162.7,29.8,0,0,0,0,0,0,0,0,0,10.3,202.8
1980,9.3,30.7,0,0,0,0,0,0,0,0,0,0,40
1981,57.8,72.3,46.5,7,0,0,0,0,0,0,0,4.7,188.3
1982,117.2,81.9,55.6,0,0,0,0,0,0,0,47.4,67.2,369.2
1983,88.5,74.2,35.2,3.7,0,0,0,0,0,0,9,9.4,219.9
1984,9.7,68.8,5.9,0,0,0,0,,,,,,
