YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1956,,,,,,,,,,,,0,
1959,,,,0,,,,,0,0,0,0,
1962,,0,0,,,,,,,,,0,
1963,0,0,0,0,,,,,,0,0,0,
1965,,,,,,,,,0,,,0,
1967,,,,0,,,,,,0,,,
1968,0,0,0,,,,,,,,0,0,
1969,0,26.2,0,7.7,174.8,152.6,76.2,103.1,79.7,0,0,0,620.3
1970,0,0,0,0,115.8,166.4,181.2,221.4,159.4,74.4,20.7,0,939.3
1971,0,12.3,16.6,0,91,105.9,88.5,193.9,130.7,107.4,9.5,22.1,777.9
1972,0,0,,,,,,,,0,0,0,
1973,0,0,0,0,20.4,185.3,81.1,112.1,203.2,3.2,5.9,0,611.2
1974,0,,,,,111.7,178.9,126.6,110.7,8.2,0,0,
1975,0,0,30.9,5.9,103.9,228.7,92.3,158.3,87.7,68.7,52.2,0,828.6
1976,48.4,0,0,0,93.9,212,173,100.2,155.4,11.9,27.2,4.2,826.2
1977,0,0,0,0,166.3,223.5,178.7,42.6,97.8,65.5,0,0,774.4
1978,0,0,0,92.2,69.1,178.9,280.5,109.6,98.7,0,71.1,0,900.1
1979,0,0,56.9,84.7,102.3,117.9,277.2,216.8,128.5,68.1,30.5,0,1082.9
1980,0,0,53.9,45.9,86.4,119.5,204.8,88.2,47.4,0,0,0,646.1
1981,0,0,0,22.2,62.1,168.3,146.2,112.3,120.4,0,18.5,0,650
1982,0,0,0,57.4,95.1,67.6,111.8,23,46.7,59.2,0,0,460.8
1983,0,0,0,7.9,67.5,170.2,38.9,37.9,55,137.2,0.2,16.9,531.7
1984,0,0,49,6.7,88.9,99,160.9,,,,,,
