YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1932,,,,,,,,,,,68.1,66.3,
1933,83.1,143,117.9,135.9,259.6,141,105.4,190.2,160.8,63.5,121.7,94,1615.9
1934,67.1,207.8,72.4,127,198.9,195.3,195.6,110.2,83.6,64.8,70.6,77.2,1470.4
1935,35.6,165.9,195.8,120.7,151.4,221,223.8,173,62.2,92.2,213.9,38.4,1693.7
1936,214.9,259.6,70.1,80.8,97.3,77.5,198.1,240.5,130.8,158.8,103.4,55.6,1687.3
1937,183.4,134.4,64.3,162.6,275.6,155.4,263.9,51.8,129,82.3,112.3,55.1,1670.1
1938,166.1,259.8,8.6,151.9,111.5,167.4,322.1,154.7,172.2,55.9,94.7,225.3,1890.3
1939,24.6,225.3,3,103.6,118.4,251.5,345.2,197.6,196.9,131.3,34,229.6,1861.1
1940,201.2,149.9,72.4,73.9,196.9,126.2,73.9,91.7,75.9,102.6,153.9,59.9,1378.5
1941,190,85.6,211.8,71.6,87.9,212.6,165.9,237,81.5,260.9,90.4,132.6,1827.8
1942,72.9,28.4,75.7,100.6,212.1,26.7,201.4,208,168.4,138.4,43.4,124.7,1400.8
1943,45.5,75.4,36.6,113.5,103.6,282.2,236.2,126,175.5,116.3,57.2,117.1,1485.1
1944,57.2,129.3,136.9,116.8,89.7,224.5,118.1,112.3,113.8,194.3,55.4,133.1,1481.3
1945,198.4,93,110.2,106.4,177.8,156,169.2,141.7,97.3,102.4,18.8,65.3,1436.4
1946,18.8,5.1,124,179.1,185.7,81.5,169.7,230.4,133.4,113,153.9,103.4,1497.8
1947,65,59.4,122.2,197.6,78.5,205.5,213.1,109,119.9,192.5,93.2,103.9,1559.8
1948,79.2,22.6,177.3,160,278.1,141.5,238.5,101.6,126.5,253.7,205.7,91.7,1876.6
1949,79.8,119.9,76.7,143,172.7,203.2,163.6,93.7,67.1,102.9,109,84.6,1416.1
1950,15.7,70.4,44.2,164.1,61,264.9,80.5,118.1,57.9,182.1,177.8,75.2,1311.9
1951,116.8,101.9,59.2,234.7,149.6,121.2,194.8,232.2,23.4,155.4,192,122.9,1704.1
1952,68.3,199.9,39.4,79,176.5,260.1,108.2,212.6,126.7,165.1,261.9,94.7,1792.5
1953,180.6,72.1,122.7,185.9,229.9,214.9,240,245.1,72.1,117.6,65.8,64.5,1811.3
1954,15,58.9,248.4,203.2,275.6,150.6,151.4,164.8,92.5,64,76.5,104.9,1605.8
1955,84.6,17.5,143,45.5,172.2,258.6,106.9,158.2,123.2,160.3,110.2,48.8,1429
1956,122.9,103.1,46,348,119.1,357.1,143,147.1,162.1,180.1,164.1,122.9,2015.5
1957,7.6,27.9,121.7,44.5,157.5,117.6,78.7,96.3,47.2,158,103.9,92.2,1053.1
1958,47.2,318.8,88.1,89.7,218.4,73.4,219.7,112,132.3,94,127.8,211.3,1732.8
1959,170.9,89.9,96,141,152.9,58.9,210.1,202.9,62,71.9,57.9,152.9,1467.3
1960,27.7,207.5,84.6,137.4,153.2,213.1,162.3,122.2,218.7,135.9,91.2,100.8,1654.6
1961,130.6,60.7,54.1,140,165.9,372.6,235,173,165.9,109.7,44.7,89.4,1741.4
1962,40.9,52.1,182.1,215.9,201.9,231.9,146.1,168.9,141,237,165.1,93,1875.9
1963,68.1,94,130,125,129,183.9,124,109,135.9,39.9,106.9,83.1,1328.8
1964,91.9,31.5,133.1,55.1,187.2,195.6,251.5,241.6,180.8,182.4,82.3,116.1,1749
1965,179.1,135.1,158,127,137.9,182.1,204,347,62,130,153.9,114,1930.1
1966,151.9,253,88.1,101.6,189.5,198.6,167.4,154.2,105.9,47.2,149.4,119.6,1726.4
1967,142,254,114,59.9,98,88.9,118.1,166.1,143,30,329.9,180.1,1724
1968,47,93,87.1,297.9,257,230.1,109,253,135.9,161,109,128,1908
1969,93,180.9,18.5,176.6,206.4,179,95,144.5,136.7,57.3,52.8,149.1,1489.8
1970,49.1,25.7,153,82.5,193.3,192.8,211,260.7,232.6,177.8,74.5,40,1693
1971,54.2,198.8,80.8,88.2,147.9,127.4,133.4,238,203.4,188,135.3,92.8,1688.2
1972,55,49,290,152,247,227,179,172,94,104,77,67,1713
1973,61.4,6.8,74.7,84.3,141.9,208,114,166.3,262.9,88.9,128.5,61.9,1399.6
1974,6.4,,,147,120.7,140,214.9,173.2,183.2,104.9,25.1,107.2,
1975,108.8,51.6,192.5,118.2,150,248.9,124.9,200,155.4,159.5,166.4,70.4,1746.6
1976,225.7,69.6,61.2,108.2,169.2,241.8,200.9,151.3,221,110.8,173.5,130.5,1863.7
1977,123.1,53.4,78,118.8,242.4,250.1,210.8,88.4,171,146.1,94.1,161.4,1737.6
1978,29,79.4,42.8,255.8,100.8,214,308.8,153.1,166.8,84,165.1,142,1741.6
1979,17.5,161.5,187.5,154,142.7,140,305.8,255.6,192.2,191,126.5,144.8,2019.1
1980,137.6,129.7,163.3,133.8,118,151.2,229,130.8,124.6,65.3,167.3,88.4,1639
1981,111,38,78,164,102.8,202.9,178,155.1,201.6,62.8,149.3,87.1,1530.6
1982,58.8,127,31.8,224.6,133.1,96.3,143.3,65,116.5,164.6,41,87.1,1289.1
1983,86.4,39.9,70.4,161,111.3,194.8,55.5,83.1,142.8,229,48.8,202.5,1425.5
1984,115.1,53.4,248.8,67,123.8,118.1,183.5,,,,,,
