PERIOD,YEAR,STATS_VALUE
December,1956,0
April,1959,0
September,1959,0
October,1959,0
November,1959,0
December,1959,0
February,1962,0
March,1962,0
December,1962,0
January,1963,0
February,1963,0
March,1963,0
April,1963,0
October,1963,0
November,1963,0
December,1963,0
September,1965,0
December,1965,0
April,1967,0
October,1967,0
January,1968,0
February,1968,0
March,1968,0
November,1968,0
December,1968,0
January,1969,0
February,1969,26.2
March,1969,0
April,1969,7.7
May,1969,174.8
June,1969,152.6
July,1969,76.2
August,1969,103.1
September,1969,79.7
October,1969,0
November,1969,0
December,1969,0
January,1970,0
February,1970,0
March,1970,0
April,1970,0
May,1970,115.8
June,1970,166.4
July,1970,181.2
August,1970,221.4
September,1970,159.4
October,1970,74.4
November,1970,20.7
December,1970,0
January,1971,0
February,1971,12.3
March,1971,16.6
April,1971,0
May,1971,91
June,1971,105.9
July,1971,88.5
August,1971,193.9
September,1971,130.7
October,1971,107.4
November,1971,9.5
December,1971,22.1
January,1972,0
February,1972,0
October,1972,0
November,1972,0
December,1972,0
January,1973,0
February,1973,0
March,1973,0
April,1973,0
May,1973,20.4
June,1973,185.3
July,1973,81.1
August,1973,112.1
September,1973,203.2
October,1973,3.2
November,1973,5.9
December,1973,0
January,1974,0
June,1974,111.7
July,1974,178.9
August,1974,126.6
September,1974,110.7
October,1974,8.2
November,1974,0
December,1974,0
January,1975,0
February,1975,0
March,1975,30.9
April,1975,5.9
May,1975,103.9
June,1975,228.7
July,1975,92.3
August,1975,158.3
September,1975,87.7
October,1975,68.7
November,1975,52.2
December,1975,0
January,1976,48.4
February,1976,0
March,1976,0
April,1976,0
May,1976,93.9
June,1976,212
July,1976,173
August,1976,100.2
September,1976,155.4
October,1976,11.9
November,1976,27.2
December,1976,4.2
January,1977,0
February,1977,0
March,1977,0
April,1977,0
May,1977,166.3
June,1977,223.5
July,1977,178.7
August,1977,42.6
September,1977,97.8
October,1977,65.5
November,1977,0
December,1977,0
January,1978,0
February,1978,0
March,1978,0
April,1978,92.2
May,1978,69.1
June,1978,178.9
July,1978,280.5
August,1978,109.6
September,1978,98.7
October,1978,0
November,1978,71.1
December,1978,0
January,1979,0
February,1979,0
March,1979,56.9
April,1979,84.7
May,1979,102.3
June,1979,117.9
July,1979,277.2
August,1979,216.8
September,1979,128.5
October,1979,68.1
November,1979,30.5
December,1979,0
January,1980,0
February,1980,0
March,1980,53.9
April,1980,45.9
May,1980,86.4
June,1980,119.5
July,1980,204.8
August,1980,88.2
September,1980,47.4
October,1980,0
November,1980,0
December,1980,0
January,1981,0
February,1981,0
March,1981,0
April,1981,22.2
May,1981,62.1
June,1981,168.3
July,1981,146.2
August,1981,112.3
September,1981,120.4
October,1981,0
November,1981,18.5
December,1981,0
January,1982,0
February,1982,0
March,1982,0
April,1982,57.4
May,1982,95.1
June,1982,67.6
July,1982,111.8
August,1982,23
September,1982,46.7
October,1982,59.2
November,1982,0
December,1982,0
January,1983,0
February,1983,0
March,1983,0
April,1983,7.9
May,1983,67.5
June,1983,170.2
July,1983,38.9
August,1983,37.9
September,1983,55
October,1983,137.2
November,1983,0.2
December,1983,16.9
January,1984,0
February,1984,0
March,1984,49
April,1984,6.7
May,1984,88.9
June,1984,99
July,1984,160.9
