PERIOD,YEAR,STATS_VALUE
November,1932,68.1
December,1932,66.3
January,1933,83.1
February,1933,143
March,1933,117.9
April,1933,135.9
May,1933,259.6
June,1933,141
July,1933,105.4
August,1933,190.2
September,1933,160.8
October,1933,63.5
November,1933,121.7
December,1933,94
January,1934,67.1
February,1934,207.8
March,1934,72.4
April,1934,127
May,1934,198.9
June,1934,195.3
July,1934,195.6
August,1934,110.2
September,1934,83.6
October,1934,64.8
November,1934,70.6
December,1934,77.2
January,1935,35.6
February,1935,165.9
March,1935,195.8
April,1935,120.7
May,1935,151.4
June,1935,221
July,1935,223.8
August,1935,173
September,1935,62.2
October,1935,92.2
November,1935,213.9
December,1935,38.4
January,1936,214.9
February,1936,259.6
March,1936,70.1
April,1936,80.8
May,1936,97.3
June,1936,77.5
July,1936,198.1
August,1936,240.5
September,1936,130.8
October,1936,158.8
November,1936,103.4
December,1936,55.6
January,1937,183.4
February,1937,134.4
March,1937,64.3
April,1937,162.6
May,1937,275.6
June,1937,155.4
July,1937,263.9
August,1937,51.8
September,1937,129
October,1937,82.3
November,1937,112.3
December,1937,55.1
January,1938,166.1
February,1938,259.8
March,1938,8.6
April,1938,151.9
May,1938,111.5
June,1938,167.4
July,1938,322.1
August,1938,154.7
September,1938,172.2
October,1938,55.9
November,1938,94.7
December,1938,225.3
January,1939,24.6
February,1939,225.3
March,1939,3
April,1939,103.6
May,1939,118.4
June,1939,251.5
July,1939,345.2
August,1939,197.6
September,1939,196.9
October,1939,131.3
November,1939,34
December,1939,229.6
January,1940,201.2
February,1940,149.9
March,1940,72.4
April,1940,73.9
May,1940,196.9
June,1940,126.2
July,1940,73.9
August,1940,91.7
September,1940,75.9
October,1940,102.6
November,1940,153.9
December,1940,59.9
January,1941,190
February,1941,85.6
March,1941,211.8
April,1941,71.6
May,1941,87.9
June,1941,212.6
July,1941,165.9
August,1941,237
September,1941,81.5
October,1941,260.9
November,1941,90.4
December,1941,132.6
January,1942,72.9
February,1942,28.4
March,1942,75.7
April,1942,100.6
May,1942,212.1
June,1942,26.7
July,1942,201.4
