PERIOD,YEAR,STATS_VALUE
Annual,1947,25
Annual,1948,23
Annual,1949,16
Annual,1950,41
Annual,1951,57
Annual,1952,34
Annual,1953,26
Annual,1954,30
Annual,1955,29
Annual,1956,16
Annual,1957,22
Annual,1958,22
Annual,1959,21
Annual,1960,20
Annual,1961,24
Annual,1962,13
Annual,1963,31
Annual,1964,16
Annual,1965,40
Annual,1966,44
Annual,1967,43
Annual,1968,23
Annual,1969,40
Annual,1970,37
Annual,1971,31
Annual,1972,44
Annual,1973,38
Annual,1974,31
Annual,1975,32
Annual,1976,28
Annual,1977,30
Annual,1979,18
Annual,1981,33
Annual,1982,35
