PERIOD,YEAR,STATS_VALUE
Annual,1947,-5.1
Annual,1948,-5.7
Annual,1949,-5.5
Annual,1950,-5.6
Annual,1951,-6.3
Annual,1952,-5.2
Annual,1953,-6.2
Annual,1954,-6.9
Annual,1955,-5.3
Annual,1956,-4.6
Annual,1957,-5.1
Annual,1958,-5.3
Annual,1959,-4.7
Annual,1960,-5.1
Annual,1961,-4
Annual,1962,-5.3
Annual,1963,-4.8
Annual,1964,-4.6
Annual,1965,-4.9
Annual,1966,-5.8
Annual,1967,-6.6
Annual,1968,-4.9
Annual,1969,-7.1
Annual,1970,-4.9
Annual,1971,-4
Annual,1972,-5.5
Annual,1973,-11.7
Annual,1974,-5.5
Annual,1975,-5.5
Annual,1976,-6.5
Annual,1977,-3.7
Annual,1978,-5.9
Annual,1979,-5.8
Annual,1981,-4.6
Annual,1982,-6.9
Annual,1983,-5.3
