PERIOD,YEAR,STATS_VALUE
Annual,1947,18.3
Annual,1948,18.6
Annual,1949,18.3
Annual,1950,19.1
Annual,1952,18.1
Annual,1954,19
Annual,1957,18.5
Annual,1958,18.7
Annual,1959,18.3
Annual,1960,18.3
Annual,1961,18.7
Annual,1962,19.2
Annual,1963,18.4
Annual,1964,18
Annual,1965,17.9
Annual,1966,18
Annual,1967,17.9
Annual,1968,17.9
Annual,1969,18.1
Annual,1970,19.4
Annual,1971,19.2
Annual,1972,18.2
Annual,1973,19.1
Annual,1974,19.5
Annual,1975,18.9
Annual,1976,18.1
Annual,1977,18.2
Annual,1978,19.4
Annual,1979,18.9
Annual,1981,19
Annual,1982,18.4
Annual,1983,18.5
