PERIOD,YEAR,STATS_VALUE
Annual,1947,8.4
Annual,1948,8.8
Annual,1949,8.4
Annual,1950,8.4
Annual,1951,8.1
Annual,1952,8.7
Annual,1953,9.3
Annual,1954,9.1
Annual,1955,9.7
Annual,1956,9.7
Annual,1957,8.7
Annual,1958,9.2
Annual,1959,8.6
Annual,1960,8.6
Annual,1961,8.6
Annual,1962,9.5
Annual,1963,8.4
Annual,1964,8.6
Annual,1965,8.2
Annual,1966,8.6
Annual,1967,8.8
Annual,1968,9
Annual,1969,8.5
Annual,1970,9.2
Annual,1971,9.8
Annual,1972,8.8
Annual,1973,9.5
Annual,1974,9.6
Annual,1975,9.1
Annual,1976,8.6
Annual,1977,8.3
Annual,1978,9.3
Annual,1979,9.6
Annual,1980,9
Annual,1981,10.1
Annual,1982,8
