PERIOD,YEAR,STATS_VALUE
Annual,1947,12.5
Annual,1948,12.7
Annual,1949,12.8
Annual,1950,12.6
Annual,1951,12.7
Annual,1953,13
Annual,1954,12.9
Annual,1955,13.3
Annual,1956,13.7
Annual,1957,13
Annual,1958,13.3
Annual,1959,13.3
Annual,1960,12.8
Annual,1961,12.9
Annual,1962,13.5
Annual,1963,12.6
Annual,1964,12.8
Annual,1965,12.5
Annual,1966,12.8
Annual,1967,12.9
Annual,1968,12.9
Annual,1969,12.8
Annual,1970,13.5
Annual,1971,13.7
Annual,1972,13
Annual,1973,13.4
Annual,1974,13.5
Annual,1975,13.4
Annual,1976,12.6
Annual,1977,12.6
Annual,1979,13.6
Annual,1980,13.2
Annual,1981,13.8
Annual,1982,12.8
Annual,1983,13
