PERIOD,YEAR,STATS_VALUE
Annual,1947,3.9
Annual,1948,4.2
Annual,1949,3.5
Annual,1950,3.9
Annual,1952,3.8
Annual,1954,4.2
Annual,1957,4.1
Annual,1958,4.3
Annual,1959,4.4
Annual,1960,3.9
Annual,1961,4.1
Annual,1962,4
Annual,1963,4.2
Annual,1964,3.8
Annual,1965,4.2
Annual,1966,4.4
Annual,1967,4.2
Annual,1968,4.2
Annual,1969,4.1
Annual,1970,4.4
Annual,1971,4
Annual,1972,4.2
Annual,1973,4.1
Annual,1974,4.3
Annual,1975,4.3
Annual,1976,4
Annual,1977,3.9
Annual,1978,4.3
Annual,1979,4
Annual,1981,4.4
Annual,1982,4.2
