PERIOD,YEAR,STATS_VALUE
Annual,1947,454.2
Annual,1948,637.4
Annual,1949,324.8
Annual,1950,269.8
Annual,1951,350
Annual,1952,537.5
Annual,1953,639.1
Annual,1954,427.7
Annual,1955,393.6
Annual,1956,916.3
Annual,1957,332.7
Annual,1958,514.9
Annual,1959,422.9
Annual,1960,458.1
Annual,1961,408.1
Annual,1962,729.3
Annual,1963,288.5
Annual,1964,685.6
Annual,1965,459
Annual,1966,460.5
Annual,1967,475.3
Annual,1968,561.1
Annual,1969,285.5
Annual,1970,500.6
Annual,1971,563.4
Annual,1972,523.3
Annual,1973,349.2
Annual,1974,430.8
Annual,1975,453.3
Annual,1976,567.7
Annual,1977,501.9
Annual,1978,415.2
Annual,1979,562
Annual,1980,398.7
Annual,1981,439.3
Annual,1982,190.9
Annual,1983,332.5
