YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1946,,,,,,,,,,2,2,0,
1947,0,0,0,0,3,8,4,7,3,0,0,0,25
1948,0,0,0,1,0,9,3,7,3,0,0,0,23
1949,0,0,1,1,2,2,5,3,2,0,0,0,16
1950,0,0,0,1,3,8,12,11,6,0,0,0,41
1951,0,0,0,0,8,11,12,11,11,4,0,0,57
1952,0,0,1,0,3,3,18,4,5,0,0,0,34
1953,0,0,0,0,5,3,11,6,1,0,0,0,26
1954,0,0,0,3,2,6,7,5,6,1,0,0,30
1955,0,0,0,0,1,11,11,4,2,0,0,0,29
1956,0,0,0,0,0,2,5,5,3,1,0,0,16
1957,0,0,0,0,0,4,14,4,0,0,0,0,22
1958,0,0,0,0,0,3,9,6,4,0,0,0,22
1959,0,0,0,0,0,10,5,5,0,1,0,0,21
1960,0,0,0,0,2,4,10,4,0,0,0,0,20
1961,0,0,0,0,2,4,6,9,2,0,1,0,24
1962,0,0,0,0,0,3,6,3,1,0,0,0,13
1963,0,0,0,1,6,7,6,8,2,0,1,0,31
1964,0,0,0,1,7,3,1,1,2,1,0,0,16
1965,0,0,0,0,3,9,11,7,3,7,0,0,40
1966,0,0,0,0,5,6,11,14,6,0,2,0,44
1967,0,0,0,1,4,19,12,2,5,0,0,0,43
1968,0,0,0,0,2,4,8,2,5,2,0,0,23
1969,0,0,0,2,3,7,12,10,2,3,1,0,40
1970,0,0,0,0,8,9,6,9,3,1,1,0,37
1971,0,0,0,0,5,0,13,6,4,0,3,0,31
1972,0,0,0,0,2,16,6,13,5,2,0,0,44
1973,0,0,0,0,2,10,16,6,2,2,0,0,38
1974,0,0,1,3,3,10,5,4,2,2,1,0,31
1975,0,0,0,0,0,10,13,6,2,0,1,0,32
1976,0,0,0,0,7,12,4,1,2,2,0,0,28
1977,0,0,0,0,9,4,2,6,9,0,0,0,30
1978,0,0,1,0,9,6,8,,1,2,0,0,
1979,0,0,0,0,7,2,5,1,3,0,0,0,18
1980,0,0,0,0,3,3,9,7,,1,0,0,
1981,0,0,0,0,4,6,10,6,1,6,0,0,33
1982,0,0,0,0,2,14,12,2,5,0,0,0,35
1983,0,0,0,0,1,5,,6,2,0,0,0,
1984,0,0,0,0,5,6,7,2,1,,,,
