YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1946,,,,,,,,,10.5,12.6,13.7,16.4,
1947,17.6,19.1,18.3,14.3,10.7,7.9,7.7,7.7,10.2,13.4,17.4,19.3,13.6
1948,20.6,19.9,17.9,14,10.6,7.3,8.1,7.6,10.9,12.6,16.3,18.6,13.7
1949,18.7,19.4,16.6,11.8,10.2,9.6,8.9,8.6,10.7,14.4,16.8,,
1950,19.6,18.8,16.6,13.8,12.8,9.4,7.9,8,10.5,14.2,16.3,18.4,13.9
1951,20.3,19.3,18.3,14.7,9.9,7.6,7.4,7.3,10.3,12.9,14.8,15.8,13.2
1952,17.3,19.3,16.4,14.3,10.9,9.7,6.9,9.2,10.7,13.4,14.9,17.1,13.4
1953,18.6,17.8,17.1,13.8,11.6,9.6,7.9,8.7,11.8,13,15.9,18.6,13.7
1954,20.3,20.3,17.8,13.4,11.5,9.6,8.2,8.2,10,13.2,17.2,18.7,14
1955,20.3,21.5,19.2,16.1,12.6,8.6,6.7,8.9,11.3,13.6,15.8,19.3,14.5
1956,20.4,19.3,17.1,16.8,12.3,9.8,7.8,8.3,10.3,13.3,15.3,17.4,14
1957,19.6,21.2,18.2,14.6,11.6,8.9,6.8,9.2,11.1,11.6,14.8,16.1,13.6
1958,19.3,20.6,18.4,13.2,11.1,8.8,7.2,8.7,10.1,14.1,17.2,19.3,14
1959,21.2,19.7,17.8,14,9.4,7.5,7.6,8.8,10.9,12.4,15.7,19.1,13.7
1960,19.2,19.7,16.6,13.6,11.3,8.9,7.3,7.9,11.3,14.1,15.8,17.2,13.6
1961,19.7,19.6,17.4,14.3,11.1,8.9,7.3,7.3,10.6,13.9,16.3,19.8,13.9
1962,21.4,20,16.7,14.8,12.9,9.6,7.9,8.9,10.3,13.9,16,17.7,14.2
1963,20.2,20.6,17.4,13.1,10.5,8.2,7.8,7.6,10.3,13.7,14.4,16.9,13.4
1964,16.8,19.6,16.4,14.6,10.2,8.8,9.2,8.9,9.8,12.4,14.9,17.6,13.3
1965,19.9,17.3,16.6,14.1,10.4,8.2,5.9,7.9,10.2,12.3,14.9,17.9,13
1966,19,20.3,17.7,14,9.4,7.7,6.9,6.7,10.2,13.1,15.4,17.2,13.1
1967,18.8,18.6,16.9,14,10.8,6.8,6.3,10,10.3,14.7,15.3,18.2,13.4
1968,19.3,18.8,19.6,14.6,11.5,9.6,7.4,9.1,9.7,11.4,14.1,17.5,13.6
1969,19.1,18.2,16.7,13.7,11.6,8.5,6.7,8.8,11.6,12.8,16.9,19.5,13.7
1970,21.7,20.2,18.4,15.2,10.9,8.9,8.6,,,13.9,17.2,19.7,
1971,21.7,20.2,17.2,14.4,11.7,11.1,7.4,9.4,11,13.3,16.5,19.3,14.4
1972,19.2,18.6,17.9,15,11.5,7,8.4,7.7,11,14.1,18,17.4,13.8
1973,19.9,20,18.2,14.4,11.8,9.4,7.1,8.9,11.3,14.2,17.2,20.1,14.4
1974,20.1,22.1,16.8,15.1,11.7,9.1,9.2,9,11.8,13.9,16.6,18.7,14.5
1975,19.7,20,18,14.8,12.4,8,6.4,8.9,11.2,14.1,15,17.1,13.8
1976,18.7,16.9,17.9,14.3,10,7.7,7.8,9.4,10.4,13.5,14.4,17.1,13.2
1977,17.5,18.8,18.3,13.8,8.9,8.9,8.5,8.6,8.9,12.9,14.6,16.9,13
1978,19.5,20.8,18,16.2,11.3,8.8,7.5,8.8,10.8,12.8,16,17.8,14
1979,19.9,18.7,18.4,14.6,11,9.9,7.9,8.7,11.1,13.9,16.5,18.8,14.1
1980,19.2,19.1,16.5,13.3,11.4,8.7,7.5,8.2,11.3,14.4,15.3,17.2,13.5
1981,20.3,19.5,18.9,14.7,10.4,9.5,7.3,8.2,10.6,13.6,16.2,19.2,14
1982,19.6,20.1,17,13.3,10.8,7.3,6.3,8.8,10.5,11.9,15.8,16.8,13.2
1983,17.5,18,18.3,14.9,11.4,9.4,7,9.1,11.7,14.8,16.7,18.1,13.9
1984,18.8,19.3,18.8,15,11.7,9.9,9,10.2,11.2,,,,
