YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1972,72.2,74.6,88.1,84.4,89.9,86.3,90.5,88.5,79.2,83.4,78.9,75.6,82.6
1973,74,71.4,77.4,82.4,90.3,92.7,85.9,85.9,85.8,78.2,79.2,73.2,81.4
1974,65.3,75.1,75.9,82.2,89.6,86.5,91.4,85.9,86.5,76.5,78.7,82.3,81.3
1975,83.4,83.5,83.9,88.1,86.9,89.3,89.7,88.5,81.6,80,81,78.8,84.5
1976,82.8,84.2,78.6,83.5,89.4,87.5,92,84.4,79.5,78.5,77.5,79.2,83.1
1977,82.5,81,79.6,87,85.2,89.9,88.5,88.9,80.2,79.1,80,80.2,83.5
1978,82,83.8,79.1,88.2,83.7,86.3,,87.7,84,76,83,81.9,
1979,80.5,83.3,85.1,85.1,89,88.3,90.6,89.2,80.1,79.5,85,76.2,84.3
1980,82,83.3,81.3,88,89,88.7,89.8,87.9,81.1,79.3,83,83.6,84.7
1981,82.8,82.9,81.1,88.3,88.8,93,89.3,83.3,81,79.4,82.5,85.3,84.8
1982,83.8,80.4,86.1,84.3,89.8,91.1,85.3,88.7,85.3,76.2,82,82.2,84.6
1983,84.2,81.4,79.2,87.5,84.8,87.3,88.7,88.3,83.7,83,77.6,78,83.7
1984,80.3,85.2,87.1,88.2,89,90,91.3,86.5,81.2,,,,
