YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1972,18.4,17.7,17.3,14.6,10.4,6.4,8.3,7.4,12,13.9,17.3,16.3,13.3
1973,18.8,18.8,17.5,14.6,12.1,9,6.5,9.6,12.4,14.5,17,19.1,14.1
1974,19.1,21.8,15.9,15.2,11.3,8.3,8.9,9,12.2,14.4,16.2,18,14.2
1975,18.6,18.3,17.9,13.8,13.1,6.5,6.4,9.4,12,14.5,14.3,15.6,13.4
1976,18,14.4,16.9,14.1,9.3,7.5,7.6,10.3,11.1,13.5,13.8,16.5,12.8
1977,16.7,17,17.4,13.4,9,9.3,8.8,8.5,9.7,13.5,14,15.8,12.7
1978,18.2,18.9,17.3,16.1,10.6,8.3,7.6,9,11.3,12.9,15,16.9,13.5
1979,18.5,17.3,18.5,14.1,10.5,9.6,7.9,9.1,12.4,14.1,15.7,17.4,13.8
1980,18.5,17.4,16.3,12.9,10.8,8.5,7.4,8.9,12.7,14.6,14.1,16.2,13.2
1981,18.8,18.1,18.9,14.7,9.9,9.9,7.8,9.1,11.8,13.5,14.9,18.2,13.8
1982,18,18.1,15.8,12.4,10.4,6.3,6.7,9,10.9,12.4,15.6,15.5,12.6
1983,16.2,16.3,17.2,14.1,11.4,8.9,5.5,9.1,12.4,14.9,14.5,16.5,13.1
1984,16,16.8,17.8,13.5,10.5,9.3,8.5,10.6,11.3,,,,
