YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1946,,,,,,,,,11.3,12.2,12.4,14.8,
1947,15.9,17.5,17.5,14.9,11.5,9.3,9.4,9.3,11.1,12.6,14.1,17.2,13.4
1948,18.5,18.4,17.7,14.6,11.9,8.9,9.7,9,11.5,12.9,14.8,16.4,13.7
1949,17.1,18.5,15.7,11.8,11.5,10.4,10,10.1,10.8,13.9,14.8,15.7,13.4
1950,17.9,17.4,15.9,14.2,13.7,10,8.9,8.7,11.2,13.8,15.7,17.7,13.8
1951,18.4,18,17.5,14.9,10.6,8.3,8.8,8.6,10.6,12.8,14.5,,
1952,15.6,19.4,15.8,14.7,11.1,10.2,7.7,10.5,11.3,13.1,14.5,16.9,13.4
1953,,17,16.7,14.6,11.9,10.4,8.5,9.8,12.1,12.9,15.5,18,
1954,18.9,19.9,17.8,13.7,12.3,10.6,9.2,9.7,10.8,11.9,16.2,17.5,14
1955,18.4,21.1,19.3,16,13.2,9.1,8,10.3,11.9,14,,17.6,
1956,20.1,18.9,16.5,17.5,13.2,10.4,9,9.9,11.8,13.5,14.8,,
1957,17.7,20.4,17.9,14.5,12.5,9.6,7.6,10.5,11.4,11.7,14.5,15.1,13.6
1958,17.2,20.4,18.1,13.2,12.1,9.6,8.1,9.7,10.8,14.6,15.6,18.1,14
1959,19.4,18.3,17.2,14.1,9.6,8,8.4,10,11.3,12.5,14.6,17.9,13.4
1960,18.1,18.8,16,13.8,12.1,9.7,8.3,9.3,11.9,13.3,14.8,15.4,13.5
1961,18.4,18.3,16.6,14.4,11.3,9.4,8.3,8.7,11.3,13.7,15.1,17.9,13.6
1962,20.4,19,16.9,15.1,13.5,10.5,9.2,10.5,11.4,14.4,15.1,16.5,14.4
1963,18.4,20.1,17,13.5,10.9,9,8.9,9.1,11.2,13.4,13.9,16,13.4
1964,16.4,18.9,16.4,14.3,10.1,9.2,10.3,9.8,10.9,12.6,14.1,16.8,13.3
1965,19.2,17,16.4,14.2,11.2,8.7,7.1,9.7,11.3,11.9,13.8,15.9,13
1966,18.5,20.3,18.1,14.3,10.3,8.5,8.7,8.2,11.2,12.5,13.9,15.3,13.3
1967,16.6,17.3,17.1,14.1,11.4,7.1,7.8,11.2,11,14.4,15.2,17.4,13.4
1968,17.5,17.8,19.9,15.2,12,10,8.6,9.9,10.1,11.5,13.1,15.6,13.4
1969,17.2,17.9,15.8,13.4,11.8,9.1,7.2,9.8,12.2,11.3,15.5,18.2,13.3
1970,19.9,19.1,18.8,15.1,11,9.5,9.6,10.2,11.9,13.7,15.7,17.2,14.3
1971,20.7,19.7,17.1,15.2,12.5,11.6,8.6,11,11.7,13.1,15.4,17.5,14.5
1972,17.6,18.2,17.7,14.7,11.2,7.7,9.2,8.6,11.5,13.1,16.8,15.4,13.5
1973,18.1,18.9,18.1,15,12.5,10.5,8.3,10.2,12.3,13.8,16,18.1,14.3
1974,18.6,22,16.5,15.7,12.3,9.4,10,10.1,12.5,13.4,16.2,18.3,14.6
1975,19.6,19.8,18.2,15,13.4,8,7.7,10.4,11.7,14.1,14.5,15.8,14
1976,18.5,15.8,17.6,15,10.5,8.7,8.4,10.8,11.3,12.7,13.8,16.7,13.3
1977,17.1,18.9,18.4,14.5,9.6,9.8,9.8,10,9.6,12.4,13.4,15.6,13.3
1978,19.3,20.8,18.2,17.1,12,9.4,8.9,9.9,11.6,12.2,15.3,17.1,14.3
1979,18.9,18.6,18.7,14.9,11.6,10.9,9.2,10.2,12.1,13.3,15.8,16.7,14.2
1980,18.5,18.7,16.4,13.6,11.8,9.5,8.6,9.4,12.2,14.1,14.1,,
1981,19.8,19.5,19.5,15.8,11.6,11,9.2,9.7,11.4,13.1,15.6,18.4,14.5
1982,18.4,20.1,16.2,13.2,11.7,7.9,8.3,9.8,10.7,11.5,15.5,15.6,13.2
1983,16.3,17.3,,14.7,11.6,10,7.5,10,12.2,14.2,15,16.2,
1984,16.7,18.3,18.1,14.2,11.4,10.2,9.7,11.2,11.4,,,,
