YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1946,,,,,,,,,15.6,16.5,17,19.4,
1947,21.2,23.8,23.7,19.3,16.2,13.6,13.7,13.7,15.8,16.8,19.9,22.4,18.3
1948,24.2,24.1,23.4,19.4,16.1,13.4,14,13.9,16.5,16.9,20,21.5,18.6
1949,22.2,24.2,21,17.3,16.1,14.4,14.1,14.3,15.8,19.3,20.3,21.2,18.3
1950,24.8,23.7,22.2,19.6,18.3,14.4,13.6,14.1,16.6,18.9,20.2,23.2,19.1
1951,23.7,23.9,23.9,19.8,15.6,13.4,13.3,13.2,15.7,17.3,18.7,,
1952,20.5,24.1,21,19.9,15.7,13.3,12.9,15,16.5,18.3,18.5,21,18.1
1953,,21.8,21.7,18.7,16.2,14.6,13,14.4,16.3,17.5,19.8,22.2,
1954,25.1,25.5,22,18.3,17.2,15,13.7,14.2,15.8,17.9,21,22,19
1955,23.9,26.7,24.2,21.2,18,13.5,13,14.7,16.2,17.9,,22.7,
1956,24.7,24.2,22.7,21.3,17.1,14.5,13,14.1,16.8,18.1,19.5,,
1957,23.8,26.1,23.2,19.9,16.3,14.1,12.4,14.4,16.4,16.3,19,19.9,18.5
1958,23,25.5,22.9,18.3,16.4,13.8,12.8,14.2,15.8,18.4,21,22,18.7
1959,24.4,23.8,21.8,19.3,14.5,13,12.9,14.7,16.4,16.9,19.4,22.6,18.3
1960,23.2,23.8,20.7,19.2,16.7,14.1,13.5,14.2,15.9,18,19.7,20.7,18.3
1961,23.3,23.6,22.2,20,16.3,13.7,12.7,13.9,15.6,18.6,20.6,23.7,18.7
1962,26,25.5,21.9,20.4,17.8,14.6,14,15,16.1,18.5,19.7,21.5,19.2
1963,24.1,24.8,22.5,18.8,16.2,13.6,13.1,13.7,16,18.8,18.9,21.1,18.4
1964,21.6,24.8,21,19.8,15.2,13.5,13.9,13.7,15,17,18.4,21.7,18
1965,24,21.5,20.9,19.7,16,13.7,11.9,13.8,16.1,16.6,18.5,21.6,17.9
1966,23,24.7,23,19.7,15,13.2,13,13.2,15.5,17.7,18.2,20,18
1967,21.9,22.4,21.4,18.7,15.3,12.1,12.4,15.1,15.4,19,19.5,21.7,17.9
1968,22.9,23.7,25.5,18.8,17,13.6,12.6,13.7,14.5,15.6,17.1,20,17.9
1969,22.4,23,21.3,18.1,16,13.2,11.9,14,16.9,16,21,23.3,18.1
1970,25.8,26.2,24.4,20.2,15.8,14,14,14.5,16,17.7,20.7,23.2,19.4
1971,25.7,24.5,22.7,20.2,17.3,15.5,13.7,15.4,15.7,17.4,20.2,22.4,19.2
1972,22.8,24.2,22.5,19.4,16,12.4,13.3,13.4,16,17.3,21.1,20.1,18.2
1973,23.4,25.4,23.4,19.9,16.6,15,13.1,14.2,16.5,18.6,20.3,23.4,19.1
1974,25,27.3,22.2,20.7,17,14.2,14.1,14.3,16.8,18.2,21.1,23.7,19.5
1975,24.9,25.3,23.4,20.3,17.3,12.9,12.9,14.9,16,18.5,19.4,20.8,18.9
1976,22.7,21.6,22.7,19.9,15.7,13.3,12.9,14.9,15.8,17.5,18.7,21.4,18.1
1977,22.1,24.6,24.1,19.9,14.6,14,13.8,14.6,14.3,16.9,18.4,21,18.2
1978,25.1,26.7,24.3,22,16.8,13.3,13.5,14.2,16.1,17.4,20.4,22.3,19.4
1979,24.7,23.6,23,19.9,16.2,14.9,13.5,14.4,16.3,17.7,20.6,22,18.9
1980,23.4,23.7,21.3,18.9,16.4,13.9,13,14,16.1,18.7,18.4,,
1981,24.8,24.1,24,21,16.6,15.1,13.8,13.8,15,17.4,19.8,22.7,19
1982,23.9,25.9,22,18.6,16.6,13,12.9,14.6,16,16.3,20.5,21,18.4
1983,22.1,23,22.9,19.3,16,14.1,13.1,14.8,16.8,18.3,20.2,21.2,18.5
1984,22.7,23.8,22.5,20.2,16.3,14.8,14.7,14.9,16.2,,,,
