YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1946,,,,,,,,,7,7.9,7.9,10.2,
1947,10.6,11.2,11.3,10.6,6.7,5,5.1,4.8,6.4,8.5,8.3,12,8.4
1948,12.8,12.6,12,9.7,7.6,4.4,5.5,4.2,6.6,8.9,9.7,11.3,8.8
1949,11.9,12.8,10.4,6.3,6.9,6.3,6,5.8,5.9,8.5,9.4,10.2,8.4
1950,11,11.2,9.6,8.8,9,5.6,4.1,3.4,5.7,8.7,11.2,12.2,8.4
1951,13.2,12.2,11.1,10,5.5,3.2,4.2,4.1,5.4,8.3,10.3,10,8.1
1952,10.7,14.7,10.6,9.6,6.4,7,2.6,5.9,6,7.9,10.6,12.7,8.7
1953,12.5,12.3,11.8,10.4,7.7,6.1,4,5.3,7.9,8.4,11.3,13.8,9.3
1954,12.7,14.2,13.6,9.1,7.3,6.1,4.6,5.3,5.8,5.8,11.4,13.1,9.1
1955,13,15.5,14.3,10.7,8.5,4.7,3.1,5.9,7.7,10.1,10,12.4,9.7
1956,15.4,13.6,10.4,13.7,9.4,6.4,5,5.7,6.7,8.9,10,11.3,9.7
1957,11.6,14.7,12.6,9.1,8.7,5,2.9,6.6,6.4,7.2,9.9,10.2,8.7
1958,11.3,15.2,13.3,8,7.8,5.5,3.4,5.1,5.9,10.8,10.2,14.2,9.2
1959,14.3,12.9,12.6,8.9,4.7,3.1,3.9,5.3,6.2,8,9.8,13.2,8.6
1960,13.1,13.8,11.3,8.4,7.5,5.3,3.2,4.4,8,8.6,9.9,10,8.6
1961,13.4,13,11.1,8.8,6.3,5.2,3.9,3.6,7,8.8,9.6,12.2,8.6
1962,14.7,12.5,11.8,9.8,9.3,6.4,4.3,5.9,6.8,10.3,10.6,11.5,9.5
1963,12.7,15.4,11.4,8.2,5.7,4.4,4.6,4.6,6.4,8.1,8.9,11,8.4
1964,11.1,12.9,11.7,8.8,4.9,4.8,6.7,6,6.8,8.2,9.8,11.8,8.6
1965,14.3,12.5,11.9,8.7,6.3,3.7,2.2,5.6,6.5,7.2,9,10.2,8.2
1966,14,15.8,13.3,8.9,5.6,3.7,4.3,3.1,6.9,7.3,9.5,10.7,8.6
1967,11.3,12.2,12.8,9.5,7.4,2.1,3.2,7.4,6.6,9.8,10.9,13.1,8.8
1968,12.1,11.9,14.3,11.6,7,6.4,4.7,6.2,5.6,7.5,9.1,11.2,9
1969,12,12.7,10.3,8.8,7.7,4.9,2.5,5.6,7.5,6.5,10.1,13.2,8.5
1970,14,12.1,13.2,10,6.3,4.9,5.2,5.8,7.8,9.6,10.6,11.3,9.2
1971,15.6,15,11.4,10.3,7.6,7.7,3.4,6.6,7.7,8.9,10.6,12.6,9.8
1972,12.4,12.2,13,10,6.4,3,5.1,3.8,7,8.9,12.6,10.8,8.8
1973,12.7,12.4,12.9,10.1,8.5,6,3.6,6.2,8.1,9.1,11.7,12.9,9.5
1974,12.1,16.7,10.8,10.8,7.6,4.7,5.8,5.8,8.2,8.6,11.3,12.9,9.6
1975,14.3,14.3,12.9,9.6,9.4,3.1,2.5,5.9,7.4,9.7,9.7,10.9,9.1
1976,14.4,10.1,12.5,10.1,5.3,4.2,3.9,6.7,6.9,8,8.9,12.1,8.6
1977,12.1,13.2,12.7,9,4.6,5.7,5.7,5.3,4.9,8,8.3,10.1,8.3
1978,13.4,14.9,12.2,12.1,7.2,5.5,4.3,5.5,7.1,6.9,10.2,11.9,9.3
1979,13.1,13.6,14.4,9.9,7.1,6.8,4.8,5.9,8,9,11,11.4,9.6
1980,13.6,13.7,11.5,8.3,7.2,5.1,4.2,4.7,8.2,9.4,9.9,11.6,9
1981,14.7,14.9,15,10.7,6.7,6.9,4.6,5.6,7.8,8.8,11.5,14,10.1
1982,13,14.3,10.5,7.8,6.7,2.8,3.6,5,5.3,6.7,10.5,10.3,8
1983,10.5,11.6,,10.2,7.1,5.9,2,5.2,7.5,10.2,9.8,11.1,
1984,10.7,12.8,13.6,8.3,6.4,5.6,4.8,7.6,6.6,,,,
