YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1946,,,,,,,,,1.9,2.1,2.3,2.2,
1947,2.3,2.7,2.2,1.9,2.6,2.9,2.4,2.3,1.7,2.3,1.7,2,3.9
1948,1.8,2,2.2,2.8,1.5,2.4,2.2,1.8,2,2.3,2.2,2.8,4.2
1949,2.1,2.6,2.7,1.8,2.3,2,3,1.8,1.8,2.2,1.6,2,3.5
1950,1.8,2.2,2,2.1,3,3.3,2.3,2,2,2.3,1.4,1.9,3.9
1951,1.9,1.6,1.8,2.1,2.4,2.6,2.3,1.9,3,2.8,1.5,,
1952,1.7,1.5,2.3,1.8,2.1,2.4,2,1.9,1.9,1.8,1.6,1.9,3.8
1953,,2.2,1.5,2,3,2.6,2.5,1.8,1.6,1.5,2.1,2.7,
1954,1.5,2,2.1,2.7,2.7,2.9,2,2.1,1.9,1.6,1.7,1.5,4.2
1955,1.9,1.7,2.4,2.3,3.2,3,1.7,2.3,1.9,1.1,,2.1,
1956,1.5,1.5,3,1.6,2.3,2.9,2,2,2,1.8,2,,
1957,2,1.8,2.3,1.9,1.8,2.6,2.2,2.2,1.2,1.6,2.4,2.2,4.1
1958,3.1,1.6,2.2,1.8,1.9,2.9,2.3,2.6,1.8,2,1.3,1.8,4.3
1959,2,2,1.9,1.9,1.8,2.7,2.5,1.7,1.7,2,1.7,1.8,4.4
1960,2.3,2.4,2.4,2,2.3,2.6,2.7,1.8,1.5,1.2,1.4,2.1,3.9
1961,1.7,2.4,2.8,2.4,2,1.8,2,1.9,1.9,1.6,2.3,1.7,4.1
1962,1.3,1.9,2.8,2.7,2.5,3.1,2,2,1.8,1.5,1.4,1.6,4
1963,1.8,2,2,2.4,3,2.9,2.6,1.7,1.8,2.1,1.8,2.1,4.2
1964,1.8,1.7,1.9,2.7,3,1.8,1.9,1.4,2.1,1.6,1.6,2,3.8
1965,1.4,1.6,2.3,1.6,2.4,2.5,2.4,3,1.7,2.5,2.3,2.6,4.2
1966,2.1,1.6,1.8,1.8,2.4,3,2.3,2.2,1.9,1.3,2.1,1.7,4.4
1967,1.7,2.1,2.1,2.4,2.6,2.6,2.7,2.2,1.7,1.9,2.4,2.2,4.2
1968,1.9,2,1.3,3.1,2.4,2.6,2.5,1.7,1.6,2,2,2.1,4.2
1969,1.6,1.5,1.7,3.3,2.8,2,2.3,2.3,1.6,1.9,2.3,1.8,4.1
1970,2.3,1.6,2.5,2.1,3.2,3.1,2.2,2.3,2,2,2,1.9,4.4
1971,1.4,1.9,1.4,1.4,3,2.5,2,2.3,1.7,1.6,1.5,1.5,4
1972,2,1.6,1.9,2.4,2,2.2,2.1,2.2,2.1,1.9,1.4,2.1,4.2
1973,1.4,1.9,2.7,2,2.2,2.9,2.9,2,2.9,2.1,2.1,1.3,4.1
1974,2,1.7,3.1,3.3,2.1,3.2,2.5,1.5,1.7,2.2,1.8,1.8,4.3
1975,1.7,2.1,1.8,2.3,2,2.2,2.3,2.2,1.8,1.9,2,1.7,4.3
1976,2,1.3,1.3,1.9,2.1,3.2,2.1,1.5,1.7,2.2,2.1,1.6,4
1977,1.6,1.4,1.8,2.6,2.3,1.7,1.6,2.4,2.2,1.2,2.1,1.5,3.9
1978,2.6,1.1,1.7,1.6,2.2,3,2.4,1.7,1.9,1.4,1.9,1.5,4.3
1979,2.3,2.3,2,1.9,3.7,2.6,2.8,2,1.8,1.9,1.4,1.8,4
1980,2.3,1.9,2,1.8,2.1,2.7,2.6,2.2,1.4,1.8,1.7,,
1981,2.1,1.9,2.5,1.7,3,2.9,2.3,1.8,1.5,2.1,1.7,2.1,4.4
1982,1.7,2,2.2,1.8,2,2.5,3.2,1.5,2.1,1.5,2.1,2.5,4.2
1983,1.3,1.7,,2.4,2.4,2.9,2.4,1.9,1.9,2.3,1.9,1.9,
1984,1.6,1.7,1.4,2.1,2.7,2.6,2.8,1.9,1.7,,,,
