PERIOD,YEAR,STATS_VALUE
October,1946,2
November,1946,2
December,1946,0
January,1947,0
February,1947,0
March,1947,0
April,1947,0
May,1947,3
June,1947,8
July,1947,4
August,1947,7
September,1947,3
October,1947,0
November,1947,0
December,1947,0
January,1948,0
February,1948,0
March,1948,0
April,1948,1
May,1948,0
June,1948,9
July,1948,3
August,1948,7
September,1948,3
October,1948,0
November,1948,0
December,1948,0
January,1949,0
February,1949,0
March,1949,1
April,1949,1
May,1949,2
June,1949,2
July,1949,5
August,1949,3
September,1949,2
October,1949,0
November,1949,0
December,1949,0
January,1950,0
February,1950,0
March,1950,0
April,1950,1
May,1950,3
June,1950,8
July,1950,12
August,1950,11
September,1950,6
October,1950,0
November,1950,0
December,1950,0
January,1951,0
February,1951,0
March,1951,0
April,1951,0
May,1951,8
June,1951,11
July,1951,12
August,1951,11
September,1951,11
October,1951,4
November,1951,0
December,1951,0
January,1952,0
February,1952,0
March,1952,1
April,1952,0
May,1952,3
June,1952,3
July,1952,18
August,1952,4
September,1952,5
October,1952,0
November,1952,0
December,1952,0
January,1953,0
February,1953,0
March,1953,0
April,1953,0
May,1953,5
June,1953,3
July,1953,11
August,1953,6
September,1953,1
October,1953,0
November,1953,0
December,1953,0
January,1954,0
February,1954,0
March,1954,0
April,1954,3
May,1954,2
June,1954,6
July,1954,7
August,1954,5
September,1954,6
October,1954,1
November,1954,0
December,1954,0
January,1955,0
February,1955,0
March,1955,0
April,1955,0
May,1955,1
June,1955,11
July,1955,11
August,1955,4
September,1955,2
October,1955,0
November,1955,0
December,1955,0
January,1956,0
February,1956,0
March,1956,0
April,1956,0
May,1956,0
June,1956,2
July,1956,5
August,1956,5
September,1956,3
October,1956,1
November,1956,0
December,1956,0
January,1957,0
February,1957,0
March,1957,0
April,1957,0
May,1957,0
June,1957,4
July,1957,14
August,1957,4
September,1957,0
October,1957,0
November,1957,0
December,1957,0
January,1958,0
February,1958,0
March,1958,0
April,1958,0
May,1958,0
June,1958,3
July,1958,9
August,1958,6
September,1958,4
October,1958,0
November,1958,0
December,1958,0
January,1959,0
February,1959,0
March,1959,0
April,1959,0
May,1959,0
June,1959,10
July,1959,5
August,1959,5
September,1959,0
October,1959,1
November,1959,0
December,1959,0
January,1960,0
February,1960,0
March,1960,0
April,1960,0
May,1960,2
June,1960,4
July,1960,10
August,1960,4
September,1960,0
October,1960,0
November,1960,0
December,1960,0
January,1961,0
February,1961,0
March,1961,0
April,1961,0
May,1961,2
June,1961,4
July,1961,6
August,1961,9
September,1961,2
October,1961,0
November,1961,1
December,1961,0
January,1962,0
February,1962,0
March,1962,0
April,1962,0
May,1962,0
June,1962,3
July,1962,6
August,1962,3
September,1962,1
October,1962,0
November,1962,0
December,1962,0
January,1963,0
February,1963,0
March,1963,0
April,1963,1
May,1963,6
June,1963,7
July,1963,6
August,1963,8
September,1963,2
October,1963,0
November,1963,1
December,1963,0
January,1964,0
February,1964,0
March,1964,0
April,1964,1
May,1964,7
June,1964,3
July,1964,1
August,1964,1
September,1964,2
October,1964,1
November,1964,0
December,1964,0
January,1965,0
February,1965,0
March,1965,0
April,1965,0
May,1965,3
June,1965,9
July,1965,11
August,1965,7
September,1965,3
October,1965,7
November,1965,0
December,1965,0
January,1966,0
February,1966,0
March,1966,0
April,1966,0
May,1966,5
June,1966,6
July,1966,11
August,1966,14
September,1966,6
October,1966,0
November,1966,2
December,1966,0
January,1967,0
February,1967,0
March,1967,0
April,1967,1
May,1967,4
June,1967,19
July,1967,12
August,1967,2
September,1967,5
October,1967,0
November,1967,0
December,1967,0
January,1968,0
February,1968,0
March,1968,0
April,1968,0
May,1968,2
June,1968,4
July,1968,8
August,1968,2
September,1968,5
October,1968,2
November,1968,0
December,1968,0
January,1969,0
February,1969,0
March,1969,0
April,1969,2
May,1969,3
June,1969,7
July,1969,12
August,1969,10
September,1969,2
October,1969,3
November,1969,1
December,1969,0
January,1970,0
February,1970,0
March,1970,0
April,1970,0
May,1970,8
June,1970,9
July,1970,6
August,1970,9
September,1970,3
October,1970,1
November,1970,1
December,1970,0
January,1971,0
February,1971,0
March,1971,0
April,1971,0
May,1971,5
June,1971,0
July,1971,13
August,1971,6
September,1971,4
October,1971,0
November,1971,3
December,1971,0
January,1972,0
February,1972,0
March,1972,0
April,1972,0
May,1972,2
June,1972,16
July,1972,6
August,1972,13
September,1972,5
October,1972,2
November,1972,0
December,1972,0
January,1973,0
February,1973,0
March,1973,0
April,1973,0
May,1973,2
June,1973,10
July,1973,16
August,1973,6
September,1973,2
October,1973,2
November,1973,0
December,1973,0
January,1974,0
February,1974,0
March,1974,1
April,1974,3
May,1974,3
June,1974,10
July,1974,5
August,1974,4
September,1974,2
October,1974,2
November,1974,1
December,1974,0
January,1975,0
February,1975,0
March,1975,0
April,1975,0
May,1975,0
June,1975,10
July,1975,13
August,1975,6
September,1975,2
October,1975,0
November,1975,1
December,1975,0
January,1976,0
February,1976,0
March,1976,0
April,1976,0
May,1976,7
June,1976,12
July,1976,4
August,1976,1
September,1976,2
October,1976,2
November,1976,0
December,1976,0
January,1977,0
February,1977,0
March,1977,0
April,1977,0
May,1977,9
June,1977,4
July,1977,2
August,1977,6
September,1977,9
October,1977,0
November,1977,0
December,1977,0
January,1978,0
February,1978,0
March,1978,1
April,1978,0
May,1978,9
June,1978,6
July,1978,8
September,1978,1
October,1978,2
November,1978,0
December,1978,0
January,1979,0
February,1979,0
March,1979,0
April,1979,0
May,1979,7
June,1979,2
July,1979,5
August,1979,1
September,1979,3
October,1979,0
November,1979,0
December,1979,0
