PERIOD,YEAR,STATS_VALUE
September,1946,10.5
October,1946,12.6
November,1946,13.7
December,1946,16.4
January,1947,17.6
February,1947,19.1
March,1947,18.3
April,1947,14.3
May,1947,10.7
June,1947,7.9
July,1947,7.7
August,1947,7.7
September,1947,10.2
October,1947,13.4
November,1947,17.4
December,1947,19.3
January,1948,20.6
February,1948,19.9
March,1948,17.9
April,1948,14
May,1948,10.6
June,1948,7.3
July,1948,8.1
August,1948,7.6
September,1948,10.9
October,1948,12.6
November,1948,16.3
December,1948,18.6
January,1949,18.7
February,1949,19.4
March,1949,16.6
April,1949,11.8
May,1949,10.2
June,1949,9.6
July,1949,8.9
August,1949,8.6
September,1949,10.7
October,1949,14.4
November,1949,16.8
January,1950,19.6
February,1950,18.8
March,1950,16.6
April,1950,13.8
May,1950,12.8
June,1950,9.4
July,1950,7.9
August,1950,8
September,1950,10.5
October,1950,14.2
November,1950,16.3
December,1950,18.4
January,1951,20.3
February,1951,19.3
March,1951,18.3
April,1951,14.7
May,1951,9.9
June,1951,7.6
July,1951,7.4
August,1951,7.3
September,1951,10.3
October,1951,12.9
November,1951,14.8
December,1951,15.8
January,1952,17.3
February,1952,19.3
March,1952,16.4
April,1952,14.3
May,1952,10.9
June,1952,9.7
July,1952,6.9
August,1952,9.2
September,1952,10.7
October,1952,13.4
November,1952,14.9
December,1952,17.1
January,1953,18.6
February,1953,17.8
March,1953,17.1
April,1953,13.8
May,1953,11.6
June,1953,9.6
July,1953,7.9
August,1953,8.7
September,1953,11.8
October,1953,13
November,1953,15.9
December,1953,18.6
January,1954,20.3
February,1954,20.3
March,1954,17.8
April,1954,13.4
May,1954,11.5
June,1954,9.6
July,1954,8.2
August,1954,8.2
September,1954,10
October,1954,13.2
November,1954,17.2
December,1954,18.7
January,1955,20.3
February,1955,21.5
March,1955,19.2
April,1955,16.1
May,1955,12.6
June,1955,8.6
July,1955,6.7
August,1955,8.9
September,1955,11.3
October,1955,13.6
November,1955,15.8
December,1955,19.3
January,1956,20.4
February,1956,19.3
March,1956,17.1
April,1956,16.8
May,1956,12.3
June,1956,9.8
July,1956,7.8
August,1956,8.3
September,1956,10.3
October,1956,13.3
November,1956,15.3
December,1956,17.4
January,1957,19.6
February,1957,21.2
March,1957,18.2
April,1957,14.6
May,1957,11.6
June,1957,8.9
July,1957,6.8
August,1957,9.2
September,1957,11.1
October,1957,11.6
November,1957,14.8
December,1957,16.1
January,1958,19.3
February,1958,20.6
March,1958,18.4
April,1958,13.2
May,1958,11.1
June,1958,8.8
July,1958,7.2
August,1958,8.7
September,1958,10.1
October,1958,14.1
November,1958,17.2
December,1958,19.3
January,1959,21.2
February,1959,19.7
March,1959,17.8
April,1959,14
May,1959,9.4
June,1959,7.5
July,1959,7.6
August,1959,8.8
September,1959,10.9
October,1959,12.4
November,1959,15.7
December,1959,19.1
January,1960,19.2
February,1960,19.7
March,1960,16.6
April,1960,13.6
May,1960,11.3
June,1960,8.9
July,1960,7.3
August,1960,7.9
September,1960,11.3
October,1960,14.1
November,1960,15.8
December,1960,17.2
January,1961,19.7
February,1961,19.6
March,1961,17.4
April,1961,14.3
May,1961,11.1
June,1961,8.9
July,1961,7.3
August,1961,7.3
September,1961,10.6
October,1961,13.9
November,1961,16.3
December,1961,19.8
January,1962,21.4
February,1962,20
March,1962,16.7
April,1962,14.8
May,1962,12.9
June,1962,9.6
July,1962,7.9
August,1962,8.9
September,1962,10.3
October,1962,13.9
November,1962,16
December,1962,17.7
January,1963,20.2
February,1963,20.6
March,1963,17.4
April,1963,13.1
May,1963,10.5
June,1963,8.2
July,1963,7.8
August,1963,7.6
September,1963,10.3
October,1963,13.7
November,1963,14.4
December,1963,16.9
January,1964,16.8
February,1964,19.6
March,1964,16.4
April,1964,14.6
May,1964,10.2
June,1964,8.8
July,1964,9.2
August,1964,8.9
September,1964,9.8
October,1964,12.4
November,1964,14.9
December,1964,17.6
January,1965,19.9
February,1965,17.3
March,1965,16.6
April,1965,14.1
May,1965,10.4
June,1965,8.2
July,1965,5.9
August,1965,7.9
September,1965,10.2
October,1965,12.3
November,1965,14.9
December,1965,17.9
January,1966,19
February,1966,20.3
March,1966,17.7
April,1966,14
May,1966,9.4
June,1966,7.7
July,1966,6.9
August,1966,6.7
September,1966,10.2
October,1966,13.1
November,1966,15.4
December,1966,17.2
January,1967,18.8
February,1967,18.6
March,1967,16.9
April,1967,14
May,1967,10.8
June,1967,6.8
July,1967,6.3
August,1967,10
September,1967,10.3
October,1967,14.7
November,1967,15.3
December,1967,18.2
January,1968,19.3
February,1968,18.8
March,1968,19.6
April,1968,14.6
May,1968,11.5
June,1968,9.6
July,1968,7.4
August,1968,9.1
September,1968,9.7
October,1968,11.4
November,1968,14.1
December,1968,17.5
January,1969,19.1
February,1969,18.2
March,1969,16.7
April,1969,13.7
May,1969,11.6
June,1969,8.5
July,1969,6.7
August,1969,8.8
September,1969,11.6
October,1969,12.8
November,1969,16.9
December,1969,19.5
January,1970,21.7
February,1970,20.2
March,1970,18.4
April,1970,15.2
May,1970,10.9
June,1970,8.9
July,1970,8.6
October,1970,13.9
November,1970,17.2
December,1970,19.7
