PERIOD,YEAR,STATS_VALUE
January,1972,72.2
February,1972,74.6
March,1972,88.1
April,1972,84.4
May,1972,89.9
June,1972,86.3
July,1972,90.5
August,1972,88.5
September,1972,79.2
October,1972,83.4
November,1972,78.9
December,1972,75.6
January,1973,74
February,1973,71.4
March,1973,77.4
April,1973,82.4
May,1973,90.3
June,1973,92.7
July,1973,85.9
August,1973,85.9
September,1973,85.8
October,1973,78.2
November,1973,79.2
December,1973,73.2
January,1974,65.3
February,1974,75.1
March,1974,75.9
April,1974,82.2
May,1974,89.6
June,1974,86.5
July,1974,91.4
August,1974,85.9
September,1974,86.5
October,1974,76.5
November,1974,78.7
December,1974,82.3
January,1975,83.4
February,1975,83.5
March,1975,83.9
April,1975,88.1
May,1975,86.9
June,1975,89.3
July,1975,89.7
August,1975,88.5
September,1975,81.6
October,1975,80
November,1975,81
December,1975,78.8
January,1976,82.8
February,1976,84.2
March,1976,78.6
April,1976,83.5
May,1976,89.4
June,1976,87.5
July,1976,92
August,1976,84.4
September,1976,79.5
October,1976,78.5
November,1976,77.5
December,1976,79.2
January,1977,82.5
February,1977,81
March,1977,79.6
April,1977,87
May,1977,85.2
June,1977,89.9
July,1977,88.5
August,1977,88.9
September,1977,80.2
October,1977,79.1
November,1977,80
December,1977,80.2
January,1978,82
February,1978,83.8
March,1978,79.1
April,1978,88.2
May,1978,83.7
June,1978,86.3
August,1978,87.7
September,1978,84
October,1978,76
November,1978,83
December,1978,81.9
January,1979,80.5
February,1979,83.3
March,1979,85.1
April,1979,85.1
May,1979,89
June,1979,88.3
July,1979,90.6
August,1979,89.2
September,1979,80.1
October,1979,79.5
November,1979,85
December,1979,76.2
January,1980,82
February,1980,83.3
March,1980,81.3
April,1980,88
May,1980,89
June,1980,88.7
July,1980,89.8
August,1980,87.9
September,1980,81.1
October,1980,79.3
November,1980,83
December,1980,83.6
January,1981,82.8
February,1981,82.9
March,1981,81.1
April,1981,88.3
May,1981,88.8
June,1981,93
July,1981,89.3
August,1981,83.3
September,1981,81
October,1981,79.4
November,1981,82.5
December,1981,85.3
January,1982,83.8
February,1982,80.4
March,1982,86.1
April,1982,84.3
May,1982,89.8
June,1982,91.1
July,1982,85.3
August,1982,88.7
September,1982,85.3
October,1982,76.2
November,1982,82
December,1982,82.2
January,1983,84.2
February,1983,81.4
March,1983,79.2
April,1983,87.5
May,1983,84.8
June,1983,87.3
July,1983,88.7
August,1983,88.3
September,1983,83.7
October,1983,83
November,1983,77.6
December,1983,78
January,1984,80.3
February,1984,85.2
March,1984,87.1
April,1984,88.2
May,1984,89
June,1984,90
July,1984,91.3
August,1984,86.5
September,1984,81.2
