PERIOD,YEAR,STATS_VALUE
January,1972,18.4
February,1972,17.7
March,1972,17.3
April,1972,14.6
May,1972,10.4
June,1972,6.4
July,1972,8.3
August,1972,7.4
September,1972,12
October,1972,13.9
November,1972,17.3
December,1972,16.3
January,1973,18.8
February,1973,18.8
March,1973,17.5
April,1973,14.6
May,1973,12.1
June,1973,9
July,1973,6.5
August,1973,9.6
September,1973,12.4
October,1973,14.5
November,1973,17
December,1973,19.1
January,1974,19.1
February,1974,21.8
March,1974,15.9
April,1974,15.2
May,1974,11.3
June,1974,8.3
July,1974,8.9
August,1974,9
September,1974,12.2
October,1974,14.4
November,1974,16.2
December,1974,18
January,1975,18.6
February,1975,18.3
March,1975,17.9
April,1975,13.8
May,1975,13.1
June,1975,6.5
July,1975,6.4
August,1975,9.4
September,1975,12
October,1975,14.5
November,1975,14.3
December,1975,15.6
January,1976,18
February,1976,14.4
March,1976,16.9
April,1976,14.1
May,1976,9.3
June,1976,7.5
July,1976,7.6
August,1976,10.3
September,1976,11.1
October,1976,13.5
November,1976,13.8
December,1976,16.5
January,1977,16.7
February,1977,17
March,1977,17.4
April,1977,13.4
May,1977,9
June,1977,9.3
July,1977,8.8
August,1977,8.5
September,1977,9.7
October,1977,13.5
November,1977,14
December,1977,15.8
January,1978,18.2
February,1978,18.9
March,1978,17.3
April,1978,16.1
May,1978,10.6
June,1978,8.3
July,1978,7.6
August,1978,9
September,1978,11.3
October,1978,12.9
November,1978,15
December,1978,16.9
January,1979,18.5
February,1979,17.3
March,1979,18.5
April,1979,14.1
May,1979,10.5
June,1979,9.6
July,1979,7.9
August,1979,9.1
September,1979,12.4
October,1979,14.1
November,1979,15.7
December,1979,17.4
January,1980,18.5
February,1980,17.4
March,1980,16.3
April,1980,12.9
May,1980,10.8
June,1980,8.5
July,1980,7.4
August,1980,8.9
September,1980,12.7
October,1980,14.6
November,1980,14.1
December,1980,16.2
January,1981,18.8
February,1981,18.1
March,1981,18.9
April,1981,14.7
May,1981,9.9
June,1981,9.9
July,1981,7.8
August,1981,9.1
September,1981,11.8
October,1981,13.5
November,1981,14.9
December,1981,18.2
January,1982,18
February,1982,18.1
March,1982,15.8
April,1982,12.4
May,1982,10.4
June,1982,6.3
July,1982,6.7
August,1982,9
September,1982,10.9
October,1982,12.4
November,1982,15.6
December,1982,15.5
January,1983,16.2
February,1983,16.3
March,1983,17.2
April,1983,14.1
May,1983,11.4
June,1983,8.9
July,1983,5.5
August,1983,9.1
September,1983,12.4
October,1983,14.9
November,1983,14.5
December,1983,16.5
January,1984,16
February,1984,16.8
March,1984,17.8
April,1984,13.5
May,1984,10.5
June,1984,9.3
July,1984,8.5
August,1984,10.6
September,1984,11.3
