PERIOD,YEAR,STATS_VALUE
September,1946,11.3
October,1946,12.2
November,1946,12.4
December,1946,14.8
January,1947,15.9
February,1947,17.5
March,1947,17.5
April,1947,14.9
May,1947,11.5
June,1947,9.3
July,1947,9.4
August,1947,9.3
September,1947,11.1
October,1947,12.6
November,1947,14.1
December,1947,17.2
January,1948,18.5
February,1948,18.4
March,1948,17.7
April,1948,14.6
May,1948,11.9
June,1948,8.9
July,1948,9.7
August,1948,9
September,1948,11.5
October,1948,12.9
November,1948,14.8
December,1948,16.4
January,1949,17.1
February,1949,18.5
March,1949,15.7
April,1949,11.8
May,1949,11.5
June,1949,10.4
July,1949,10
August,1949,10.1
September,1949,10.8
October,1949,13.9
November,1949,14.8
December,1949,15.7
January,1950,17.9
February,1950,17.4
March,1950,15.9
April,1950,14.2
May,1950,13.7
June,1950,10
July,1950,8.9
August,1950,8.7
September,1950,11.2
October,1950,13.8
November,1950,15.7
December,1950,17.7
January,1951,18.4
February,1951,18
March,1951,17.5
April,1951,14.9
May,1951,10.6
June,1951,8.3
July,1951,8.8
August,1951,8.6
September,1951,10.6
October,1951,12.8
November,1951,14.5
January,1952,15.6
February,1952,19.4
March,1952,15.8
April,1952,14.7
May,1952,11.1
June,1952,10.2
July,1952,7.7
August,1952,10.5
September,1952,11.3
October,1952,13.1
November,1952,14.5
December,1952,16.9
February,1953,17
March,1953,16.7
April,1953,14.6
May,1953,11.9
June,1953,10.4
July,1953,8.5
August,1953,9.8
September,1953,12.1
October,1953,12.9
November,1953,15.5
December,1953,18
January,1954,18.9
February,1954,19.9
March,1954,17.8
April,1954,13.7
May,1954,12.3
June,1954,10.6
July,1954,9.2
August,1954,9.7
September,1954,10.8
October,1954,11.9
November,1954,16.2
December,1954,17.5
January,1955,18.4
February,1955,21.1
March,1955,19.3
April,1955,16
May,1955,13.2
June,1955,9.1
July,1955,8
August,1955,10.3
September,1955,11.9
October,1955,14
December,1955,17.6
January,1956,20.1
February,1956,18.9
March,1956,16.5
April,1956,17.5
May,1956,13.2
June,1956,10.4
July,1956,9
August,1956,9.9
September,1956,11.8
October,1956,13.5
November,1956,14.8
January,1957,17.7
February,1957,20.4
March,1957,17.9
April,1957,14.5
May,1957,12.5
June,1957,9.6
July,1957,7.6
August,1957,10.5
September,1957,11.4
October,1957,11.7
November,1957,14.5
December,1957,15.1
January,1958,17.2
February,1958,20.4
March,1958,18.1
April,1958,13.2
May,1958,12.1
June,1958,9.6
July,1958,8.1
August,1958,9.7
September,1958,10.8
October,1958,14.6
November,1958,15.6
December,1958,18.1
January,1959,19.4
February,1959,18.3
March,1959,17.2
April,1959,14.1
May,1959,9.6
June,1959,8
July,1959,8.4
August,1959,10
September,1959,11.3
October,1959,12.5
November,1959,14.6
December,1959,17.9
January,1960,18.1
February,1960,18.8
March,1960,16
April,1960,13.8
May,1960,12.1
June,1960,9.7
July,1960,8.3
August,1960,9.3
September,1960,11.9
October,1960,13.3
November,1960,14.8
December,1960,15.4
January,1961,18.4
February,1961,18.3
March,1961,16.6
April,1961,14.4
May,1961,11.3
June,1961,9.4
July,1961,8.3
August,1961,8.7
September,1961,11.3
October,1961,13.7
November,1961,15.1
December,1961,17.9
January,1962,20.4
February,1962,19
March,1962,16.9
April,1962,15.1
May,1962,13.5
June,1962,10.5
July,1962,9.2
August,1962,10.5
September,1962,11.4
October,1962,14.4
November,1962,15.1
December,1962,16.5
January,1963,18.4
February,1963,20.1
March,1963,17
April,1963,13.5
May,1963,10.9
June,1963,9
July,1963,8.9
August,1963,9.1
September,1963,11.2
October,1963,13.4
November,1963,13.9
December,1963,16
January,1964,16.4
February,1964,18.9
March,1964,16.4
April,1964,14.3
May,1964,10.1
June,1964,9.2
July,1964,10.3
August,1964,9.8
September,1964,10.9
October,1964,12.6
November,1964,14.1
December,1964,16.8
January,1965,19.2
February,1965,17
March,1965,16.4
April,1965,14.2
May,1965,11.2
June,1965,8.7
July,1965,7.1
August,1965,9.7
September,1965,11.3
October,1965,11.9
November,1965,13.8
December,1965,15.9
January,1966,18.5
February,1966,20.3
March,1966,18.1
April,1966,14.3
May,1966,10.3
June,1966,8.5
July,1966,8.7
August,1966,8.2
September,1966,11.2
October,1966,12.5
November,1966,13.9
December,1966,15.3
January,1967,16.6
February,1967,17.3
March,1967,17.1
April,1967,14.1
May,1967,11.4
June,1967,7.1
July,1967,7.8
August,1967,11.2
September,1967,11
October,1967,14.4
November,1967,15.2
December,1967,17.4
January,1968,17.5
February,1968,17.8
March,1968,19.9
April,1968,15.2
May,1968,12
June,1968,10
July,1968,8.6
August,1968,9.9
September,1968,10.1
October,1968,11.5
November,1968,13.1
December,1968,15.6
January,1969,17.2
February,1969,17.9
March,1969,15.8
April,1969,13.4
May,1969,11.8
June,1969,9.1
July,1969,7.2
August,1969,9.8
September,1969,12.2
October,1969,11.3
November,1969,15.5
December,1969,18.2
January,1970,19.9
February,1970,19.1
March,1970,18.8
April,1970,15.1
May,1970,11
June,1970,9.5
July,1970,9.6
August,1970,10.2
September,1970,11.9
October,1970,13.7
November,1970,15.7
December,1970,17.2
January,1971,20.7
February,1971,19.7
March,1971,17.1
April,1971,15.2
May,1971,12.5
June,1971,11.6
July,1971,8.6
August,1971,11
September,1971,11.7
October,1971,13.1
November,1971,15.4
December,1971,17.5
January,1972,17.6
February,1972,18.2
March,1972,17.7
April,1972,14.7
May,1972,11.2
June,1972,7.7
July,1972,9.2
August,1972,8.6
September,1972,11.5
October,1972,13.1
November,1972,16.8
December,1972,15.4
January,1973,18.1
February,1973,18.9
March,1973,18.1
April,1973,15
May,1973,12.5
June,1973,10.5
July,1973,8.3
August,1973,10.2
September,1973,12.3
October,1973,13.8
November,1973,16
December,1973,18.1
January,1974,18.6
February,1974,22
March,1974,16.5
April,1974,15.7
May,1974,12.3
June,1974,9.4
July,1974,10
August,1974,10.1
September,1974,12.5
October,1974,13.4
November,1974,16.2
December,1974,18.3
January,1975,19.6
February,1975,19.8
March,1975,18.2
April,1975,15
May,1975,13.4
June,1975,8
July,1975,7.7
August,1975,10.4
September,1975,11.7
October,1975,14.1
November,1975,14.5
December,1975,15.8
January,1976,18.5
February,1976,15.8
March,1976,17.6
April,1976,15
May,1976,10.5
June,1976,8.7
July,1976,8.4
August,1976,10.8
September,1976,11.3
October,1976,12.7
November,1976,13.8
December,1976,16.7
January,1977,17.1
February,1977,18.9
March,1977,18.4
April,1977,14.5
May,1977,9.6
June,1977,9.8
July,1977,9.8
August,1977,10
September,1977,9.6
October,1977,12.4
November,1977,13.4
December,1977,15.6
January,1978,19.3
February,1978,20.8
March,1978,18.2
April,1978,17.1
May,1978,12
June,1978,9.4
July,1978,8.9
August,1978,9.9
September,1978,11.6
October,1978,12.2
November,1978,15.3
December,1978,17.1
January,1979,18.9
February,1979,18.6
March,1979,18.7
April,1979,14.9
May,1979,11.6
June,1979,10.9
July,1979,9.2
August,1979,10.2
September,1979,12.1
October,1979,13.3
November,1979,15.8
December,1979,16.7
January,1980,18.5
February,1980,18.7
March,1980,16.4
April,1980,13.6
May,1980,11.8
June,1980,9.5
July,1980,8.6
August,1980,9.4
September,1980,12.2
October,1980,14.1
November,1980,14.1
January,1981,19.8
February,1981,19.5
March,1981,19.5
April,1981,15.8
May,1981,11.6
June,1981,11
July,1981,9.2
August,1981,9.7
September,1981,11.4
October,1981,13.1
November,1981,15.6
December,1981,18.4
January,1982,18.4
February,1982,20.1
March,1982,16.2
April,1982,13.2
May,1982,11.7
June,1982,7.9
July,1982,8.3
August,1982,9.8
September,1982,10.7
October,1982,11.5
November,1982,15.5
December,1982,15.6
January,1983,16.3
February,1983,17.3
April,1983,14.7
May,1983,11.6
June,1983,10
July,1983,7.5
August,1983,10
September,1983,12.2
October,1983,14.2
November,1983,15
December,1983,16.2
January,1984,16.7
February,1984,18.3
March,1984,18.1
April,1984,14.2
May,1984,11.4
June,1984,10.2
July,1984,9.7
August,1984,11.2
September,1984,11.4
