PERIOD,YEAR,STATS_VALUE
September,1946,15.6
October,1946,16.5
November,1946,17
December,1946,19.4
January,1947,21.2
February,1947,23.8
March,1947,23.7
April,1947,19.3
May,1947,16.2
June,1947,13.6
July,1947,13.7
August,1947,13.7
September,1947,15.8
October,1947,16.8
November,1947,19.9
December,1947,22.4
January,1948,24.2
February,1948,24.1
March,1948,23.4
April,1948,19.4
May,1948,16.1
June,1948,13.4
July,1948,14
August,1948,13.9
September,1948,16.5
October,1948,16.9
November,1948,20
December,1948,21.5
January,1949,22.2
February,1949,24.2
March,1949,21
April,1949,17.3
May,1949,16.1
June,1949,14.4
July,1949,14.1
August,1949,14.3
September,1949,15.8
October,1949,19.3
November,1949,20.3
December,1949,21.2
January,1950,24.8
February,1950,23.7
March,1950,22.2
April,1950,19.6
May,1950,18.3
June,1950,14.4
July,1950,13.6
August,1950,14.1
September,1950,16.6
October,1950,18.9
November,1950,20.2
December,1950,23.2
January,1951,23.7
February,1951,23.9
March,1951,23.9
April,1951,19.8
May,1951,15.6
June,1951,13.4
July,1951,13.3
August,1951,13.2
September,1951,15.7
October,1951,17.3
November,1951,18.7
January,1952,20.5
February,1952,24.1
March,1952,21
April,1952,19.9
May,1952,15.7
June,1952,13.3
July,1952,12.9
August,1952,15
September,1952,16.5
October,1952,18.3
November,1952,18.5
December,1952,21
February,1953,21.8
March,1953,21.7
April,1953,18.7
May,1953,16.2
June,1953,14.6
July,1953,13
August,1953,14.4
September,1953,16.3
October,1953,17.5
November,1953,19.8
December,1953,22.2
January,1954,25.1
February,1954,25.5
March,1954,22
April,1954,18.3
May,1954,17.2
June,1954,15
July,1954,13.7
August,1954,14.2
September,1954,15.8
October,1954,17.9
November,1954,21
December,1954,22
January,1955,23.9
February,1955,26.7
March,1955,24.2
April,1955,21.2
May,1955,18
June,1955,13.5
July,1955,13
August,1955,14.7
September,1955,16.2
October,1955,17.9
December,1955,22.7
January,1956,24.7
February,1956,24.2
March,1956,22.7
April,1956,21.3
May,1956,17.1
June,1956,14.5
July,1956,13
August,1956,14.1
September,1956,16.8
October,1956,18.1
November,1956,19.5
January,1957,23.8
February,1957,26.1
March,1957,23.2
April,1957,19.9
May,1957,16.3
June,1957,14.1
July,1957,12.4
August,1957,14.4
September,1957,16.4
October,1957,16.3
November,1957,19
December,1957,19.9
January,1958,23
February,1958,25.5
March,1958,22.9
April,1958,18.3
May,1958,16.4
June,1958,13.8
July,1958,12.8
August,1958,14.2
September,1958,15.8
October,1958,18.4
November,1958,21
December,1958,22
January,1959,24.4
February,1959,23.8
March,1959,21.8
April,1959,19.3
May,1959,14.5
June,1959,13
July,1959,12.9
August,1959,14.7
September,1959,16.4
October,1959,16.9
November,1959,19.4
December,1959,22.6
January,1960,23.2
February,1960,23.8
March,1960,20.7
April,1960,19.2
May,1960,16.7
June,1960,14.1
July,1960,13.5
August,1960,14.2
September,1960,15.9
October,1960,18
November,1960,19.7
December,1960,20.7
January,1961,23.3
February,1961,23.6
March,1961,22.2
April,1961,20
May,1961,16.3
June,1961,13.7
July,1961,12.7
August,1961,13.9
September,1961,15.6
October,1961,18.6
November,1961,20.6
December,1961,23.7
January,1962,26
February,1962,25.5
March,1962,21.9
April,1962,20.4
May,1962,17.8
June,1962,14.6
July,1962,14
August,1962,15
September,1962,16.1
October,1962,18.5
November,1962,19.7
December,1962,21.5
January,1963,24.1
February,1963,24.8
March,1963,22.5
April,1963,18.8
May,1963,16.2
June,1963,13.6
July,1963,13.1
August,1963,13.7
September,1963,16
October,1963,18.8
November,1963,18.9
December,1963,21.1
January,1964,21.6
February,1964,24.8
March,1964,21
April,1964,19.8
May,1964,15.2
June,1964,13.5
July,1964,13.9
August,1964,13.7
September,1964,15
October,1964,17
November,1964,18.4
December,1964,21.7
January,1965,24
February,1965,21.5
March,1965,20.9
April,1965,19.7
May,1965,16
June,1965,13.7
July,1965,11.9
August,1965,13.8
September,1965,16.1
October,1965,16.6
November,1965,18.5
December,1965,21.6
January,1966,23
February,1966,24.7
March,1966,23
April,1966,19.7
May,1966,15
June,1966,13.2
July,1966,13
August,1966,13.2
September,1966,15.5
