PERIOD,YEAR,STATS_VALUE
September,1946,7
October,1946,7.9
November,1946,7.9
December,1946,10.2
January,1947,10.6
February,1947,11.2
March,1947,11.3
April,1947,10.6
May,1947,6.7
June,1947,5
July,1947,5.1
August,1947,4.8
September,1947,6.4
October,1947,8.5
November,1947,8.3
December,1947,12
January,1948,12.8
February,1948,12.6
March,1948,12
April,1948,9.7
May,1948,7.6
June,1948,4.4
July,1948,5.5
August,1948,4.2
September,1948,6.6
October,1948,8.9
November,1948,9.7
December,1948,11.3
January,1949,11.9
February,1949,12.8
March,1949,10.4
April,1949,6.3
May,1949,6.9
June,1949,6.3
July,1949,6
August,1949,5.8
September,1949,5.9
October,1949,8.5
November,1949,9.4
December,1949,10.2
January,1950,11
February,1950,11.2
March,1950,9.6
April,1950,8.8
May,1950,9
June,1950,5.6
July,1950,4.1
August,1950,3.4
September,1950,5.7
October,1950,8.7
November,1950,11.2
December,1950,12.2
January,1951,13.2
February,1951,12.2
March,1951,11.1
April,1951,10
May,1951,5.5
June,1951,3.2
July,1951,4.2
August,1951,4.1
September,1951,5.4
October,1951,8.3
November,1951,10.3
December,1951,10
January,1952,10.7
February,1952,14.7
March,1952,10.6
April,1952,9.6
May,1952,6.4
June,1952,7
July,1952,2.6
August,1952,5.9
September,1952,6
October,1952,7.9
November,1952,10.6
December,1952,12.7
January,1953,12.5
February,1953,12.3
March,1953,11.8
April,1953,10.4
May,1953,7.7
June,1953,6.1
July,1953,4
August,1953,5.3
September,1953,7.9
October,1953,8.4
November,1953,11.3
December,1953,13.8
January,1954,12.7
February,1954,14.2
March,1954,13.6
April,1954,9.1
May,1954,7.3
June,1954,6.1
July,1954,4.6
August,1954,5.3
September,1954,5.8
October,1954,5.8
November,1954,11.4
December,1954,13.1
January,1955,13
February,1955,15.5
March,1955,14.3
April,1955,10.7
May,1955,8.5
June,1955,4.7
July,1955,3.1
August,1955,5.9
September,1955,7.7
October,1955,10.1
November,1955,10
December,1955,12.4
January,1956,15.4
February,1956,13.6
March,1956,10.4
April,1956,13.7
May,1956,9.4
June,1956,6.4
July,1956,5
August,1956,5.7
September,1956,6.7
October,1956,8.9
November,1956,10
December,1956,11.3
January,1957,11.6
February,1957,14.7
March,1957,12.6
April,1957,9.1
May,1957,8.7
June,1957,5
July,1957,2.9
August,1957,6.6
September,1957,6.4
October,1957,7.2
November,1957,9.9
December,1957,10.2
January,1958,11.3
February,1958,15.2
March,1958,13.3
April,1958,8
May,1958,7.8
June,1958,5.5
July,1958,3.4
August,1958,5.1
September,1958,5.9
October,1958,10.8
November,1958,10.2
December,1958,14.2
January,1959,14.3
February,1959,12.9
March,1959,12.6
April,1959,8.9
May,1959,4.7
June,1959,3.1
July,1959,3.9
August,1959,5.3
September,1959,6.2
October,1959,8
November,1959,9.8
December,1959,13.2
January,1960,13.1
February,1960,13.8
March,1960,11.3
April,1960,8.4
May,1960,7.5
June,1960,5.3
July,1960,3.2
August,1960,4.4
September,1960,8
October,1960,8.6
November,1960,9.9
December,1960,10
January,1961,13.4
February,1961,13
March,1961,11.1
April,1961,8.8
May,1961,6.3
June,1961,5.2
July,1961,3.9
August,1961,3.6
September,1961,7
October,1961,8.8
November,1961,9.6
December,1961,12.2
January,1962,14.7
February,1962,12.5
March,1962,11.8
April,1962,9.8
May,1962,9.3
June,1962,6.4
July,1962,4.3
August,1962,5.9
September,1962,6.8
October,1962,10.3
November,1962,10.6
December,1962,11.5
January,1963,12.7
February,1963,15.4
March,1963,11.4
April,1963,8.2
May,1963,5.7
June,1963,4.4
July,1963,4.6
August,1963,4.6
September,1963,6.4
October,1963,8.1
November,1963,8.9
December,1963,11
January,1964,11.1
February,1964,12.9
March,1964,11.7
April,1964,8.8
May,1964,4.9
June,1964,4.8
July,1964,6.7
August,1964,6
September,1964,6.8
October,1964,8.2
November,1964,9.8
December,1964,11.8
January,1965,14.3
February,1965,12.5
March,1965,11.9
April,1965,8.7
May,1965,6.3
June,1965,3.7
July,1965,2.2
August,1965,5.6
September,1965,6.5
October,1965,7.2
November,1965,9
December,1965,10.2
January,1966,14
February,1966,15.8
March,1966,13.3
April,1966,8.9
May,1966,5.6
June,1966,3.7
July,1966,4.3
August,1966,3.1
September,1966,6.9
October,1966,7.3
November,1966,9.5
December,1966,10.7
January,1967,11.3
February,1967,12.2
March,1967,12.8
April,1967,9.5
May,1967,7.4
June,1967,2.1
July,1967,3.2
August,1967,7.4
September,1967,6.6
October,1967,9.8
November,1967,10.9
December,1967,13.1
January,1968,12.1
February,1968,11.9
March,1968,14.3
April,1968,11.6
May,1968,7
June,1968,6.4
July,1968,4.7
August,1968,6.2
September,1968,5.6
October,1968,7.5
November,1968,9.1
December,1968,11.2
January,1969,12
February,1969,12.7
March,1969,10.3
April,1969,8.8
May,1969,7.7
June,1969,4.9
July,1969,2.5
August,1969,5.6
September,1969,7.5
October,1969,6.5
November,1969,10.1
December,1969,13.2
January,1970,14
February,1970,12.1
March,1970,13.2
April,1970,10
May,1970,6.3
June,1970,4.9
July,1970,5.2
August,1970,5.8
September,1970,7.8
October,1970,9.6
November,1970,10.6
December,1970,11.3
January,1971,15.6
February,1971,15
March,1971,11.4
April,1971,10.3
May,1971,7.6
June,1971,7.7
July,1971,3.4
August,1971,6.6
September,1971,7.7
October,1971,8.9
November,1971,10.6
December,1971,12.6
January,1972,12.4
February,1972,12.2
March,1972,13
April,1972,10
May,1972,6.4
June,1972,3
July,1972,5.1
August,1972,3.8
September,1972,7
October,1972,8.9
November,1972,12.6
December,1972,10.8
January,1973,12.7
February,1973,12.4
March,1973,12.9
April,1973,10.1
May,1973,8.5
June,1973,6
July,1973,3.6
August,1973,6.2
September,1973,8.1
October,1973,9.1
November,1973,11.7
December,1973,12.9
January,1974,12.1
February,1974,16.7
March,1974,10.8
April,1974,10.8
May,1974,7.6
June,1974,4.7
July,1974,5.8
August,1974,5.8
September,1974,8.2
October,1974,8.6
November,1974,11.3
December,1974,12.9
January,1975,14.3
February,1975,14.3
March,1975,12.9
April,1975,9.6
May,1975,9.4
June,1975,3.1
July,1975,2.5
August,1975,5.9
September,1975,7.4
October,1975,9.7
November,1975,9.7
December,1975,10.9
January,1976,14.4
February,1976,10.1
March,1976,12.5
April,1976,10.1
May,1976,5.3
June,1976,4.2
July,1976,3.9
August,1976,6.7
September,1976,6.9
October,1976,8
November,1976,8.9
December,1976,12.1
January,1977,12.1
February,1977,13.2
March,1977,12.7
April,1977,9
May,1977,4.6
June,1977,5.7
July,1977,5.7
August,1977,5.3
September,1977,4.9
October,1977,8
November,1977,8.3
December,1977,10.1
January,1978,13.4
February,1978,14.9
March,1978,12.2
April,1978,12.1
May,1978,7.2
June,1978,5.5
July,1978,4.3
August,1978,5.5
September,1978,7.1
October,1978,6.9
November,1978,10.2
December,1978,11.9
January,1979,13.1
February,1979,13.6
March,1979,14.4
April,1979,9.9
May,1979,7.1
June,1979,6.8
July,1979,4.8
August,1979,5.9
September,1979,8
October,1979,9
November,1979,11
December,1979,11.4
January,1980,13.6
February,1980,13.7
March,1980,11.5
April,1980,8.3
May,1980,7.2
June,1980,5.1
July,1980,4.2
August,1980,4.7
September,1980,8.2
October,1980,9.4
November,1980,9.9
December,1980,11.6
January,1981,14.7
February,1981,14.9
March,1981,15
April,1981,10.7
May,1981,6.7
June,1981,6.9
July,1981,4.6
August,1981,5.6
September,1981,7.8
October,1981,8.8
November,1981,11.5
December,1981,14
January,1982,13
February,1982,14.3
March,1982,10.5
April,1982,7.8
May,1982,6.7
June,1982,2.8
July,1982,3.6
August,1982,5
September,1982,5.3
October,1982,6.7
November,1982,10.5
December,1982,10.3
January,1983,10.5
February,1983,11.6
April,1983,10.2
May,1983,7.1
June,1983,5.9
July,1983,2
August,1983,5.2
September,1983,7.5
October,1983,10.2
November,1983,9.8
December,1983,11.1
January,1984,10.7
February,1984,12.8
March,1984,13.6
April,1984,8.3
May,1984,6.4
June,1984,5.6
July,1984,4.8
August,1984,7.6
September,1984,6.6
