PERIOD,YEAR,STATS_VALUE
September,1946,18
October,1946,20
November,1946,23
December,1946,19
January,1947,10
February,1947,5
March,1947,7
April,1947,14
May,1947,15
June,1947,19
July,1947,19
August,1947,22
September,1947,15
October,1947,16
November,1947,6
December,1947,13
January,1948,8
February,1948,6
March,1948,11
April,1948,16
May,1948,22
June,1948,15
July,1948,22
August,1948,14
September,1948,13
October,1948,26
November,1948,18
December,1948,11
January,1949,14
February,1949,9
March,1949,9
April,1949,16
May,1949,11
June,1949,22
July,1949,25
August,1949,15
September,1949,13
October,1949,18
November,1949,12
December,1949,14
January,1950,8
February,1950,5
March,1950,7
April,1950,12
May,1950,13
June,1950,20
July,1950,8
August,1950,15
September,1950,13
October,1950,15
November,1950,10
December,1950,9
January,1951,9
February,1951,13
March,1951,7
April,1951,21
May,1951,17
June,1951,11
July,1951,18
August,1951,17
September,1951,8
October,1951,18
November,1951,21
December,1951,19
January,1952,11
February,1952,14
March,1952,8
April,1952,10
May,1952,18
June,1952,25
July,1952,9
August,1952,13
September,1952,15
October,1952,14
November,1952,23
December,1952,13
January,1953,13
February,1953,7
March,1953,11
April,1953,20
May,1953,14
June,1953,23
July,1953,16
August,1953,16
September,1953,15
October,1953,17
November,1953,11
December,1953,8
January,1954,6
February,1954,9
March,1954,15
April,1954,12
May,1954,12
June,1954,19
July,1954,22
August,1954,18
September,1954,8
October,1954,9
November,1954,10
December,1954,10
January,1955,7
February,1955,8
March,1955,9
April,1955,10
May,1955,15
June,1955,17
July,1955,15
August,1955,22
September,1955,12
October,1955,17
November,1955,12
December,1955,5
January,1956,8
February,1956,9
March,1956,9
April,1956,22
May,1956,14
June,1956,24
July,1956,19
August,1956,20
September,1956,16
October,1956,22
November,1956,19
December,1956,14
January,1957,4
February,1957,4
March,1957,12
April,1957,13
May,1957,24
June,1957,19
July,1957,13
August,1957,18
September,1957,14
October,1957,24
November,1957,14
December,1957,15
January,1958,6
February,1958,11
March,1958,10
April,1958,12
May,1958,17
June,1958,12
July,1958,15
August,1958,19
September,1958,11
October,1958,20
November,1958,8
December,1958,19
January,1959,9
February,1959,9
March,1959,12
April,1959,15
May,1959,18
June,1959,11
July,1959,19
August,1959,18
September,1959,13
October,1959,14
November,1959,9
December,1959,14
January,1960,6
February,1960,13
March,1960,15
April,1960,11
May,1960,18
June,1960,18
July,1960,17
August,1960,14
September,1960,18
October,1960,12
November,1960,13
December,1960,10
January,1961,8
February,1961,9
March,1961,10
April,1961,11
May,1961,17
June,1961,23
July,1961,17
August,1961,10
September,1961,15
October,1961,9
November,1961,4
December,1961,10
January,1962,12
February,1962,8
March,1962,18
April,1962,15
May,1962,19
June,1962,21
July,1962,15
August,1962,19
September,1962,12
October,1962,19
November,1962,14
December,1962,11
January,1963,6
February,1963,10
March,1963,9
April,1963,9
May,1963,14
June,1963,16
July,1963,19
August,1963,14
September,1963,15
October,1963,6
November,1963,15
December,1963,12
January,1964,14
February,1964,6
March,1964,14
April,1964,8
May,1964,17
June,1964,19
July,1964,23
August,1964,24
September,1964,18
October,1964,16
November,1964,17
December,1964,10
January,1965,13
February,1965,11
March,1965,16
April,1965,11
May,1965,17
June,1965,15
July,1965,16
August,1965,17
September,1965,11
October,1965,12
November,1965,15
December,1965,11
January,1966,13
February,1966,11
March,1966,10
April,1966,13
May,1966,11
June,1966,14
July,1966,13
August,1966,14
September,1966,11
October,1966,14
