PERIOD,YEAR,STATS_VALUE
September,1946,1.9
October,1946,2.1
November,1946,2.3
December,1946,2.2
January,1947,2.3
February,1947,2.7
March,1947,2.2
April,1947,1.9
May,1947,2.6
June,1947,2.9
July,1947,2.4
August,1947,2.3
September,1947,1.7
October,1947,2.3
November,1947,1.7
December,1947,2
January,1948,1.8
February,1948,2
March,1948,2.2
April,1948,2.8
May,1948,1.5
June,1948,2.4
July,1948,2.2
August,1948,1.8
September,1948,2
October,1948,2.3
November,1948,2.2
December,1948,2.8
January,1949,2.1
February,1949,2.6
March,1949,2.7
April,1949,1.8
May,1949,2.3
June,1949,2
July,1949,3
August,1949,1.8
September,1949,1.8
October,1949,2.2
November,1949,1.6
December,1949,2
January,1950,1.8
February,1950,2.2
March,1950,2
April,1950,2.1
May,1950,3
June,1950,3.3
July,1950,2.3
August,1950,2
September,1950,2
October,1950,2.3
November,1950,1.4
December,1950,1.9
January,1951,1.9
February,1951,1.6
March,1951,1.8
April,1951,2.1
May,1951,2.4
June,1951,2.6
July,1951,2.3
August,1951,1.9
September,1951,3
October,1951,2.8
November,1951,1.5
January,1952,1.7
February,1952,1.5
March,1952,2.3
April,1952,1.8
May,1952,2.1
June,1952,2.4
July,1952,2
August,1952,1.9
September,1952,1.9
October,1952,1.8
November,1952,1.6
December,1952,1.9
February,1953,2.2
March,1953,1.5
April,1953,2
May,1953,3
June,1953,2.6
July,1953,2.5
August,1953,1.8
September,1953,1.6
October,1953,1.5
November,1953,2.1
December,1953,2.7
January,1954,1.5
February,1954,2
March,1954,2.1
April,1954,2.7
May,1954,2.7
June,1954,2.9
July,1954,2
August,1954,2.1
September,1954,1.9
October,1954,1.6
November,1954,1.7
December,1954,1.5
January,1955,1.9
February,1955,1.7
March,1955,2.4
April,1955,2.3
May,1955,3.2
June,1955,3
July,1955,1.7
August,1955,2.3
September,1955,1.9
October,1955,1.1
December,1955,2.1
January,1956,1.5
February,1956,1.5
March,1956,3
April,1956,1.6
May,1956,2.3
June,1956,2.9
July,1956,2
August,1956,2
September,1956,2
October,1956,1.8
November,1956,2
January,1957,2
February,1957,1.8
March,1957,2.3
April,1957,1.9
May,1957,1.8
June,1957,2.6
July,1957,2.2
August,1957,2.2
September,1957,1.2
October,1957,1.6
November,1957,2.4
December,1957,2.2
January,1958,3.1
February,1958,1.6
March,1958,2.2
April,1958,1.8
May,1958,1.9
June,1958,2.9
July,1958,2.3
August,1958,2.6
September,1958,1.8
October,1958,2
November,1958,1.3
December,1958,1.8
January,1959,2
February,1959,2
March,1959,1.9
April,1959,1.9
May,1959,1.8
June,1959,2.7
July,1959,2.5
August,1959,1.7
September,1959,1.7
October,1959,2
November,1959,1.7
December,1959,1.8
January,1960,2.3
February,1960,2.4
March,1960,2.4
April,1960,2
May,1960,2.3
June,1960,2.6
July,1960,2.7
August,1960,1.8
September,1960,1.5
October,1960,1.2
November,1960,1.4
December,1960,2.1
January,1961,1.7
February,1961,2.4
March,1961,2.8
April,1961,2.4
May,1961,2
June,1961,1.8
July,1961,2
August,1961,1.9
September,1961,1.9
October,1961,1.6
November,1961,2.3
December,1961,1.7
January,1962,1.3
February,1962,1.9
March,1962,2.8
April,1962,2.7
May,1962,2.5
June,1962,3.1
July,1962,2
August,1962,2
September,1962,1.8
October,1962,1.5
November,1962,1.4
December,1962,1.6
January,1963,1.8
February,1963,2
March,1963,2
April,1963,2.4
May,1963,3
June,1963,2.9
July,1963,2.6
August,1963,1.7
September,1963,1.8
October,1963,2.1
November,1963,1.8
December,1963,2.1
January,1964,1.8
February,1964,1.7
March,1964,1.9
April,1964,2.7
May,1964,3
June,1964,1.8
July,1964,1.9
August,1964,1.4
September,1964,2.1
October,1964,1.6
November,1964,1.6
December,1964,2
January,1965,1.4
February,1965,1.6
March,1965,2.3
April,1965,1.6
May,1965,2.4
June,1965,2.5
July,1965,2.4
August,1965,3
September,1965,1.7
October,1965,2.5
November,1965,2.3
December,1965,2.6
January,1966,2.1
February,1966,1.6
March,1966,1.8
April,1966,1.8
May,1966,2.4
June,1966,3
July,1966,2.3
August,1966,2.2
September,1966,1.9
October,1966,1.3
November,1966,2.1
December,1966,1.7
January,1967,1.7
February,1967,2.1
March,1967,2.1
April,1967,2.4
May,1967,2.6
June,1967,2.6
July,1967,2.7
August,1967,2.2
September,1967,1.7
October,1967,1.9
November,1967,2.4
December,1967,2.2
January,1968,1.9
February,1968,2
March,1968,1.3
April,1968,3.1
May,1968,2.4
June,1968,2.6
July,1968,2.5
August,1968,1.7
September,1968,1.6
October,1968,2
November,1968,2
December,1968,2.1
January,1969,1.6
February,1969,1.5
March,1969,1.7
April,1969,3.3
May,1969,2.8
June,1969,2
July,1969,2.3
August,1969,2.3
September,1969,1.6
October,1969,1.9
November,1969,2.3
December,1969,1.8
January,1970,2.3
February,1970,1.6
March,1970,2.5
April,1970,2.1
May,1970,3.2
June,1970,3.1
July,1970,2.2
August,1970,2.3
September,1970,2
October,1970,2
November,1970,2
December,1970,1.9
January,1971,1.4
February,1971,1.9
March,1971,1.4
April,1971,1.4
