YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1984,,,,9,14,9,,,,,,,
1985,3,,,,,,,,,,,,
1986,,,8,5,,,,,,,,,
1987,,,12,9,,,,,13,9,,,
1988,,,,9,,,,,,,,,
1989,,,9,,,20,10,18,,,,,
1990,,,,,,,,,,,14,8,
1991,,,7,,9,,,,,,,,
1992,,,,11,,19,,,,,11,,
1993,,,,,,12,6,,,,,15,
1994,15,,,,13,,20,5,,,7,,
1995,10,,,18,11,19,12,17,15,,,6,
1996,,,,11,11,,,,,11,21,,
1997,11,,12,,14,15,11,13,13,7,9,11,
1998,6,,,,,11,13,15,,,,,
1999,10,6,,13,10,15,17,15,10,12,14,7,
2000,14,8,6,16,7,10,14,16,13,12,14,12,142
2001,,10,3,5,18,13,13,12,7,14,16,11,
2002,14,10,6,14,10,16,10,13,9,9,13,11,135
2003,10,9,10,9,12,7,13,14,12,13,8,3,120
2004,10,17,11,14,17,10,11,21,13,10,7,18,159
2005,7,14,15,10,14,19,14,7,14,,9,15,
2006,15,9,16,14,15,16,13,14,6,9,15,15,157
2007,11,10,8,14,5,16,17,11,9,13,8,15,137
2008,6,10,9,15,11,17,22,17,13,8,8,13,149
2009,7,13,11,9,19,15,14,10,9,17,12,15,151
2010,13,9,,7,15,22,14,16,10,8,6,11,
2011,14,11,11,12,15,14,14,12,8,17,16,8,152
2012,12,13,11,8,14,16,11,17,9,13,10,6,140
2013,8,4,7,12,15,,8,11,0,,12,15,
2014,11,9,,,10,11,21,,,,,9,
2015,10,6,,,8,16,14,16,18,7,9,,
2016,13,,4,6,,9,7,15,14,12,13,8,
2017,,5,,,14,,18,14,14,12,,7,
2018,,,,,,,8,13,9,,,,
2019,5,,,,,,,,,,7,7,
2020,5,8,,9,,19,9,,,6,,10,
2021,,,4,10,10,20,12,18,14,12,14,15,
2022,9,10,13,6,15,19,18,13,14,11,,15,
2023,8,11,16,20,15,14,20,15,14,,,,
2024,14,,12,12,18,14,,11,15,15,13,11,
2025,15,,14,,,18,,,,,,,
