"Date","Event","Categories","Cost ($m)","Inflation adjusted cost ($m)","More Info"
"2025 Jan 26","Mangawhai weather event","Tornado","10.2","10.3","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"2025 Jan 1","Annual total","Extreme weather","63.5","64.1","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"2024 Oct 1-4","South Island Otago weather event","Storm","33.8","36.2","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"2024 25-27 June","North Island East Coast","Storm","29.7","30.3","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"2024 Jan 1","Annual total","Extreme weather","3875.5","3998.4","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"2023 9-10 May","North Island Weather","Storms","41.4","44.0","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"2023 Feb 21 - 28","North Island weather","Storms","20.8","22.3","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"2023 Feb 11 -17","Cyclone Gabrielle to 1 Mar 2024","Storm","1835.2","1970.2","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"2023 Jan 27 - Feb 02","Auckland Anniversary Weekend to 1 Mar 2024","Flood","1978.1","2128.0","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"2023 Jan 1","Annual total","Extreme weather","351.3","379.3","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"2022 Nov 18 - 25","Aotearoa storms","Storms","21.6","23.5","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"2022 Aug 18 - 21","Remainder of New Zealand (incl. Marlborough)","Flood","36.7","40.6","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"2022 Aug 18 - 21","Nelson-Tasman Flooding","Flood","31.1","34.4","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"2022 Jul 24 - 27","New Zealand weather","Storm","17.2","19.1","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"2022 Jul 17 - 21","South Island weather","Storm","20.6","23.0","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"2022 Jul 11 - 13","New Zealand weather","Storm","18.2","20.3","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"2022 Jun 9 - 14","North and South Island Storm","Storm","20.3","22.8","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"2022 May 20 - 20","Levin Tornado","Tornado","11.1","12.5","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"2022 Mar 21 - 29","North Island Floods","Flood, Rain, Storm","119.6","136.3","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"2022 Feb 9 - 14","Cyclone Dovi","Cyclone","54.8","62.9","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"2022 Jan 15 - 15","Tonga Volcanic eruption and tsunami","Earthquake","5.9","6.8","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"2022 Jan 1","Annual total","Extreme weather","324.9","376.1","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"2021 Nov 3 - 5","Gisborne Floods","Flood","3.4","4.0","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"2021 Sep 9 - 13","South Island Windstorm","Wind, Storm","36.5","43.1","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"2021 Aug 30 - 31","West Auckland Flooding","Flood","62.3","73.7","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"2021 Jul 16 - 19","West Coast Flooding","Flood","97.2","116.2","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"2021 Jul 16 - 19","Wellington Floods","Flood","17.9","21.4","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"2021 Jul 16 - 19","Upper South Island Floods","Flood","17.4","20.8","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"2021 Jul 16 - 19","North Island (excluding Wellington) Floods","Flood","8.0","9.6","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
