Date,"NZ TOTAL(MW)","NZ TOTAL(MVAR)","NI TOTAL(MW)","NI TOTAL(MVAR)","SI TOTAL(MW)","SI TOTAL(MVAR)","Northland (GZ1) (MW)","Northland (GZ1) (MVAR)","Auckland (GZ2) (MW)","Auckland (GZ2) (MVAR)","Hamilton (GZ3) (MW)","Hamilton (GZ3) (MVAR)","Edgecumbe (GZ4) (MW)","Edgecumbe (GZ4) (MVAR)","Hawkes Bay (GZ5) (MW)","Hawkes Bay (GZ5) (MVAR)","Taranaki (GZ6) (MW)","Taranaki (GZ6) (MVAR)","Bunnythorpe (GZ7) (MW)","Bunnythorpe (GZ7) (MVAR)","Wellington (GZ8) (MW)","Wellington (GZ8) (MVAR)","Nelson (GZ9) (MW)","Nelson (GZ9) (MVAR)","Christchurch (GZ10) (MW)","Christchurch (GZ10) (MVAR)","Canterbury (GZ11) (MW)","Canterbury (GZ11) (MVAR)","West Coast (GZ12) (MW)","West Coast (GZ12) (MVAR)","Otago (GZ13) (MW)","Otago (GZ13) (MVAR)","Southland (GZ14) (MW)","Southland (GZ14) (MVAR)"
"01 Jul 2025 00:00",4206.95,-370.50,2499.82,-309.09,1707.13,-61.41,442.93,-84.03,724.40,-73.60,307.16,-68.68,278.96,-0.49,179.60,-12.20,103.70,-1.19,145.28,-17.76,317.79,-51.14,136.21,-11.46,461.90,-73.60,204.66,-65.50,21.76,-3.83,141.63,-18.03,740.97,111.01
"01 Jul 2025 00:05",4169.96,-371.89,2473.14,-312.95,1696.82,-58.94,434.55,-85.09,715.10,-73.90,303.59,-67.83,278.68,-2.62,177.80,-12.60,105.32,-1.98,143.78,-17.11,314.32,-51.82,135.28,-9.51,454.00,-76.20,201.76,-66.70,22.38,-4.85,139.43,-18.22,743.97,116.54
"01 Jul 2025 00:10",4138.56,-360.80,2454.92,-308.98,1683.64,-51.82,428.31,-85.19,714.80,-72.30,298.10,-68.02,278.83,-0.66,177.80,-12.20,104.46,-1.67,143.05,-16.69,309.57,-52.25,134.95,-8.51,449.80,-75.90,199.26,-67.00,22.09,-5.19,138.03,-18.05,739.51,122.83
"01 Jul 2025 00:15",4107.30,-363.15,2433.29,-312.67,1674.01,-50.48,422.78,-85.84,709.20,-73.60,294.73,-68.71,278.15,-1.60,177.00,-12.20,103.78,-0.96,141.92,-16.87,305.73,-52.89,132.65,-9.07,445.50,-76.70,195.96,-67.10,21.26,-4.86,136.67,-18.17,741.97,125.42
"01 Jul 2025 00:20",4063.05,-371.83,2401.46,-319.12,1661.59,-52.71,419.36,-86.97,697.70,-76.40,289.93,-70.24,273.21,-2.44,173.60,-12.10,103.43,-1.19,140.68,-17.11,303.55,-52.67,132.14,-10.82,439.00,-77.10,195.16,-67.30,21.26,-4.60,136.32,-18.43,737.71,125.54
"01 Jul 2025 00:25",4047.38,-376.93,2386.14,-316.37,1661.24,-60.56,414.51,-87.28,693.60,-74.50,287.97,-70.08,272.23,-1.62,174.40,-11.40,102.62,-1.19,140.47,-17.61,300.34,-52.69,133.62,-12.89,439.10,-77.90,195.47,-66.60,20.32,-4.75,135.88,-18.70,736.85,120.28
"01 Jul 2025 00:30",4023.49,-387.46,2378.15,-320.41,1645.34,-67.05,410.46,-87.42,694.10,-75.40,288.46,-69.38,271.02,-3.25,175.20,-12.20,102.13,-1.54,138.43,-17.79,298.35,-53.43,130.70,-12.33,436.00,-78.90,193.36,-67.40,20.45,-4.80,134.86,-18.89,729.97,115.27
"01 Jul 2025 00:35",4008.09,-378.54,2365.39,-319.00,1642.70,-59.54,406.90,-88.02,697.20,-71.70,284.43,-71.39,268.25,-4.13,175.20,-11.70,100.96,-1.68,136.85,-17.20,295.60,-53.18,129.45,-11.26,434.50,-78.50,190.56,-67.60,20.45,-4.59,134.69,-19.10,733.05,121.51
"01 Jul 2025 00:40",3980.69,-383.97,2343.45,-324.64,1637.24,-59.33,403.97,-88.87,685.90,-75.10,282.48,-71.64,267.43,-4.47,175.10,-11.80,101.07,-1.65,135.80,-17.44,291.70,-53.67,128.71,-10.30,432.30,-80.30,191.76,-67.50,19.87,-4.59,134.98,-19.28,729.62,122.64
"01 Jul 2025 00:45",3957.48,-381.42,2323.46,-327.23,1634.02,-54.19,398.34,-89.11,679.00,-75.90,281.61,-70.74,265.12,-4.60,173.80,-12.80,100.82,-1.84,134.87,-17.95,289.90,-54.29,128.23,-9.93,432.90,-80.20,192.26,-67.80,19.69,-4.85,133.69,-19.39,727.25,127.98
"01 Jul 2025 00:50",3957.41,-371.74,2330.48,-317.20,1626.93,-54.54,398.19,-89.58,689.50,-68.00,281.83,-70.37,265.23,-3.41,172.60,-12.80,100.19,-1.96,134.36,-17.64,288.58,-53.44,127.14,-9.22,431.20,-80.90,190.56,-67.40,19.69,-4.74,132.93,-19.36,725.41,127.08
"01 Jul 2025 00:55",3950.78,-386.23,2322.31,-319.25,1628.47,-66.98,395.14,-89.53,689.10,-69.00,280.33,-70.05,263.89,-4.11,171.40,-12.80,102.49,-2.13,133.00,-17.65,286.96,-53.98,126.44,-9.80,428.30,-81.70,190.16,-67.60,19.95,-5.17,132.78,-18.99,730.84,116.28
"01 Jul 2025 01:00",3931.94,-380.33,2313.62,-319.29,1618.32,-61.04,394.33,-89.92,683.90,-69.80,280.93,-69.34,261.32,-4.21,172.80,-12.30,102.57,-2.21,133.58,-17.45,284.19,-54.06,125.74,-10.12,426.30,-81.80,188.76,-67.70,19.47,-5.07,131.34,-19.33,726.71,122.98
"01 Jul 2025 01:05",3904.38,-371.97,2295.84,-320.21,1608.54,-51.76,391.75,-88.80,677.00,-69.10,281.64,-68.21,258.80,-5.53,168.90,-12.20,101.44,-2.32,131.88,-20.10,284.43,-53.95,126.24,-9.99,424.30,-81.70,187.26,-67.70,19.47,-5.07,131.35,-19.40,719.92,132.10
"01 Jul 2025 01:10",3908.81,-369.66,2307.95,-314.94,1600.86,-54.72,389.61,-89.45,681.50,-67.20,280.38,-69.22,268.42,-0.69,171.30,-12.60,102.22,-2.16,132.22,-20.12,282.30,-53.50,125.82,-9.63,418.10,-82.20,187.16,-68.10,18.84,-4.81,129.60,-20.01,721.34,130.03
"01 Jul 2025 01:15",3888.23,-373.37,2293.85,-320.07,1594.38,-53.30,385.29,-91.12,677.10,-70.50,279.67,-69.05,266.15,-0.51,172.00,-12.00,100.89,-2.18,131.25,-19.95,281.50,-54.76,125.38,-9.58,416.80,-81.60,185.86,-67.60,18.84,-4.81,129.64,-20.08,717.86,130.37
"01 Jul 2025 01:20",3870.88,-382.89,2280.77,-325.44,1590.11,-57.45,383.94,-91.34,673.00,-74.00,278.58,-68.92,264.30,-1.40,169.70,-12.50,100.40,-2.24,131.45,-20.02,279.40,-55.02,124.58,-10.09,413.70,-82.80,185.06,-68.00,18.95,-4.89,127.88,-21.14,719.94,129.47
"01 Jul 2025 01:25",3850.68,-385.20,2263.16,-330.95,1587.52,-54.25,380.98,-90.62,667.00,-77.40,277.08,-68.73,260.82,-4.16,168.60,-12.80,100.34,-2.32,131.14,-19.80,277.20,-55.12,123.98,-9.15,412.10,-82.80,184.96,-68.30,19.12,-4.89,128.53,-19.68,718.83,130.57
"01 Jul 2025 01:30",3829.73,-395.73,2247.47,-337.28,1582.26,-58.45,379.91,-92.02,653.70,-79.60,276.15,-71.15,262.69,-1.18,169.10,-13.50,99.45,-2.99,130.27,-20.25,276.20,-56.59,123.26,-10.02,409.40,-83.70,183.06,-68.80,18.45,-4.50,127.83,-20.03,720.26,128.60
"01 Jul 2025 01:35",3817.83,-393.50,2242.12,-335.36,1575.71,-58.14,379.14,-91.70,650.90,-78.30,275.52,-72.19,262.61,-2.29,167.40,-12.60,100.48,-3.01,130.97,-20.37,275.10,-54.90,123.17,-9.52,405.60,-84.90,180.96,-68.70,18.19,-4.73,128.28,-19.20,719.51,128.91
"01 Jul 2025 01:40",3810.58,-389.84,2241.66,-333.42,1568.92,-56.42,376.97,-90.28,654.90,-78.80,274.04,-70.94,259.89,-2.88,170.10,-12.10,101.21,-3.30,130.65,-19.37,273.90,-55.75,123.11,-9.83,402.10,-84.30,180.16,-68.60,18.09,-4.66,128.41,-19.17,717.05,130.14
"01 Jul 2025 01:45",3794.03,-385.74,2232.51,-329.87,1561.52,-55.87,377.71,-91.52,653.50,-75.70,273.29,-71.86,259.92,-1.04,164.80,-12.60,101.75,-2.68,129.64,-19.34,271.90,-55.13,122.30,-9.75,400.80,-84.50,178.26,-68.90,17.94,-4.74,128.48,-18.78,713.74,130.80
"01 Jul 2025 01:50",3793.64,-396.04,2233.55,-336.16,1560.09,-59.88,374.89,-91.46,659.40,-76.00,271.82,-72.18,255.85,-3.31,167.40,-14.40,101.95,-2.60,129.54,-20.12,272.70,-56.09,121.90,-10.44,397.40,-85.30,178.66,-69.10,18.00,-4.55,127.97,-19.43,716.16,128.94
"01 Jul 2025 01:55",3781.04,-395.29,2227.13,-338.31,1553.91,-56.98,373.32,-91.43,655.00,-77.90,271.88,-73.64,259.07,-2.19,165.80,-14.10,101.03,-3.12,128.93,-20.16,272.10,-55.77,121.65,-10.75,395.30,-85.60,178.86,-69.20,18.00,-4.71,127.50,-19.46,712.60,132.74
"01 Jul 2025 02:00",3755.96,-403.22,2203.68,-343.80,1552.28,-59.42,372.40,-92.48,637.90,-81.80,271.12,-73.98,257.30,-3.29,165.20,-13.20,100.85,-3.14,128.41,-19.31,270.50,-56.60,120.97,-10.66,394.00,-85.90,177.57,-69.00,17.79,-4.45,127.43,-19.07,714.52,129.66
