Event ID,Event Date,Brief Description,What happened,Event Location,Latitude,Longitude,NZ Region,Where Happened,Sector,Number of Injured Persons,Vessel Type,Safety System,Country Flag,Gross Tonnage,Length Overall,Year of Build
EVT-61,1/09/2018,Minor contact between two vessels. There was no damage to the vessels. ,Contact,Maketu Estuary,-37.75204,176.453095,Bay of Plenty,Inshore,Domestic Commercial,0,Workboat,MOSS,New Zealand,NULL,6.8,2000
EVT-7,9/09/2018,Fatal recreational boating accident.,Capsize,Riverton Estuary,-46.343497,167.998875,Southland,Inshore,Recreational,0,Dinghy,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-16,13/09/2018, The vessel came into port and made contact with vessels which resulted in structural damage to the other vessels,Contact,Port Taranaki mooring,-39.05674,174.045373,Taranaki,In harbour,Recreational,0,Pleasure Yacht,Pleasure - No System,New Zealand,NULL,10.66,NULL
EVT-16,13/09/2018, The vessel came into port and made contact with vessels which resulted in structural damage to the other vessels,Contact,Port Taranaki mooring,-39.05674,174.045373,Taranaki,In harbour,Recreational,0,Pleasure Yacht,Pleasure - No System,New Zealand,NULL,11.6,NULL
EVT-23,13/09/2018,"While shifting pallet boxes, the crew member's hand became caught between the box and rail, resulting in a fracture of their left ring finger.",Injury,"Sealord Wharf, Port Nelson",-41.258103,173.274258,Nelson,At berth,Domestic Commercial,1,Trawler,MOSS,New Zealand,372,36.6,1989
EVT-25,15/09/2018,A close quarters situation occurred south of the berth between two vessels which were making for the bunker berth.,Near miss/close quarters,"Aotea Wharf, Wellington Harbour",-41.2682,174.7885,Wellington,In harbour,Domestic Commercial,0,Ro-Ro Passenger ship,ISM,New Zealand,17816,183.5,1998
EVT-25,15/09/2018,A close quarters situation occurred south of the berth between two vessels which were making for the bunker berth.,Near miss/close quarters,"Aotea Wharf, Wellington Harbour",-41.2682,174.7885,Wellington,In harbour,Domestic Commercial,0,Trawler,MOSS,New Zealand,4407,104.5,1989
EVT-21,17/09/2018,"Passenger felt dizzy and blacked out, falling to the ship deck and sustaining a fractured rib. ",Medical Event,Sealord Wharf Port Nelson,-41.257706,173.278857,Nelson,At berth,Domestic Commercial,1,Trawler,MOSS,New Zealand,371,33.9,1992
EVT-8,17/09/2018,"The wind pushed the bow towards the pontoon, vessel rested on corner on pontoon aft to mid ships. Damage caused to hull structure.",Contact,"Orams Marine Boatpark, Westhaven",-36.842124,174.751969,Auckland,In harbour,Domestic Commercial,0,Passenger Ferry,MOSS,New Zealand,107,17.26,1996
EVT-2,18/09/2018,Several logs fell off vessel in close proximity to stevedore.,Log Handling,Port of Napier,-39.475037,176.919787,Hawke's Bay,At berth,International Commercial,0,Bulk carrier,ISM,Hong Kong,24785,179.99,2016
EVT-34,19/09/2018,The combination pilot ladder boarding arrangement was not secured to the ships hull.,Pilot Ladder Standards,"Napier pilot boarding ground, number 2",-39.475037,176.919787,Hawke's Bay,In harbour,International Commercial,0,Container ship,ISM,Portugal,41331,262.06,2009
EVT-5,20/09/2018,Damage under vessel belting was found upon routine check by skipper. Skipper believed the possible cause was the vessel being pushed into the pier by the wake of a passing boat.,Contact,Westhaven Marina,-36.84077,174.750955,Auckland,Marina/boat ramp,Domestic Commercial,0,Passenger Ferry,MOSS,New Zealand,NULL,17.1,1994
EVT-10,21/09/2018,"Vessel ordered dead stern Ahead. The engine failed to fire, they tried again from wing control, centre control and engine control, it would still not fire. Tugs were used to arrest astern movement and berth the dead ship.",Propulsion failure,berth 23 Tauranga Container Terminal,-37.656962,176.180572,Bay of Plenty,At berth,International Commercial,0,Container ship,ISM,Liberia,31730,192.29,1997
EVT-15,21/09/2018,A log dropped from the trailer onto the wharf.,Log Handling,Port of Gisborne Berth 8,-38.675,178.023338,Gisborne,At berth,International Commercial,0,Bulk carrier,ISM,Bahamas,21532,179.96,2014
EVT-13,22/09/2018,A log dropped 3 metres onto the deck. The log was retrieved and put back onto the heave.,Log Handling,Port of Gisborne Berth 8,-38.675,178.023338,Gisborne,At berth,International Commercial,0,Bulk carrier,ISM,Bahamas,21532,179.96,2014
EVT-37,22/09/2018,A passenger started seizing. The vessel parked at a ramp and transported other passengers off the vessel. The passenger stayed onboard with their minders before their condition stabilised and they were able depart the vessel,Medical Event,Waikato river,-38.614513,176.172943,Waikato,River,Domestic Commercial,0,Jetboat,SOP,New Zealand,NULL,5.6,NULL
EVT-9,22/09/2018,When berthing the ship the speed did not reduce as expected and came close to berth. Ship backed off the engines and tugs assisted and the vessel berthed as planned.,Near miss/close quarters,Port of Taranaki,-39.05648,174.034864,Taranaki,At berth,International Commercial,0,Bulk carrier,ISM,Hong Kong,31787,189.99,2016
EVT-11,23/09/2018,A log dropped from the deck onto the wharf.,Log Handling,"Port of Napier, Berth 1",-39.475037,176.919787,Hawke's Bay,At berth,International Commercial,0,Bulk carrier,ISM,Isle of Man,21530,179.9,2015
