"Guest Nights by Region (Monthly)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Northland","","","","","","","Auckland","","","","","","","Waikato","","","","","","","Bay of Plenty","","","","","","","Hawke's Bay, Gisborne","","","","","","","Taranaki, Manawatu, Wanganui","","","","","","","Wellington","","","","","","","Nelson, Marlborough, Tasman","","","","","","","Canterbury","","","","","","","West Coast","","","","","","","Otago","","","","","","","Southland","","","","","","","New Zealand","","","","","",""
" ","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend"
"1996M07",66,49,"..","..",17,"..","..",257,130,"..","..",128,"..","..",124,101,"..","..",23,"..","..",159,107,"..","..",52,"..","..",49,44,"..","..",5,"..","..",93,79,"..","..",13,"..","..",111,78,"..","..",33,"..","..",52,41,"..","..",10,"..","..",209,131,"..","..",77,"..","..",27,18,"..","..",8,"..","..",175,84,"..","..",91,"..","..",21,15,"..","..",6,"..","..",1342,877,"..","..",464,"..",".."
"1996M08",58,"..","..","..","..","..","..",266,"..","..","..","..","..","..",111,"..","..","..","..","..","..",138,"..","..","..","..","..","..",45,"..","..","..","..","..","..",89,"..","..","..","..","..","..",105,"..","..","..","..","..","..",54,"..","..","..","..","..","..",210,"..","..","..","..","..","..",28,"..","..","..","..","..","..",211,"..","..","..","..","..","..",23,"..","..","..","..","..","..",1337,"..","..","..","..","..",".."
"1996M09",79,"..","..","..","..","..","..",264,"..","..","..","..","..","..",140,"..","..","..","..","..","..",174,"..","..","..","..","..","..",62,"..","..","..","..","..","..",115,"..","..","..","..","..","..",113,"..","..","..","..","..","..",79,"..","..","..","..","..","..",256,"..","..","..","..","..","..",45,"..","..","..","..","..","..",214,"..","..","..","..","..","..",31,"..","..","..","..","..","..",1572,"..","..","..","..","..",".."
"1996M10",96,65,"..","..",31,"..","..",280,124,"..","..",156,"..","..",147,116,"..","..",32,"..","..",177,104,"..","..",73,"..","..",61,52,"..","..",9,"..","..",111,92,"..","..",20,"..","..",119,77,"..","..",41,"..","..",79,57,"..","..",22,"..","..",256,140,"..","..",117,"..","..",57,34,"..","..",23,"..","..",194,89,"..","..",104,"..","..",41,21,"..","..",20,"..","..",1621,971,"..","..",649,"..",".."
"1996M11",104,"..","..","..","..","..","..",334,"..","..","..","..","..","..",159,"..","..","..","..","..","..",199,"..","..","..","..","..","..",66,"..","..","..","..","..","..",112,"..","..","..","..","..","..",132,"..","..","..","..","..","..",100,"..","..","..","..","..","..",324,"..","..","..","..","..","..",64,"..","..","..","..","..","..",212,"..","..","..","..","..","..",54,"..","..","..","..","..","..",1861,"..","..","..","..","..",".."
"1996M12",185,"..","..","..","..","..","..",337,"..","..","..","..","..","..",219,"..","..","..","..","..","..",257,"..","..","..","..","..","..",87,"..","..","..","..","..","..",111,"..","..","..","..","..","..",123,"..","..","..","..","..","..",171,"..","..","..","..","..","..",364,"..","..","..","..","..","..",70,"..","..","..","..","..","..",262,"..","..","..","..","..","..",66,"..","..","..","..","..","..",2252,"..","..","..","..","..",".."
"1997M01",279,216,"..","..",63,"..","..",386,185,"..","..",201,"..","..",343,279,"..","..",64,"..","..",419,314,"..","..",105,"..","..",145,127,"..","..",18,"..","..",151,121,"..","..",30,"..","..",142,91,"..","..",52,"..","..",279,218,"..","..",61,"..","..",440,275,"..","..",166,"..","..",96,59,"..","..",36,"..","..",360,212,"..","..",148,"..","..",76,38,"..","..",38,"..","..",3117,2134,"..","..",982,"..",".."
"1997M02",158,"..","..","..","..","..","..",362,"..","..","..","..","..","..",205,"..","..","..","..","..","..",238,"..","..","..","..","..","..",91,"..","..","..","..","..","..",122,"..","..","..","..","..","..",144,"..","..","..","..","..","..",165,"..","..","..","..","..","..",363,"..","..","..","..","..","..",83,"..","..","..","..","..","..",286,"..","..","..","..","..","..",78,"..","..","..","..","..","..",2296,"..","..","..","..","..",".."
"1997M03",147,"..","..","..","..","..","..",377,"..","..","..","..","..","..",225,"..","..","..","..","..","..",251,"..","..","..","..","..","..",90,"..","..","..","..","..","..",129,"..","..","..","..","..","..",145,"..","..","..","..","..","..",150,"..","..","..","..","..","..",348,"..","..","..","..","..","..",81,"..","..","..","..","..","..",282,"..","..","..","..","..","..",73,"..","..","..","..","..","..",2297,"..","..","..","..","..",".."
"1997M04",108,74,"..","..",35,"..","..",302,137,"..","..",165,"..","..",151,118,"..","..",35,"..","..",198,127,"..","..",71,"..","..",73,61,"..","..",12,"..","..",104,85,"..","..",19,"..","..",119,73,"..","..",45,"..","..",105,73,"..","..",31,"..","..",278,156,"..","..",122,"..","..",57,33,"..","..",24,"..","..",213,112,"..","..",108,"..","..",45,26,"..","..",20,"..","..",1752,1075,"..","..",689,"..",".."
"1997M05",73,"..","..","..","..","..","..",257,"..","..","..","..","..","..",112,"..","..","..","..","..","..",142,"..","..","..","..","..","..",50,"..","..","..","..","..","..",87,"..","..","..","..","..","..",104,"..","..","..","..","..","..",68,"..","..","..","..","..","..",192,"..","..","..","..","..","..",32,"..","..","..","..","..","..",138,"..","..","..","..","..","..",29,"..","..","..","..","..","..",1284,"..","..","..","..","..",".."
"1997M06",55,"..","..","..","..","..","..",224,"..","..","..","..","..","..",102,"..","..","..","..","..","..",119,"..","..","..","..","..","..",45,"..","..","..","..","..","..",71,"..","..","..","..","..","..",92,"..","..","..","..","..","..",56,"..","..","..","..","..","..",159,"..","..","..","..","..","..",23,"..","..","..","..","..","..",112,"..","..","..","..","..","..",19,"..","..","..","..","..","..",1076,"..","..","..","..","..",".."
"1997M07",70,55,"..","..",15,"..","..",259,123,"..","..",136,"..","..",137,117,"..","..",20,"..","..",164,116,"..","..",48,"..","..",50,44,"..","..",6,"..","..",101,90,"..","..",11,"..","..",102,74,"..","..",28,"..","..",63,52,"..","..",11,"..","..",213,142,"..","..",71,"..","..",27,20,"..","..",7,"..","..",177,90,"..","..",86,"..","..",24,19,"..","..",5,"..","..",1387,942,"..","..",445,"..",".."
