"Total passenger movements (Annual-Dec)","","","","","",""
"","Arrivals","","Departures","","TOTAL",""
" ","Actual Counts","Counts Derived from a Sample","Actual Counts","Counts Derived from a Sample","Actual Counts","Counts Derived from a Sample"
1860,8935,8935,2871,2871,11806,11806
1861,22339,22339,6117,6117,28456,28456
1862,34290,34290,13299,13299,47589,47589
1863,45730,45730,10610,10610,56340,56340
1864,20931,20931,12404,12404,33335,33335
1865,18916,18916,6607,6607,25523,25523
1866,14893,14893,7294,7294,22187,22187
1867,11126,11126,6267,6267,17393,17393
1868,8723,8723,7863,7863,16586,16586
1869,8903,8903,5262,5262,14165,14165
1870,9124,9124,5547,5547,14671,14671
1871,10083,10083,5297,5297,15380,15380
1872,10725,10725,5752,5752,16477,16477
1873,13572,13572,4761,4761,18333,18333
1874,43965,43965,5859,5859,49824,49824
1875,31737,31737,6467,6467,38204,38204
1876,18414,18414,6459,6459,24873,24873
1877,12987,12987,6611,6611,19598,19598
1878,16263,16263,5761,5761,22024,22024
1879,23957,23957,5234,5234,29191,29191
1880,15154,15154,7923,7923,23077,23077
1881,9688,9688,8072,8072,17760,17760
1882,10945,10945,7456,7456,18401,18401
1883,19215,19215,9186,9186,28401,28401
1884,20021,20021,10700,10700,30721,30721
1885,16199,16199,11695,11695,27894,27894
1886,16101,16101,15037,15037,31138,31138
1887,13689,13689,12712,12712,26401,26401
1888,13606,13606,22781,22781,36387,36387
1889,15392,15392,15178,15178,30570,30570
1890,15028,15028,16810,16810,31838,31838
1891,14431,14431,17629,17629,32060,32060
1892,18122,18122,13164,13164,31286,31286
1893,26135,26135,15723,15723,41858,41858
1894,25237,25237,22984,22984,48221,48221
1895,21862,21862,20967,20967,42829,42829
1896,17236,17236,15764,15764,33000,33000
1897,18592,18592,15840,15840,34432,34432
1898,18855,18855,16159,16159,35014,35014
1899,18506,18506,16619,16619,35125,35125
1900,18074,18074,16243,16243,34317,34317
1901,25086,25086,18564,18564,43650,43650
1902,30293,30293,22301,22301,52594,52594
1903,30883,30883,19608,19608,50491,50491
1904,32632,32632,22277,22277,54909,54909
1905,32685,32685,23383,23383,56068,56068
1906,39233,39233,26385,26385,65618,65618
1907,36108,36108,30378,30378,66486,66486
1908,44970,44970,30709,30709,75679,75679
1909,38650,38650,33931,33931,72581,72581
1910,35769,35769,32361,32361,68130,68130
1911,41389,41389,37189,37189,78578,78578
1912,44660,44660,35733,35733,80393,80393
1913,44588,44588,30369,30369,74957,74957
1914,37646,37646,32506,32506,70152,70152
1915,25551,25551,22476,22476,48027,48027
1916,21799,21799,21163,21163,42962,42962
1917,15649,15649,13869,13869,29518,29518
1918,11906,11906,11660,11660,23566,23566
1919,20931,20931,19877,19877,40808,40808
1920,44062,44062,32924,32924,76986,76986
1921,41882,41882,28559,28559,70441,70441
1922,35233,35233,28381,28381,63614,63614
1923,36453,36453,29661,29661,66114,66114
1924,39715,39715,30582,30582,70297,70297
1925,41774,41774,29166,29166,70940,70940
1926,45615,45615,33803,33803,79418,79418
1927,38445,38445,36218,36218,74663,74663
1928,35424,35424,35018,35018,70442,70442
1929,34421,34421,31600,31600,66021,66021
1930,32482,32482,28262,28262,60744,60744
1931,20217,20217,21570,21570,41787,41787
1932,17839,17839,21095,21095,38934,38934
1933,18789,18789,21160,21160,39949,39949
1934,23198,23198,26623,26623,49821,49821
1935,26127,26127,27342,27342,53469,53469
1936,30381,30381,30140,30140,60521,60521
1937,36727,36727,34782,34782,71509,71509
1938,40905,40905,38801,38801,79706,79706
1939,39481,39481,32504,32504,71985,71985
1940,16383,16383,14889,14889,31272,31272
1941,8874,8874,8626,8626,17500,17500
1942,3313,3313,2589,2589,5902,5902
1943,3376,3376,3081,3081,6457,6457
1944,6591,6591,5223,5223,11814,11814
1945,8868,8868,9642,9642,18510,18510
1946,24553,24553,19311,19311,43864,43864
1947,30177,30177,26528,26528,56705,56705
1948,33231,33231,28770,28770,62001,62001
1949,47315,47315,39304,39304,86619,86619
1950,55420,55420,47444,47444,102864,102864
1951,58630,58630,46223,46223,104853,104853
1952,67256,67256,45223,45223,112479,112479
1953,62712,62712,45201,45201,107913,107913
1954,59570,59570,52115,52115,111685,111685
1955,66135,66135,56959,56959,123094,123094
1956,74099,74099,63898,63898,137997,137997
1957,79420,79420,62888,62888,142308,142308
1958,82160,82160,71551,71551,153711,153711
1959,86913,86913,81850,81850,168763,168763
1960,99300,99300,98350,98350,197650,197650
1961,127247,127247,111737,111737,238984,238984
1962,140599,140599,125728,125728,266327,266327
1963,156153,156153,142826,142826,298979,298979
1964,180811,180811,168625,168625,349436,349436
1965,212877,212877,200922,200922,413799,413799
1966,239671,239671,226333,226333,466004,466004
1967,261050,261050,262205,262205,523255,523255
1968,254361,254361,262655,262655,517016,517016
1969,281075,281075,286959,286959,568034,568034
1970,334416,334416,326057,326057,660473,660473
1971,391991,391991,382465,382465,774456,774456
1972,449807,449807,428103,428103,877910,877910
1973,559459,559459,528608,528608,1088067,1088067
1974,663728,663728,629920,629920,1293648,1293648
1975,678000,678000,658086,658086,1336086,1336086
1976,671232,671232,683260,683260,1354492,1354492
1977,701344,701344,727128,727128,1428472,1428472
1978,778416,778416,804448,804448,1582864,1582864
1979,902148,902148,928469,928469,1830617,1830617
1980,982094,982094,993736,993736,1975830,1975830
1981,958105,958105,964796,964796,1922901,1922901
1982,914257,914257,903480,903480,1817737,1817737
1983,914875,914875,900263,900263,1815138,1815138
1984,986937,986937,983052,983052,1969989,1969989
1985,1078712,1078712,1091608,1091608,2170320,2170320
1986,1256116,1256116,1267571,1267571,2523687,2523687
