RETURN_TO_CONTENTS,UNNAMED:_1,UNNAMED:_3,UNNAMED:_4,UNNAMED:_5,UNNAMED:_6,UNNAMED:_7,UNNAMED:_8,UNNAMED:_9,UNNAMED:_10,UNNAMED:_11,UNNAMED:_12,UNNAMED:_13,UNNAMED:_14,SOURCE_SHEET,LOAD_TIMESTAMP
Electricity Supply and Demand Energy Balance (GWh),,,,,,,,,,,,,,5 - Electricity Balance,2025-08-01 08:34:55.489285
,,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,∆2019/2023 p.a.,∆2022/2023,5 - Electricity Balance,2025-08-01 08:34:55.489285
SUPPLY,Total Gross Generation,43988.10885790535,44689.76872312242,44163.2579463192,44641.00603669326,44692.46774352111,45142.11590875095,44534.71032758314,44616.5492509776,44694.03019174876,44668.29792200651,-0.0026344271392821916,-0.0005757428818088384,5 - Electricity Balance,2025-08-01 08:34:55.489285
,Own Use ~ Parasitic Load1,-1336.7074012787634,-1356.169819620627,-1244.013588223177,-1329.7621834610763,-1273.683500330415,-1326.9817152724281,-1356.003963565352,-1338.6433789978983,-1211.6066448313723,-1169.2017725311962,-0.03115091910946355,-0.034998877301533615,5 - Electricity Balance,2025-08-01 08:34:55.489285
,Total Net Generation,42651.40145662658,43333.59890350179,42919.244358096024,43311.24385323218,43418.7842431907,43815.13419347852,43178.70636401779,43277.9058719797,43482.42354691739,43499.096149475314,-0.001808145213882728,0.00038343314833722,5 - Electricity Balance,2025-08-01 08:34:55.489285
,Electricity Only Plant,40114.1089081891,40809.4735244985,40769.298953274,41028.3099352918,41262.4067122264,41528.3541723127,40946.5994937935,40935.9676218095,41242.0865269612,41422.8326981497,-0.0006358437046217746,0.004382566121390319,5 - Electricity Balance,2025-08-01 08:34:55.489285
,Combined Heat and Power Plant,2518.66755875348,2487.6628109704,2093.76674577489,2206.61004280953,2056.72140728458,2160.15605419558,2072.60258466622,2133.57126647308,1957.60208016059,1705.15747814749,-0.05741648107763042,-0.12895603482010543,5 - Electricity Balance,2025-08-01 08:34:55.489285
,Small Scale Distributed Generation2,18.6249896840086,36.4625680328905,56.1786590471279,76.3238751308513,99.6561236797122,126.623966970251,159.504285558059,208.366983697126,282.734939795601,371.105973178124,0.3084149788866688,0.31255787999321716,5 - Electricity Balance,2025-08-01 08:34:55.489285
,Total Lines Losses3,-3000.79483821938,-3002.9096976996398,-2895.1491494720203,-2851.01884930706,-2896.5581388553,-2955.05066771368,-2944.1901541779,-2942.02350821837,-3000.64258521064,-2971.72643965323,0.0014078099344392303,-0.009636651062652324,5 - Electricity Balance,2025-08-01 08:34:55.489285
,Losses ~ Transmission,-1310.80167609362,-1386.75006048684,-1304.97017339143,-1251.49669501972,-1244.64906032384,-1396.12860757427,-1374.82857894594,-1393.12020568431,-1406.51974683996,-1351.3485012521,-0.008116914041429557,-0.0392253615434931,5 - Electricity Balance,2025-08-01 08:34:55.489285
,Losses ~ Distribution,-1689.99316212576,-1616.1596372128,-1590.17897608059,-1599.52215428734,-1651.90907853146,-1558.92206013941,-1569.36157523196,-1548.90330253406,-1594.12283837068,-1620.37793840113,0.009713074160419444,0.016469935313946582,5 - Electricity Balance,2025-08-01 08:34:55.489285
Total Electricity Demand (Calculated),,39650.606618407204,40330.689205802155,40024.09520862401,40460.22500392512,40522.226104335394,40860.08352576484,40234.51620983989,40335.88236376133,40481.78096170675,40527.36970982209,-0.002041935510236126,0.0011261547054579601,5 - Electricity Balance,2025-08-01 08:34:55.489285
Statistical Difference4,,-0.014911862031084463,-0.010384172943803,-0.00520054871693494,0.01302978555778899,0.013745299602045031,0.013371747682935843,0.01952929212062726,0.01840932346868273,0.035068303987599185,0.03434853713672995,,,5 - Electricity Balance,2025-08-01 08:34:55.489285
DEMAND,Total Electricity Demand (Observed)5,40241.8709937497,40749.49005745797,40232.2424656077,39933.03694850409,39965.235965989494,40313.71279855463,39448.76458944581,39593.326057932114,39062.15356098221,39135.31384629028,-0.007389177848602602,0.0018729199145115505,5 - Electricity Balance,2025-08-01 08:34:55.489285
,"Agriculture, Forestry, and Fishing",2637.21923034237,2818.78801861033,2523.73289487386,2588.27689680519,2285.45426768205,2545.18598354197,2687.27245890766,2603.57195350288,2426.12102435323,2557.1692850815,0.0011749830876535139,0.05401554968314315,5 - Electricity Balance,2025-08-01 08:34:55.489285
,Industrial,14420.182524178617,14609.362768920697,14547.215318010845,14616.029010068645,14621.49721421846,14827.450103927044,14035.1596104456,13757.805389847275,13576.609530824067,12904.634165009538,-0.034127488151906804,-0.049495079333974346,5 - Electricity Balance,2025-08-01 08:34:55.489285
,Commercial,9339.84424302171,9455.50550120785,9459.71991913189,9434.70164954195,9491.64645471468,9521.18781527191,9170.57670114335,9277.38309411766,9292.69202785001,9422.05036282504,-0.002613300876303515,0.013920437112017403,5 - Electricity Balance,2025-08-01 08:34:55.489285
,Residential,12441.130021282,12469.1008857941,12377.2535710661,12381.8042916633,12703.0722685493,12650.6269784887,12871.8436390242,13247.4586279393,12997.9826951299,13238.3750371492,0.011417951378168256,0.0184945885571437,5 - Electricity Balance,2025-08-01 08:34:55.489285
,Transport,68.769967425,83.440262425,91.001789425,90.958995425,93.875771425,108.424111425,111.524968425,132.582328425,193.328139425,275.249112425,0.26226347003531636,0.4237405544979167,5 - Electricity Balance,2025-08-01 08:34:55.489285
,Calculated Onsite Consumption6,1334.7250075,1313.2926205,1233.3189731,821.266105,769.6899894,660.8378059,572.3872115,574.5246641,575.4201434,737.8358838,0.027936347998706035,0.28225591728563737,5 - Electricity Balance,2025-08-01 08:34:55.489285
Electricity entering system7,,41191.9613079571,41987.7975447473,41629.7466195965,42413.6537578366,42549.7229498111,43028.1872235766,42443.3127679765,42490.7339311558,42622.9268475531,42511.434385271,,,5 - Electricity Balance,2025-08-01 08:34:55.489285
National loss ratio8,,0.07284904002955822,0.07151862858487336,0.06954520227872772,0.06721936444299588,0.06807466507530244,0.06867708956361768,0.06936758613242114,0.06923917842852716,0.07039973101666296,0.06990416772864405,,,5 - Electricity Balance,2025-08-01 08:34:55.489285
Notes ,,,,,,,,,,,,,,5 - Electricity Balance,2025-08-01 08:34:55.489285
"1 Electricity used by the generator for auxilliary services (e.g. lighting, coal grinders) and internal losses",,,,,,,,,,,,,,5 - Electricity Balance,2025-08-01 08:34:55.489285
2 Currently only accounts for distributed Solar PV generation calculated using capacity data from the Electricity Authority. ,,,,,,,,,,,,,,5 - Electricity Balance,2025-08-01 08:34:55.489285
3 Loss information is obtained through electricity disclosures by Transpower and the distribution companies. ,,,,,,,,,,,,,,5 - Electricity Balance,2025-08-01 08:34:55.489285
4 Statistical differences exist between supply and demand figures as the information comes from different sources,,,,,,,,,,,,,,5 - Electricity Balance,2025-08-01 08:34:55.489285
5 Demand numbers in this table are based on data calculated with estimated sales.  For more information see footnote 6 in Table 2.,,,,,,,,,,,,,,5 - Electricity Balance,2025-08-01 08:34:55.489285
"6 Calculated estimate based on the difference between net production and electricity entering the system. This includes on-site generation not exported into the network. 
",,,,,,,,,,,,,,5 - Electricity Balance,2025-08-01 08:34:55.489285
"Note in 2011 and 2012 an improved estimate has been made from a mix of data sources (net generation, Electricity Authority GXP generation, and annual onsite generation). ",,,,,,,,,,,,,,5 - Electricity Balance,2025-08-01 08:34:55.489285
"For the energy balance tables, this figure is added to the Industrial Unallocated sector.",,,,,,,,,,,,,,5 - Electricity Balance,2025-08-01 08:34:55.489285
7 Total amount of electricity entering the local and national transmission and distribution networks. Includes embedded generation.,,,,,,,,,,,,,,5 - Electricity Balance,2025-08-01 08:34:55.489285
8 Loss ratio calculated as the transmission and distribution losses divide by the total electricity entering the system.,,,,,,,,,,,,,,5 - Electricity Balance,2025-08-01 08:34:55.489285
