RETURN_TO_CONTENTS,UNNAMED:_2,UNNAMED:_3,UNNAMED:_4,UNNAMED:_5,UNNAMED:_6,UNNAMED:_7,UNNAMED:_8,UNNAMED:_9,UNNAMED:_10,UNNAMED:_11,UNNAMED:_12,UNNAMED:_13,SOURCE_SHEET,LOAD_TIMESTAMP
Net Electricity Generation by Fuel Type - Cogeneration Separated (GWh),,,,,,,,,,,,,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
Calendar Year,,Electricity Only Plants,,,,,,,,,Cogeneration2,Total,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
,,Hydro,Geo- thermal,Biogas,Wind,Solar PV,Oil1,Coal,Gas,Sub- total,,,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
1974,,15037,1304,0,0,0,1943,1281,186,19751,728.184718612037,20479.184718612,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
1975,,16497,1296,0,0,0,787,1030,28,19638,785.634718612037,20423.634718612,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
1976,,15344,1236,0,0,0,1280,1081,1778,20719,804.784718612037,21523.784718612,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
1977,,14573,1163,0,0,0,729,894,3932,21291,804.784718612037,22095.784718612,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
1978,,15503,1185,0,0,0,199,705,3740,21332,825.837218612037,22157.837218612,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
1979,,18259,1064,0,0,0,48,345,1923,21639,839.040718612037,22478.040718612,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
1980,,19171,1152,0,0,0,3,378,1471,22175,841.102718612037,23016.102718612,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
1981,,19483,1087,0,0,0,3,342,1790,22705,889.852718612037,23594.852718612,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
1982,,18121,1104,0,0,0,15,374,4343,23957,922.227718612037,24879.227718612,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
1983,,19554,1119,0,0,0,146,603,4092,25514,930.655218612037,26444.655218612,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
