RETURN_TO_CONTENTS,UNNAMED:_2,UNNAMED:_3,UNNAMED:_4,UNNAMED:_5,UNNAMED:_6,UNNAMED:_7,UNNAMED:_8,UNNAMED:_9,UNNAMED:_10,UNNAMED:_11,UNNAMED:_12,UNNAMED:_13,UNNAMED:_14,UNNAMED:_15,SOURCE_SHEET,LOAD_TIMESTAMP
Operational Electricity Generation Capacity by Plant Types (MW)1,,,,,,,,,,,,,,,7 - Plant type (MW),2025-08-01 08:34:55.972531
Year End,Electricity Only Plants,,,,,,,,,,Cogeneration,,,Total,7 - Plant type (MW),2025-08-01 08:34:55.972531
,Hydro,Geothermal,Biogas,Wind,Solar PV,Diesel,Coal/Gas,Gas,Other Thermal2,Sub-total,Gas3,Other4,Sub-total,,7 - Plant type (MW),2025-08-01 08:34:55.972531
1976,3665.27,173,0,0,0,0,210,400,840,5288.27,0,97.6441210045662,97.6441210045662,5385.91412100457,7 - Plant type (MW),2025-08-01 08:34:55.972531
1977,3825.27,173,0,0,0,0,210,446.75,840,5495.02,0,97.6441210045662,97.6441210045662,5592.66412100457,7 - Plant type (MW),2025-08-01 08:34:55.972531
1978,3825.27,173,0,0,0,0,210,493.5,840,5541.77,0,97.6441210045662,97.6441210045662,5639.41412100457,7 - Plant type (MW),2025-08-01 08:34:55.972531
1979,4089.27,173,0,0,0,220,210,493.5,1090,6275.77,0,98.1578196347032,98.1578196347032,6373.9278196347,7 - Plant type (MW),2025-08-01 08:34:55.972531
1980,4301.27,173,0,0,0,220,210,493.5,1090,6487.77,0,98.3290525114155,98.3290525114155,6586.09905251142,7 - Plant type (MW),2025-08-01 08:34:55.972531
1981,4326.27,173,0,0,0,220,210,493.5,1090,6512.77,0,117,117,6629.77,7 - Plant type (MW),2025-08-01 08:34:55.972531
1982,4328.27,157.2,0,0,0,220,210,493.5,1090,6498.97,0,116.611301369863,116.611301369863,6615.58130136986,7 - Plant type (MW),2025-08-01 08:34:55.972531
1983,4474.22,157.2,0,0,0,220,460,493.5,1090,6894.92,0,116.919520547945,116.919520547945,7011.83952054795,7 - Plant type (MW),2025-08-01 08:34:55.972531
1984,4543.22,157.2,0,0,0,220,960,493.5,1090,7463.92,0,117.022260273973,117.022260273973,7580.94226027397,7 - Plant type (MW),2025-08-01 08:34:55.972531
1985,4760.22,157.2,0,0,0,220,1210,493.5,1090,7930.92,0,117.022260273973,117.022260273973,8047.94226027397,7 - Plant type (MW),2025-08-01 08:34:55.972531
1986,4760.22,157.2,0,0,0,220,1210,493.5,1090,7930.92,0,117.022260273973,117.022260273973,8047.94226027397,7 - Plant type (MW),2025-08-01 08:34:55.972531
1987,4760.22,157.2,0,0,0,220,1210,493.5,1090,7930.92,0,117.092251712329,117.092251712329,8048.01225171233,7 - Plant type (MW),2025-08-01 08:34:55.972531
1988,4760.22,175,0,0,0,220,1210,313.5,1090,7768.72,0,117.115582191781,117.115582191781,7885.83558219178,7 - Plant type (MW),2025-08-01 08:34:55.972531
1989,4760.22,261,0,0,0,220,1210,313.5,1090,7854.72,0,117.115582191781,117.115582191781,7971.83558219178,7 - Plant type (MW),2025-08-01 08:34:55.972531
1990,4760.22,261,3.5445205479452,0,0,220,1210,313.5,1090,7858.26452054795,0,117.115582191781,117.115582191781,7975.38010273973,7 - Plant type (MW),2025-08-01 08:34:55.972531
1991,4760.22,261,7,0,0,220,1000,313.5,1090,7651.72,0,117.115582191781,117.115582191781,7768.83558219178,7 - Plant type (MW),2025-08-01 08:34:55.972531
1992,5192.22,261,7.08904109589041,0,0,220,1000,313.5,850,7843.80904109589,0,117.115582191781,117.115582191781,7960.92462328767,7 - Plant type (MW),2025-08-01 08:34:55.972531
1993,5192.22,261,7.08904109589041,0.225,0,220,1000,313.5,850,7844.03404109589,0,117.115582191781,117.115582191781,7961.14962328767,7 - Plant type (MW),2025-08-01 08:34:55.972531
1994,5192.22,265,7.08904109589041,0.225,0,220,1000,313.5,850,7848.03404109589,0,118.078767123288,118.078767123288,7966.11280821918,7 - Plant type (MW),2025-08-01 08:34:55.972531
1995,5192.22,265,8.21190068493151,0.225,0,220,1000,313.5,850,7849.15690068493,0,124.362371575342,124.362371575342,7973.51927226027,7 - Plant type (MW),2025-08-01 08:34:55.972531
1996,5192.22,248,11,4.075,0,220,1000,313.5,600,7588.795,0,119,119,7707.795,7 - Plant type (MW),2025-08-01 08:34:55.972531
1997,5192.22,318,11,4.075,0,0.325,1000,220,600,7345.62,0,119,119,7464.62,7 - Plant type (MW),2025-08-01 08:34:55.972531
1998,5192.22,328,11,4.075,0,0.325,1000,357,480,7372.62,0,119,119,7491.62,7 - Plant type (MW),2025-08-01 08:34:55.972531
1999,5199.22,353,11,35.755,0,0.325,1000,737,440,7776.3,0,114,114,7890.3,7 - Plant type (MW),2025-08-01 08:34:55.972531
2000,5202.22,365,11,35.755,0,0.325,1000,737,440,7791.3,0,119.42,119.42,7910.72,7 - Plant type (MW),2025-08-01 08:34:55.972531
2001,5202.22,365,11,35.755,0,0.325,1000,737,440,7791.3,0,119.42,119.42,7910.72,7 - Plant type (MW),2025-08-01 08:34:55.972531
2002,5364.77,363.8,14.08,53.425,0,0.598,1000,737,440,7973.673,344.137,251.752414976251,595.889414976251,8569.56241497625,7 - Plant type (MW),2025-08-01 08:34:55.972531
2003,5365.22,373.8,21.53,72.225,0,0.598,1000,737,440,8010.373,334.185,251.758414976251,585.943414976251,8596.31641497625,7 - Plant type (MW),2025-08-01 08:34:55.972531
2004,5366.265,373.8,22.43,165.525,0,161.61984,1000,777,440,8306.63984,334.185,251.758414976251,585.943414976251,8892.58325497625,7 - Plant type (MW),2025-08-01 08:34:55.972531
2005,5366.715,429.2,22.43,168.025,0,161.94016,1000,821,330,8299.31016,337.715,266.658414976251,604.373414976251,8903.68357497625,7 - Plant type (MW),2025-08-01 08:34:55.972531
2006,5366.49,429.2,23.23,169.025,0,161.94016,1000,831.9,330,8311.78516,337.715,267.288414976251,605.003414976251,8916.78857497625,7 - Plant type (MW),2025-08-01 08:34:55.972531
2007,5366.97,448.2,24.78,320.025,2.72696328136754,161.94016,1000,1216.9,330,8871.54212328137,328.715,269.318414976251,598.033414976251,9469.57553825762,7 - Plant type (MW),2025-08-01 08:34:55.972531
