CALENDAR_QUARTER,NET_GENERATION_GWH,QUARTER_YEAR,QUARTER_NUMBER,SOURCE_SHEET,LOAD_TIMESTAMP,YEAR_OVER_YEAR_CHANGE_PERCENT
2022-01-01,9500.0,2022,1,Sample Data,2025-08-01 08:45:53.555666,
2022-04-01,10200.0,2022,2,Sample Data,2025-08-01 08:45:53.555669,
2022-07-01,10500.0,2022,3,Sample Data,2025-08-01 08:45:53.555671,
2022-10-01,9800.0,2022,4,Sample Data,2025-08-01 08:45:53.555672,
2023-01-01,9690.0,2023,1,Sample Data,2025-08-01 08:45:53.555673,
2023-04-01,10404.0,2023,2,Sample Data,2025-08-01 08:45:53.555674,
2023-07-01,10710.0,2023,3,Sample Data,2025-08-01 08:45:53.555675,
2023-10-01,9996.0,2023,4,Sample Data,2025-08-01 08:45:53.555676,
2024-01-01,9880.0,2024,1,Sample Data,2025-08-01 08:45:53.555677,
2024-04-01,10608.0,2024,2,Sample Data,2025-08-01 08:45:53.555678,
2024-07-01,10920.0,2024,3,Sample Data,2025-08-01 08:45:53.555679,
2024-10-01,10192.0,2024,4,Sample Data,2025-08-01 08:45:53.555680,
