CALENDAR_QUARTER,NET_GENERATION_GWH,QUARTER_YEAR,QUARTER_NUMBER,YEAR_OVER_YEAR_CHANGE_PERCENT,SOURCE_SHEET,LOAD_TIMESTAMP
2000-03-01,8809.945259424223,2000,1,5.0223,1 - Quarterly GWh,2025-08-01 09:08:23.932428
2000-06-01,9607.269745143114,2000,2,4.7367,1 - Quarterly GWh,2025-08-01 09:08:23.932429
2000-09-01,10278.697344784216,2000,3,6.6395,1 - Quarterly GWh,2025-08-01 09:08:23.932431
2000-12-01,9504.162137705143,2000,4,9.6274,1 - Quarterly GWh,2025-08-01 09:08:23.932432
2001-03-01,9186.489033540563,2001,1,12.2635,1 - Quarterly GWh,2025-08-01 09:08:23.932434
2001-06-01,9997.771976847163,2001,2,7.7339,1 - Quarterly GWh,2025-08-01 09:08:23.932435
2001-09-01,9971.842887912231,2001,3,-0.2097,1 - Quarterly GWh,2025-08-01 09:08:23.932437
2001-12-01,9187.826276862615,2001,4,3.8188,1 - Quarterly GWh,2025-08-01 09:08:23.932438
2002-03-01,9016.208726816802,2002,1,3.604,1 - Quarterly GWh,2025-08-01 09:08:23.932440
2002-06-01,9937.215721357266,2002,2,5.1994,1 - Quarterly GWh,2025-08-01 09:08:23.932441
2002-09-01,10630.748231683998,2002,3,8.9512,1 - Quarterly GWh,2025-08-01 09:08:23.932443
2002-12-01,9898.112867631518,2002,4,12.1265,1 - Quarterly GWh,2025-08-01 09:08:23.932444
2003-03-01,9425.329041307754,2003,1,10.5841,1 - Quarterly GWh,2025-08-01 09:08:23.932446
2003-06-01,9484.564817835746,2003,2,0.9684,1 - Quarterly GWh,2025-08-01 09:08:23.932447
2003-09-01,10686.76930733575,2003,3,8.3792,1 - Quarterly GWh,2025-08-01 09:08:23.932449
2003-12-01,9931.827310035746,2003,4,10.3742,1 - Quarterly GWh,2025-08-01 09:08:23.932450
2004-03-01,9745.236505257344,2004,1,10.6163,1 - Quarterly GWh,2025-08-01 09:08:23.932452
2004-06-01,10403.183424605357,2004,2,8.2845,1 - Quarterly GWh,2025-08-01 09:08:23.932454
2004-09-01,11321.54371360536,2004,3,10.1457,1 - Quarterly GWh,2025-08-01 09:08:23.932455
2004-12-01,10059.59228110535,2004,4,5.8441,1 - Quarterly GWh,2025-08-01 09:08:23.932457
2005-03-01,9704.28789339576,2005,1,5.6365,1 - Quarterly GWh,2025-08-01 09:08:23.932458
2005-06-01,10664.009484770437,2005,2,6.6639,1 - Quarterly GWh,2025-08-01 09:08:23.932460
2005-09-01,10999.348738200484,2005,3,10.3041,1 - Quarterly GWh,2025-08-01 09:08:23.932461
2005-12-01,10160.567993200497,2005,4,10.5873,1 - Quarterly GWh,2025-08-01 09:08:23.932463
2006-03-01,9787.028504940488,2006,1,8.5493,1 - Quarterly GWh,2025-08-01 09:08:23.932464
2006-06-01,10723.998341211214,2006,2,7.9175,1 - Quarterly GWh,2025-08-01 09:08:23.932466
2006-09-01,11317.04076278721,2006,3,6.4557,1 - Quarterly GWh,2025-08-01 09:08:23.932468
2006-12-01,10236.76468408162,2006,4,3.4214,1 - Quarterly GWh,2025-08-01 09:08:23.932469
2007-03-01,9900.608890727946,2007,1,5.0426,1 - Quarterly GWh,2025-08-01 09:08:23.932471
2007-06-01,10669.286340761566,2007,2,12.491,1 - Quarterly GWh,2025-08-01 09:08:23.932472
