TIMESTAMP_NZ,NZ_TOTALMW,NZ_TOTALMVAR,NI_TOTALMW,NI_TOTALMVAR,SI_TOTALMW,SI_TOTALMVAR,NORTHLAND_GZ1_MW,NORTHLAND_GZ1_MVAR,AUCKLAND_GZ2_MW,AUCKLAND_GZ2_MVAR,HAMILTON_GZ3_MW,HAMILTON_GZ3_MVAR,EDGECUMBE_GZ4_MW,EDGECUMBE_GZ4_MVAR,HAWKES_BAY_GZ5_MW,HAWKES_BAY_GZ5_MVAR,TARANAKI_GZ6_MW,TARANAKI_GZ6_MVAR,BUNNYTHORPE_GZ7_MW,BUNNYTHORPE_GZ7_MVAR,WELLINGTON_GZ8_MW,WELLINGTON_GZ8_MVAR,NELSON_GZ9_MW,NELSON_GZ9_MVAR,CHRISTCHURCH_GZ10_MW,CHRISTCHURCH_GZ10_MVAR,CANTERBURY_GZ11_MW,CANTERBURY_GZ11_MVAR,WEST_COAST_GZ12_MW,WEST_COAST_GZ12_MVAR,OTAGO_GZ13_MW,OTAGO_GZ13_MVAR,SOUTHLAND_GZ14_MW,SOUTHLAND_GZ14_MVAR,LOAD_TIMESTAMP
2025-07-01 00:00:00,4206.95,-370.5,2499.82,-309.09,1707.13,-61.41,442.93,-84.03,724.4,-73.6,307.16,-68.68,278.96,-0.49,179.6,-12.2,103.7,-1.19,145.28,-17.76,317.79,-51.14,136.21,-11.46,461.9,-73.6,204.66,-65.5,21.76,-3.83,141.63,-18.03,740.97,111.01,2025-08-01 08:45:53.448952
2025-07-01 00:05:00,4169.96,-371.89,2473.14,-312.95,1696.82,-58.94,434.55,-85.09,715.1,-73.9,303.59,-67.83,278.68,-2.62,177.8,-12.6,105.32,-1.98,143.78,-17.11,314.32,-51.82,135.28,-9.51,454.0,-76.2,201.76,-66.7,22.38,-4.85,139.43,-18.22,743.97,116.54,2025-08-01 08:45:53.448952
2025-07-01 00:10:00,4138.56,-360.8,2454.92,-308.98,1683.64,-51.82,428.31,-85.19,714.8,-72.3,298.1,-68.02,278.83,-0.66,177.8,-12.2,104.46,-1.67,143.05,-16.69,309.57,-52.25,134.95,-8.51,449.8,-75.9,199.26,-67.0,22.09,-5.19,138.03,-18.05,739.51,122.83,2025-08-01 08:45:53.448952
2025-07-01 00:15:00,4107.3,-363.15,2433.29,-312.67,1674.01,-50.48,422.78,-85.84,709.2,-73.6,294.73,-68.71,278.15,-1.6,177.0,-12.2,103.78,-0.96,141.92,-16.87,305.73,-52.89,132.65,-9.07,445.5,-76.7,195.96,-67.1,21.26,-4.86,136.67,-18.17,741.97,125.42,2025-08-01 08:45:53.448952
2025-07-01 00:20:00,4063.05,-371.83,2401.46,-319.12,1661.59,-52.71,419.36,-86.97,697.7,-76.4,289.93,-70.24,273.21,-2.44,173.6,-12.1,103.43,-1.19,140.68,-17.11,303.55,-52.67,132.14,-10.82,439.0,-77.1,195.16,-67.3,21.26,-4.6,136.32,-18.43,737.71,125.54,2025-08-01 08:45:53.448952
2025-07-01 00:25:00,4047.38,-376.93,2386.14,-316.37,1661.24,-60.56,414.51,-87.28,693.6,-74.5,287.97,-70.08,272.23,-1.62,174.4,-11.4,102.62,-1.19,140.47,-17.61,300.34,-52.69,133.62,-12.89,439.1,-77.9,195.47,-66.6,20.32,-4.75,135.88,-18.7,736.85,120.28,2025-08-01 08:45:53.448952
2025-07-01 00:30:00,4023.49,-387.46,2378.15,-320.41,1645.34,-67.05,410.46,-87.42,694.1,-75.4,288.46,-69.38,271.02,-3.25,175.2,-12.2,102.13,-1.54,138.43,-17.79,298.35,-53.43,130.7,-12.33,436.0,-78.9,193.36,-67.4,20.45,-4.8,134.86,-18.89,729.97,115.27,2025-08-01 08:45:53.448952
2025-07-01 00:35:00,4008.09,-378.54,2365.39,-319.0,1642.7,-59.54,406.9,-88.02,697.2,-71.7,284.43,-71.39,268.25,-4.13,175.2,-11.7,100.96,-1.68,136.85,-17.2,295.6,-53.18,129.45,-11.26,434.5,-78.5,190.56,-67.6,20.45,-4.59,134.69,-19.1,733.05,121.51,2025-08-01 08:45:53.448952
2025-07-01 00:40:00,3980.69,-383.97,2343.45,-324.64,1637.24,-59.33,403.97,-88.87,685.9,-75.1,282.48,-71.64,267.43,-4.47,175.1,-11.8,101.07,-1.65,135.8,-17.44,291.7,-53.67,128.71,-10.3,432.3,-80.3,191.76,-67.5,19.87,-4.59,134.98,-19.28,729.62,122.64,2025-08-01 08:45:53.448952
2025-07-01 00:45:00,3957.48,-381.42,2323.46,-327.23,1634.02,-54.19,398.34,-89.11,679.0,-75.9,281.61,-70.74,265.12,-4.6,173.8,-12.8,100.82,-1.84,134.87,-17.95,289.9,-54.29,128.23,-9.93,432.9,-80.2,192.26,-67.8,19.69,-4.85,133.69,-19.39,727.25,127.98,2025-08-01 08:45:53.448952
2025-07-01 00:50:00,3957.41,-371.74,2330.48,-317.2,1626.93,-54.54,398.19,-89.58,689.5,-68.0,281.83,-70.37,265.23,-3.41,172.6,-12.8,100.19,-1.96,134.36,-17.64,288.58,-53.44,127.14,-9.22,431.2,-80.9,190.56,-67.4,19.69,-4.74,132.93,-19.36,725.41,127.08,2025-08-01 08:45:53.448952
2025-07-01 00:55:00,3950.78,-386.23,2322.31,-319.25,1628.47,-66.98,395.14,-89.53,689.1,-69.0,280.33,-70.05,263.89,-4.11,171.4,-12.8,102.49,-2.13,133.0,-17.65,286.96,-53.98,126.44,-9.8,428.3,-81.7,190.16,-67.6,19.95,-5.17,132.78,-18.99,730.84,116.28,2025-08-01 08:45:53.448952
2025-07-01 01:00:00,3931.94,-380.33,2313.62,-319.29,1618.32,-61.04,394.33,-89.92,683.9,-69.8,280.93,-69.34,261.32,-4.21,172.8,-12.3,102.57,-2.21,133.58,-17.45,284.19,-54.06,125.74,-10.12,426.3,-81.8,188.76,-67.7,19.47,-5.07,131.34,-19.33,726.71,122.98,2025-08-01 08:45:53.448952
2025-07-01 01:05:00,3904.38,-371.97,2295.84,-320.21,1608.54,-51.76,391.75,-88.8,677.0,-69.1,281.64,-68.21,258.8,-5.53,168.9,-12.2,101.44,-2.32,131.88,-20.1,284.43,-53.95,126.24,-9.99,424.3,-81.7,187.26,-67.7,19.47,-5.07,131.35,-19.4,719.92,132.1,2025-08-01 08:45:53.448952
2025-07-01 01:10:00,3908.81,-369.66,2307.95,-314.94,1600.86,-54.72,389.61,-89.45,681.5,-67.2,280.38,-69.22,268.42,-0.69,171.3,-12.6,102.22,-2.16,132.22,-20.12,282.3,-53.5,125.82,-9.63,418.1,-82.2,187.16,-68.1,18.84,-4.81,129.6,-20.01,721.34,130.03,2025-08-01 08:45:53.448952
2025-07-01 01:15:00,3888.23,-373.37,2293.85,-320.07,1594.38,-53.3,385.29,-91.12,677.1,-70.5,279.67,-69.05,266.15,-0.51,172.0,-12.0,100.89,-2.18,131.25,-19.95,281.5,-54.76,125.38,-9.58,416.8,-81.6,185.86,-67.6,18.84,-4.81,129.64,-20.08,717.86,130.37,2025-08-01 08:45:53.448952
2025-07-01 01:20:00,3870.88,-382.89,2280.77,-325.44,1590.11,-57.45,383.94,-91.34,673.0,-74.0,278.58,-68.92,264.3,-1.4,169.7,-12.5,100.4,-2.24,131.45,-20.02,279.4,-55.02,124.58,-10.09,413.7,-82.8,185.06,-68.0,18.95,-4.89,127.88,-21.14,719.94,129.47,2025-08-01 08:45:53.448952
2025-07-01 01:25:00,3850.68,-385.2,2263.16,-330.95,1587.52,-54.25,380.98,-90.62,667.0,-77.4,277.08,-68.73,260.82,-4.16,168.6,-12.8,100.34,-2.32,131.14,-19.8,277.2,-55.12,123.98,-9.15,412.1,-82.8,184.96,-68.3,19.12,-4.89,128.53,-19.68,718.83,130.57,2025-08-01 08:45:53.448952
2025-07-01 01:30:00,3829.73,-395.73,2247.47,-337.28,1582.26,-58.45,379.91,-92.02,653.7,-79.6,276.15,-71.15,262.69,-1.18,169.1,-13.5,99.45,-2.99,130.27,-20.25,276.2,-56.59,123.26,-10.02,409.4,-83.7,183.06,-68.8,18.45,-4.5,127.83,-20.03,720.26,128.6,2025-08-01 08:45:53.448952
2025-07-01 01:35:00,3817.83,-393.5,2242.12,-335.36,1575.71,-58.14,379.14,-91.7,650.9,-78.3,275.52,-72.19,262.61,-2.29,167.4,-12.6,100.48,-3.01,130.97,-20.37,275.1,-54.9,123.17,-9.52,405.6,-84.9,180.96,-68.7,18.19,-4.73,128.28,-19.2,719.51,128.91,2025-08-01 08:45:53.448952
2025-07-01 01:40:00,3810.58,-389.84,2241.66,-333.42,1568.92,-56.42,376.97,-90.28,654.9,-78.8,274.04,-70.94,259.89,-2.88,170.1,-12.1,101.21,-3.3,130.65,-19.37,273.9,-55.75,123.11,-9.83,402.1,-84.3,180.16,-68.6,18.09,-4.66,128.41,-19.17,717.05,130.14,2025-08-01 08:45:53.448952
2025-07-01 01:45:00,3794.03,-385.74,2232.51,-329.87,1561.52,-55.87,377.71,-91.52,653.5,-75.7,273.29,-71.86,259.92,-1.04,164.8,-12.6,101.75,-2.68,129.64,-19.34,271.9,-55.13,122.3,-9.75,400.8,-84.5,178.26,-68.9,17.94,-4.74,128.48,-18.78,713.74,130.8,2025-08-01 08:45:53.448952
2025-07-01 01:50:00,3793.64,-396.04,2233.55,-336.16,1560.09,-59.88,374.89,-91.46,659.4,-76.0,271.82,-72.18,255.85,-3.31,167.4,-14.4,101.95,-2.6,129.54,-20.12,272.7,-56.09,121.9,-10.44,397.4,-85.3,178.66,-69.1,18.0,-4.55,127.97,-19.43,716.16,128.94,2025-08-01 08:45:53.448952
2025-07-01 01:55:00,3781.04,-395.29,2227.13,-338.31,1553.91,-56.98,373.32,-91.43,655.0,-77.9,271.88,-73.64,259.07,-2.19,165.8,-14.1,101.03,-3.12,128.93,-20.16,272.1,-55.77,121.65,-10.75,395.3,-85.6,178.86,-69.2,18.0,-4.71,127.5,-19.46,712.6,132.74,2025-08-01 08:45:53.448952
2025-07-01 02:00:00,3755.96,-403.22,2203.68,-343.8,1552.28,-59.42,372.4,-92.48,637.9,-81.8,271.12,-73.98,257.3,-3.29,165.2,-13.2,100.85,-3.14,128.41,-19.31,270.5,-56.6,120.97,-10.66,394.0,-85.9,177.57,-69.0,17.79,-4.45,127.43,-19.07,714.52,129.66,2025-08-01 08:45:53.448952
2025-07-01 02:05:00,3786.62,-397.4,2230.45,-335.83,1556.17,-61.57,373.67,-93.02,655.4,-74.0,273.11,-73.23,260.69,-2.33,164.8,-14.2,101.78,-2.57,128.4,-20.38,272.6,-56.1,121.94,-10.94,394.7,-85.7,177.26,-69.6,17.77,-4.53,126.79,-19.75,717.71,128.95,2025-08-01 08:45:53.448952
2025-07-01 02:10:00,3762.98,-410.47,2211.51,-345.45,1551.47,-65.02,373.17,-92.92,642.3,-81.8,272.72,-74.38,257.85,-1.93,164.5,-14.4,101.29,-2.97,128.98,-19.91,270.7,-57.14,122.17,-10.71,394.8,-88.2,176.36,-69.6,17.55,-4.72,128.57,-20.15,712.02,128.36,2025-08-01 08:45:53.448952
2025-07-01 02:15:00,3750.97,-414.79,2204.05,-348.71,1546.92,-66.08,373.73,-92.44,639.7,-83.0,271.08,-75.59,255.95,-3.61,162.5,-14.4,101.8,-2.62,128.99,-20.15,270.3,-56.9,121.13,-10.79,392.5,-89.0,177.06,-69.6,17.51,-4.74,126.24,-19.9,712.48,127.95,2025-08-01 08:45:53.448952
2025-07-01 02:20:00,3742.69,-407.58,2203.23,-342.3,1539.46,-65.28,371.34,-91.73,639.1,-79.1,270.28,-74.45,257.3,-5.27,163.9,-14.0,101.32,-2.53,129.29,-18.89,270.7,-56.33,121.62,-10.79,391.9,-89.3,173.86,-69.9,17.62,-4.62,125.13,-20.53,709.33,129.86,2025-08-01 08:45:53.448952
2025-07-01 02:25:00,3744.42,-409.78,2206.73,-339.4,1537.69,-70.38,371.02,-92.43,643.5,-77.6,269.7,-74.45,256.48,-4.41,166.8,-13.7,101.24,-2.99,129.59,-16.97,268.4,-56.85,120.22,-11.31,388.2,-89.7,173.76,-69.7,17.62,-4.47,125.58,-20.26,712.31,125.06,2025-08-01 08:45:53.448952
2025-07-01 02:30:00,3751.69,-400.91,2215.63,-333.86,1536.06,-67.05,368.94,-92.83,656.0,-72.2,269.84,-73.24,255.33,-4.15,165.8,-13.9,100.55,-2.83,131.07,-18.08,268.1,-56.63,120.86,-10.77,388.2,-89.6,173.56,-69.8,17.47,-4.51,126.85,-20.2,709.12,127.83,2025-08-01 08:45:53.448952
2025-07-01 02:35:00,3732.02,-408.32,2198.84,-340.63,1533.18,-67.69,369.11,-92.96,640.5,-79.0,269.97,-73.29,258.36,-2.88,163.4,-14.4,100.95,-2.69,129.15,-18.99,267.4,-56.42,121.34,-11.27,385.9,-89.9,173.56,-70.2,17.26,-4.43,125.45,-20.06,709.67,128.17,2025-08-01 08:45:53.448952
