event_id,title,description,location_text,date_info_original,start_date,end_date,is_recurring,category,event_url,publication_date,fetch_timestamp,data_source,rss_feed_url,region,city
889682,Mwambe: A Jungle Adventure,,"The stage is set, the jungle is calling, and the Academy of Dance Taranaki is ready to bring you a show like no other! Join us for an unforgettable weekend of movement, music and magic as our talented students take you ...New Plymouth","Saturday, 2 August 2025 - Sunday, 3 August 2025",2025-08-02,2025-08-03,True,Other,https://www.eventfinda.co.nz/2025/mwambe-jungle-adventure/new-plymouth?utm_medium=rss,2025-08-03T19:00:00,2025-08-03,EventFinda RSS,https://www.eventfinda.co.nz/feed/events/new-zealand/whatson/upcoming.rss,Taranaki,The stage is set
898988,Too Much Information- Morrinsville,,"Itsthatmadguy is bringing his show to the one and only Morrinsville. It s taken him 2 years to build this hour of comedy so you know it s polished, it s fine tuned and is sure to make you laugh. From ...Morrinsville","Sunday, 3 August 2025",2025-08-03,2025-08-03,False,Other,https://www.eventfinda.co.nz/2025/too-much-information-morrinsville/morrinsville?utm_medium=rss,2025-08-03T19:00:00,2025-08-03,EventFinda RSS,https://www.eventfinda.co.nz/feed/events/new-zealand/whatson/upcoming.rss,Other,Itsthatmadguy is bringing his show to the one and only Morrinsville
900317,She'll Be Right - Sunday Night - Open Mic Comedy,,"Free show! Professional stand-up comedians perfecting material at Auckland's newest comedy club. So new that we don't have a sign out front. What we do have is a really cool showroom, built from cardboard, and some great ...Auckland","Sunday, 3 August 2025 - Sunday, 31 August 2025",2025-08-03,2025-08-31,True,Comedy & Entertainment,https://www.eventfinda.co.nz/2025/shell-be-right-sunday-night-open-mic-comedy2/auckland/kingsland?utm_medium=rss,2025-08-03T19:00:00,2025-08-03,EventFinda RSS,https://www.eventfinda.co.nz/feed/events/new-zealand/whatson/upcoming.rss,Auckland,Free show
895995,Learn to Play Volleyball! Beginners  & Intermediate Training,,Auckland Central Volleyball Club Presents Indoor Volleyball Training for teens adults ages 16 and up! Start strong stay strong with these learning training sessions! We will review the basic skills ...Auckland,"Sunday, 20 July 2025 - Sunday, 14 September 2025",2025-07-20,2025-09-14,True,Sports & Recreation,https://www.eventfinda.co.nz/2025/learn-to-play-volleyball-beginners-intermediate-training/auckland/epsom?utm_medium=rss,2025-08-03T19:15:00,2025-08-03,EventFinda RSS,https://www.eventfinda.co.nz/feed/events/new-zealand/whatson/upcoming.rss,Auckland,Auckland Central Volleyball Club Presents Indoor Volleyball Training for teens adults ages
898270,Sports Open Day,,"This free Sports Open Day is proudly co-hosted by Sport Waitākere, Synergy Sports, and SportHub Community Centre, and is open to all young people in the community. The event features a variety of fun and engaging sports ...Auckland","Friday, 11 July 2025 - Wednesday, 29 October 2025",2025-07-11,2025-10-29,True,Sports & Recreation,https://www.eventfinda.co.nz/2025/sports-open-day/auckland/new-lynn?utm_medium=rss,2025-08-10T14:00:00,2025-08-03,EventFinda RSS,https://www.eventfinda.co.nz/feed/events/new-zealand/whatson/upcoming.rss,Auckland,This free Sports Open Day is proudly co
898834,Skateboard Lessons,,"Bay Skate's skateboard lessons are continuing on throughout Term 3! Every Friday and Sunday, grab your mates, grab your board and head on down to Bay Skate and watch how your skateboard journey progresses. These lessons ...Napier","Friday, 25 July 2025 - Sunday, 21 September 2025",2025-07-25,2025-09-21,True,Sports & Recreation,https://www.eventfinda.co.nz/2025/skateboard-lessons/napier?utm_medium=rss,2025-08-08T16:00:00,2025-08-03,EventFinda RSS,https://www.eventfinda.co.nz/feed/events/new-zealand/whatson/upcoming.rss,Hawke's Bay,Bay Skate
895990,ACVC: Volleyball Training for Kids & Teens,,Auckland Central Volleyball Club Presents Indoor Volleyball Training! Term 3 Improve your skills with volleyball training sessions! For kids ages 10 - 19. This school term series will review the basic skills ...Auckland,"Sunday, 20 July 2025 - Sunday, 14 September 2025",2025-07-20,2025-09-14,True,Sports & Recreation,https://www.eventfinda.co.nz/2025/acvc-volleyball-training-for-kids-teens3/auckland/epsom?utm_medium=rss,2025-08-10T12:45:00,2025-08-03,EventFinda RSS,https://www.eventfinda.co.nz/feed/events/new-zealand/whatson/upcoming.rss,Auckland,Auckland Central Volleyball Club Presents Indoor Volleyball Training
898994,Sunday Jazz,,Join us for live jazz every Sunday! Relax in the charming bohemian olde world atmosphere of the Undercurrent and enjoy the suave musical stylings of The Undercurrent All-Stars. Expect to hear the swinging tunes made ...Wellington,"Sunday, 20 July 2025 - Sunday, 30 November 2025",2025-07-20,2025-11-30,True,Music & Performance,https://www.eventfinda.co.nz/2025/sunday-jazz5/wellington?utm_medium=rss,2025-08-10T15:30:00,2025-08-03,EventFinda RSS,https://www.eventfinda.co.nz/feed/events/new-zealand/whatson/upcoming.rss,Wellington,Join us for live jazz every Sunday
900186,A Night in Italy,,"A Night in Italy! Taste Italy. Feel the vibe. Step into a warm little Italian eatery. We're transforming in into a pop-up buzzing Italian eatery, complete with live mantra music, conscious insight around the theme of ...Wellington","Sunday, 3 August 2025",2025-08-03,2025-08-03,False,Other,https://www.eventfinda.co.nz/2025/a-night-in-italy/wellington?utm_medium=rss,2025-08-03T18:15:00,2025-08-03,EventFinda RSS,https://www.eventfinda.co.nz/feed/events/new-zealand/whatson/upcoming.rss,Wellington,A Night in Italy
900513,Find Your Answers & Direction 1 on 1 Workshop (Remote),,Find Your Answers Direction 1 on 1 Workshop (Remote). 1 hour one on one session. With trained Hypnotherapist and Intuitive healer of 30 years. Remove blockages and find direction in your personal or business ...Virtual,"Wednesday, 30 July 2025 - Tuesday, 5 August 2025",2025-07-30,2025-08-05,True,Education & Workshops,https://www.eventfinda.co.nz/2025/find-your-answers-direction-on-workshop-remote/virtual?utm_medium=rss,2025-08-04T12:00:00,2025-08-03,EventFinda RSS,https://www.eventfinda.co.nz/feed/events/new-zealand/whatson/upcoming.rss,Other,Find Your Answers Direction
