report_date,period_type,region,data_source,dataset_description,load_timestamp,..,111,124,1342,159,175,209,21,257,27,464,49,52,66,877,93
1996-08-01,Monthly,International guest nights: trend,Stats NZ ACS348801,Guest Nights by Region (Monthly),2025-08-03,266.0,,,,,,,,,,,,,,,
1996-08-01,Monthly,International guest nights: trend,Stats NZ ACS348801,Guest Nights by Region (Monthly),2025-08-03,111.0,,,,,,,,,,,,,,,
1996-08-01,Monthly,International guest nights: trend,Stats NZ ACS348801,Guest Nights by Region (Monthly),2025-08-03,138.0,,,,,,,,,,,,,,,
1996-08-01,Monthly,International guest nights: trend,Stats NZ ACS348801,Guest Nights by Region (Monthly),2025-08-03,45.0,,,,,,,,,,,,,,,
1996-08-01,Monthly,International guest nights: trend,Stats NZ ACS348801,Guest Nights by Region (Monthly),2025-08-03,89.0,,,,,,,,,,,,,,,
1996-08-01,Monthly,International guest nights: trend,Stats NZ ACS348801,Guest Nights by Region (Monthly),2025-08-03,105.0,,,,,,,,,,,,,,,
1996-08-01,Monthly,International guest nights: trend,Stats NZ ACS348801,Guest Nights by Region (Monthly),2025-08-03,54.0,,,,,,,,,,,,,,,
1996-08-01,Monthly,International guest nights: trend,Stats NZ ACS348801,Guest Nights by Region (Monthly),2025-08-03,210.0,,,,,,,,,,,,,,,
1996-08-01,Monthly,International guest nights: trend,Stats NZ ACS348801,Guest Nights by Region (Monthly),2025-08-03,28.0,,,,,,,,,,,,,,,
1996-08-01,Monthly,International guest nights: trend,Stats NZ ACS348801,Guest Nights by Region (Monthly),2025-08-03,211.0,,,,,,,,,,,,,,,
1996-08-01,Monthly,International guest nights: trend,Stats NZ ACS348801,Guest Nights by Region (Monthly),2025-08-03,23.0,,,,,,,,,,,,,,,
1996-08-01,Monthly,International guest nights: trend,Stats NZ ACS348801,Guest Nights by Region (Monthly),2025-08-03,1337.0,,,,,,,,,,,,,,,
1996-09-01,Monthly,International guest nights: trend,Stats NZ ACS348801,Guest Nights by Region (Monthly),2025-08-03,264.0,,,,,,,,,,,,,,,
1996-09-01,Monthly,International guest nights: trend,Stats NZ ACS348801,Guest Nights by Region (Monthly),2025-08-03,140.0,,,,,,,,,,,,,,,
1996-09-01,Monthly,International guest nights: trend,Stats NZ ACS348801,Guest Nights by Region (Monthly),2025-08-03,174.0,,,,,,,,,,,,,,,
1996-09-01,Monthly,International guest nights: trend,Stats NZ ACS348801,Guest Nights by Region (Monthly),2025-08-03,62.0,,,,,,,,,,,,,,,
1996-09-01,Monthly,International guest nights: trend,Stats NZ ACS348801,Guest Nights by Region (Monthly),2025-08-03,115.0,,,,,,,,,,,,,,,
1996-09-01,Monthly,International guest nights: trend,Stats NZ ACS348801,Guest Nights by Region (Monthly),2025-08-03,113.0,,,,,,,,,,,,,,,
1996-09-01,Monthly,International guest nights: trend,Stats NZ ACS348801,Guest Nights by Region (Monthly),2025-08-03,79.0,,,,,,,,,,,,,,,
1996-09-01,Monthly,International guest nights: trend,Stats NZ ACS348801,Guest Nights by Region (Monthly),2025-08-03,256.0,,,,,,,,,,,,,,,
1996-09-01,Monthly,International guest nights: trend,Stats NZ ACS348801,Guest Nights by Region (Monthly),2025-08-03,45.0,,,,,,,,,,,,,,,
1996-09-01,Monthly,International guest nights: trend,Stats NZ ACS348801,Guest Nights by Region (Monthly),2025-08-03,214.0,,,,,,,,,,,,,,,
1996-09-01,Monthly,International guest nights: trend,Stats NZ ACS348801,Guest Nights by Region (Monthly),2025-08-03,31.0,,,,,,,,,,,,,,,
1996-09-01,Monthly,International guest nights: trend,Stats NZ ACS348801,Guest Nights by Region (Monthly),2025-08-03,1572.0,,,,,,,,,,,,,,,
1996-10-01,Monthly,Domestic guest nights: trend,Stats NZ ACS348801,Guest Nights by Region (Monthly),2025-08-03,31.0,,,,,,,,,,,,,,,
1996-10-01,Monthly,Domestic guest nights: trend,Stats NZ ACS348801,Guest Nights by Region (Monthly),2025-08-03,156.0,,,,,,,,,,,,,,,
1996-10-01,Monthly,Domestic guest nights: trend,Stats NZ ACS348801,Guest Nights by Region (Monthly),2025-08-03,32.0,,,,,,,,,,,,,,,
1996-10-01,Monthly,Domestic guest nights: trend,Stats NZ ACS348801,Guest Nights by Region (Monthly),2025-08-03,73.0,,,,,,,,,,,,,,,
