report_year,report_date,period_type,total_migrant_arrivals,data_source,dataset_description,load_timestamp
2003,2003-04-30,Annual,132704,Stats NZ ITM553006,"Estimated migrant arrivals by citizenship, visa type (Total)",2025-08-03
2004,2004-04-30,Annual,111579,Stats NZ ITM553006,"Estimated migrant arrivals by citizenship, visa type (Total)",2025-08-03
2005,2005-04-30,Annual,103050,Stats NZ ITM553006,"Estimated migrant arrivals by citizenship, visa type (Total)",2025-08-03
2006,2006-04-30,Annual,105203,Stats NZ ITM553006,"Estimated migrant arrivals by citizenship, visa type (Total)",2025-08-03
2007,2007-04-30,Annual,112711,Stats NZ ITM553006,"Estimated migrant arrivals by citizenship, visa type (Total)",2025-08-03
2008,2008-04-30,Annual,115512,Stats NZ ITM553006,"Estimated migrant arrivals by citizenship, visa type (Total)",2025-08-03
2009,2009-04-30,Annual,118388,Stats NZ ITM553006,"Estimated migrant arrivals by citizenship, visa type (Total)",2025-08-03
2010,2010-04-30,Annual,103467,Stats NZ ITM553006,"Estimated migrant arrivals by citizenship, visa type (Total)",2025-08-03
2011,2011-04-30,Annual,100902,Stats NZ ITM553006,"Estimated migrant arrivals by citizenship, visa type (Total)",2025-08-03
2012,2012-04-30,Annual,100063,Stats NZ ITM553006,"Estimated migrant arrivals by citizenship, visa type (Total)",2025-08-03
2013,2013-04-30,Annual,103317,Stats NZ ITM553006,"Estimated migrant arrivals by citizenship, visa type (Total)",2025-08-03
2014,2014-04-30,Annual,115761,Stats NZ ITM553006,"Estimated migrant arrivals by citizenship, visa type (Total)",2025-08-03
2015,2015-04-30,Annual,132665,Stats NZ ITM553006,"Estimated migrant arrivals by citizenship, visa type (Total)",2025-08-03
2016,2016-04-30,Annual,143259,Stats NZ ITM553006,"Estimated migrant arrivals by citizenship, visa type (Total)",2025-08-03
2017,2017-04-30,Annual,142165,Stats NZ ITM553006,"Estimated migrant arrivals by citizenship, visa type (Total)",2025-08-03
2018,2018-04-30,Annual,138629,Stats NZ ITM553006,"Estimated migrant arrivals by citizenship, visa type (Total)",2025-08-03
2019,2019-04-30,Annual,138988,Stats NZ ITM553006,"Estimated migrant arrivals by citizenship, visa type (Total)",2025-08-03
2020,2020-04-30,Annual,177317,Stats NZ ITM553006,"Estimated migrant arrivals by citizenship, visa type (Total)",2025-08-03
2021,2021-04-30,Annual,53667,Stats NZ ITM553006,"Estimated migrant arrivals by citizenship, visa type (Total)",2025-08-03
2022,2022-04-30,Annual,55850,Stats NZ ITM553006,"Estimated migrant arrivals by citizenship, visa type (Total)",2025-08-03
2023,2023-04-30,Annual,183102,Stats NZ ITM553006,"Estimated migrant arrivals by citizenship, visa type (Total)",2025-08-03
2024,2024-04-30,Annual,37,Stats NZ ITM553006,"Estimated migrant arrivals by citizenship, visa type (Total)",2025-08-03
2025,2025-04-30,Annual,477,Stats NZ ITM553006,"Estimated migrant arrivals by citizenship, visa type (Total)",2025-08-03
