report_year,report_date,period_type,arrivals_actual,arrivals_sample,departures_actual,departures_sample,total_actual,total_sample,data_source,dataset_description,load_timestamp
1861,1861-12-31,Annual,22339,22339,6117,6117,28456,28456,Stats NZ ITM332206,Total passenger movements,2025-08-03
1862,1862-12-31,Annual,34290,34290,13299,13299,47589,47589,Stats NZ ITM332206,Total passenger movements,2025-08-03
1863,1863-12-31,Annual,45730,45730,10610,10610,56340,56340,Stats NZ ITM332206,Total passenger movements,2025-08-03
1864,1864-12-31,Annual,20931,20931,12404,12404,33335,33335,Stats NZ ITM332206,Total passenger movements,2025-08-03
1865,1865-12-31,Annual,18916,18916,6607,6607,25523,25523,Stats NZ ITM332206,Total passenger movements,2025-08-03
1866,1866-12-31,Annual,14893,14893,7294,7294,22187,22187,Stats NZ ITM332206,Total passenger movements,2025-08-03
1867,1867-12-31,Annual,11126,11126,6267,6267,17393,17393,Stats NZ ITM332206,Total passenger movements,2025-08-03
1868,1868-12-31,Annual,8723,8723,7863,7863,16586,16586,Stats NZ ITM332206,Total passenger movements,2025-08-03
1869,1869-12-31,Annual,8903,8903,5262,5262,14165,14165,Stats NZ ITM332206,Total passenger movements,2025-08-03
1870,1870-12-31,Annual,9124,9124,5547,5547,14671,14671,Stats NZ ITM332206,Total passenger movements,2025-08-03
1871,1871-12-31,Annual,10083,10083,5297,5297,15380,15380,Stats NZ ITM332206,Total passenger movements,2025-08-03
1872,1872-12-31,Annual,10725,10725,5752,5752,16477,16477,Stats NZ ITM332206,Total passenger movements,2025-08-03
1873,1873-12-31,Annual,13572,13572,4761,4761,18333,18333,Stats NZ ITM332206,Total passenger movements,2025-08-03
1874,1874-12-31,Annual,43965,43965,5859,5859,49824,49824,Stats NZ ITM332206,Total passenger movements,2025-08-03
1875,1875-12-31,Annual,31737,31737,6467,6467,38204,38204,Stats NZ ITM332206,Total passenger movements,2025-08-03
1876,1876-12-31,Annual,18414,18414,6459,6459,24873,24873,Stats NZ ITM332206,Total passenger movements,2025-08-03
1877,1877-12-31,Annual,12987,12987,6611,6611,19598,19598,Stats NZ ITM332206,Total passenger movements,2025-08-03
1878,1878-12-31,Annual,16263,16263,5761,5761,22024,22024,Stats NZ ITM332206,Total passenger movements,2025-08-03
1879,1879-12-31,Annual,23957,23957,5234,5234,29191,29191,Stats NZ ITM332206,Total passenger movements,2025-08-03
1880,1880-12-31,Annual,15154,15154,7923,7923,23077,23077,Stats NZ ITM332206,Total passenger movements,2025-08-03
1881,1881-12-31,Annual,9688,9688,8072,8072,17760,17760,Stats NZ ITM332206,Total passenger movements,2025-08-03
1882,1882-12-31,Annual,10945,10945,7456,7456,18401,18401,Stats NZ ITM332206,Total passenger movements,2025-08-03
1883,1883-12-31,Annual,19215,19215,9186,9186,28401,28401,Stats NZ ITM332206,Total passenger movements,2025-08-03
1884,1884-12-31,Annual,20021,20021,10700,10700,30721,30721,Stats NZ ITM332206,Total passenger movements,2025-08-03
1885,1885-12-31,Annual,16199,16199,11695,11695,27894,27894,Stats NZ ITM332206,Total passenger movements,2025-08-03
1886,1886-12-31,Annual,16101,16101,15037,15037,31138,31138,Stats NZ ITM332206,Total passenger movements,2025-08-03
