year,total_rainfall_mm,rain_days_count,total_runoff_mm,total_deficit_mm,station_id,station_name,load_timestamp
1947,1125.0,161.0,454.2,263.9,2109,NIWA Station 2109,2025-08-01 09:46:31.007507
1948,1406.8,182.0,637.4,221.7,2109,NIWA Station 2109,2025-08-01 09:46:31.007507
1949,1041.2,178.0,324.8,199.8,2109,NIWA Station 2109,2025-08-01 09:46:31.007507
1950,995.1,135.0,269.8,315.4,2109,NIWA Station 2109,2025-08-01 09:46:31.007507
1951,1109.7,179.0,350.0,178.8,2109,NIWA Station 2109,2025-08-01 09:46:31.007507
1952,1293.5,173.0,537.5,129.9,2109,NIWA Station 2109,2025-08-01 09:46:31.007507
1953,1402.1,171.0,639.1,128.1,2109,NIWA Station 2109,2025-08-01 09:46:31.007507
1954,1162.3,150.0,427.7,334.0,2109,NIWA Station 2109,2025-08-01 09:46:31.007507
1955,1063.5,149.0,393.6,267.4,2109,NIWA Station 2109,2025-08-01 09:46:31.007507
1956,1724.2,196.0,916.3,196.6,2109,NIWA Station 2109,2025-08-01 09:46:31.007507
1957,1023.3,174.0,332.7,232.3,2109,NIWA Station 2109,2025-08-01 09:46:31.007507
1958,1337.2,160.0,514.9,181.1,2109,NIWA Station 2109,2025-08-01 09:46:31.007507
1959,1170.8,161.0,422.9,131.1,2109,NIWA Station 2109,2025-08-01 09:46:31.007507
1960,1324.0,165.0,458.1,211.9,2109,NIWA Station 2109,2025-08-01 09:46:31.007507
1961,1116.4,143.0,408.1,326.8,2109,NIWA Station 2109,2025-08-01 09:46:31.007507
1962,1641.7,183.0,729.3,177.3,2109,NIWA Station 2109,2025-08-01 09:46:31.007507
1963,908.8,145.0,288.5,354.1,2109,NIWA Station 2109,2025-08-01 09:46:31.007507
1964,1443.8,186.0,685.6,198.2,2109,NIWA Station 2109,2025-08-01 09:46:31.007507
1965,1255.2,165.0,459.0,125.1,2109,NIWA Station 2109,2025-08-01 09:46:31.007507
1966,1376.4,156.0,460.5,37.9,2109,NIWA Station 2109,2025-08-01 09:46:31.007507
1967,1344.9,149.0,475.3,43.9,2109,NIWA Station 2109,2025-08-01 09:46:31.007507
1968,1318.1,175.0,561.1,166.9,2109,NIWA Station 2109,2025-08-01 09:46:31.007507
1969,1076.5,143.0,285.5,86.3,2109,NIWA Station 2109,2025-08-01 09:46:31.007507
1970,1119.6,,500.6,,2109,NIWA Station 2109,2025-08-01 09:46:31.007507
1971,1367.7,155.0,563.4,165.4,2109,NIWA Station 2109,2025-08-01 09:46:31.007507
1972,1269.3,166.0,523.3,197.8,2109,NIWA Station 2109,2025-08-01 09:46:31.007507
1973,999.9,157.0,349.2,282.2,2109,NIWA Station 2109,2025-08-01 09:46:31.007507
1974,1092.3,169.0,430.8,308.6,2109,NIWA Station 2109,2025-08-01 09:46:31.007507
1975,1261.8,168.0,453.3,144.6,2109,NIWA Station 2109,2025-08-01 09:46:31.007507
1976,1380.4,180.0,567.7,85.1,2109,NIWA Station 2109,2025-08-01 09:46:31.007507
1977,1267.5,176.0,501.9,181.0,2109,NIWA Station 2109,2025-08-01 09:46:31.007507
1978,1067.2,147.0,415.2,260.6,2109,NIWA Station 2109,2025-08-01 09:46:31.007507
1979,1369.7,173.0,562.0,153.3,2109,NIWA Station 2109,2025-08-01 09:46:31.007507
1980,1218.7,193.0,398.7,29.2,2109,NIWA Station 2109,2025-08-01 09:46:31.007507
1981,1148.9,195.0,439.3,161.4,2109,NIWA Station 2109,2025-08-01 09:46:31.007507
1982,875.3,154.0,190.9,190.2,2109,NIWA Station 2109,2025-08-01 09:46:31.007507
1983,975.8,193.0,332.5,216.2,2109,NIWA Station 2109,2025-08-01 09:46:31.007507
2000,826.8,142.0,,,4960,NIWA Station 4960,2025-08-01 09:46:31.018333
2002,859.6,135.0,146.0,273.1,4960,NIWA Station 4960,2025-08-01 09:46:31.018333
2003,716.8,120.0,,,4960,NIWA Station 4960,2025-08-01 09:46:31.018333
2004,853.6,159.0,222.2,266.0,4960,NIWA Station 4960,2025-08-01 09:46:31.018333
2006,937.5,157.0,226.3,266.8,4960,NIWA Station 4960,2025-08-01 09:46:31.018333
2007,505.9,137.0,26.1,416.4,4960,NIWA Station 4960,2025-08-01 09:46:31.018333
2008,622.5,149.0,148.4,415.7,4960,NIWA Station 4960,2025-08-01 09:46:31.018333
2009,584.6,151.0,55.0,402.7,4960,NIWA Station 4960,2025-08-01 09:46:31.018333
2011,679.0,152.0,25.8,281.4,4960,NIWA Station 4960,2025-08-01 09:46:31.018333
2012,736.4,140.0,224.3,409.6,4960,NIWA Station 4960,2025-08-01 09:46:31.018333
2013,,,224.6,,4960,NIWA Station 4960,2025-08-01 09:46:31.018333
2015,,,116.2,,4960,NIWA Station 4960,2025-08-01 09:46:31.018333
2016,,,37.0,,4960,NIWA Station 4960,2025-08-01 09:46:31.018333
2020,,,0.0,,4960,NIWA Station 4960,2025-08-01 09:46:31.018333
2021,,,11.2,,4960,NIWA Station 4960,2025-08-01 09:46:31.018333
2022,,,178.8,,4960,NIWA Station 4960,2025-08-01 09:46:31.018333
1933,1615.9,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1934,1470.4,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1935,1693.7,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1936,1687.3,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1937,1670.1,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1938,1890.3,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1939,1861.1,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1940,1378.5,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1941,1827.8,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1942,1400.8,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1943,1485.1,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1944,1481.3,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1945,1436.4,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1946,1497.8,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1947,1559.8,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1948,1876.6,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1949,1416.1,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1950,1311.9,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1951,1704.1,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1952,1792.5,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1953,1811.3,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1954,1605.8,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1955,1429.0,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1956,2015.5,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1957,1053.1,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1958,1732.8,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1959,1467.3,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1960,1654.6,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1961,1741.4,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1962,1875.9,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1963,1328.8,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1964,1749.0,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1965,1930.1,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1966,1726.4,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1967,1724.0,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
