PERIOD,year,total_deficit_mm,rain_days_count,total_runoff_mm,total_rainfall_mm,station_id,station_name,month_name,load_timestamp,month_number
April,1984,36.2,9.0,0.0,26.0,4960,NIWA Station 4960,April,2025-08-01 09:46:31.021708,4
April,1986,28.2,5.0,0.0,12.2,4960,NIWA Station 4960,April,2025-08-01 09:46:31.021708,4
April,1987,32.2,9.0,0.0,31.6,4960,NIWA Station 4960,April,2025-08-01 09:46:31.021708,4
April,1988,18.8,9.0,0.0,20.0,4960,NIWA Station 4960,April,2025-08-01 09:46:31.021708,4
April,1991,,,0.0,,4960,NIWA Station 4960,April,2025-08-01 09:46:31.021708,4
April,1992,0.0,11.0,0.0,32.6,4960,NIWA Station 4960,April,2025-08-01 09:46:31.021708,4
April,1994,,,0.0,,4960,NIWA Station 4960,April,2025-08-01 09:46:31.021708,4
April,1995,8.1,18.0,0.0,43.0,4960,NIWA Station 4960,April,2025-08-01 09:46:31.021708,4
April,1996,,11.0,,107.8,4960,NIWA Station 4960,April,2025-08-01 09:46:31.021708,4
April,1997,,,0.0,,4960,NIWA Station 4960,April,2025-08-01 09:46:31.021708,4
April,1999,,13.0,,63.2,4960,NIWA Station 4960,April,2025-08-01 09:46:31.021708,4
April,2000,4.0,16.0,0.0,58.0,4960,NIWA Station 4960,April,2025-08-01 09:46:31.021708,4
April,2001,28.4,5.0,0.0,11.6,4960,NIWA Station 4960,April,2025-08-01 09:46:31.021708,4
April,2002,0.0,14.0,0.0,118.0,4960,NIWA Station 4960,April,2025-08-01 09:46:31.021708,4
April,2003,0.0,9.0,79.8,162.6,4960,NIWA Station 4960,April,2025-08-01 09:46:31.021708,4
April,2004,0.0,14.0,0.0,51.6,4960,NIWA Station 4960,April,2025-08-01 09:46:31.021708,4
April,2005,5.4,10.0,0.0,68.0,4960,NIWA Station 4960,April,2025-08-01 09:46:31.021708,4
April,2006,14.7,14.0,0.0,61.2,4960,NIWA Station 4960,April,2025-08-01 09:46:31.021708,4
April,2007,6.7,14.0,0.0,65.6,4960,NIWA Station 4960,April,2025-08-01 09:46:31.021708,4
April,2008,9.3,15.0,0.0,48.0,4960,NIWA Station 4960,April,2025-08-01 09:46:31.021708,4
April,2009,31.0,9.0,0.0,33.0,4960,NIWA Station 4960,April,2025-08-01 09:46:31.021708,4
April,2010,,7.0,,26.8,4960,NIWA Station 4960,April,2025-08-01 09:46:31.021708,4
April,2011,1.6,12.0,0.0,81.0,4960,NIWA Station 4960,April,2025-08-01 09:46:31.021708,4
April,2012,14.9,8.0,0.0,34.6,4960,NIWA Station 4960,April,2025-08-01 09:46:31.021708,4
April,2013,1.5,12.0,0.0,66.1,4960,NIWA Station 4960,April,2025-08-01 09:46:31.021708,4
April,2015,,,0.0,,4960,NIWA Station 4960,April,2025-08-01 09:46:31.021708,4
April,2016,48.4,6.0,0.0,9.4,4960,NIWA Station 4960,April,2025-08-01 09:46:31.021708,4
April,2017,,,0.0,,4960,NIWA Station 4960,April,2025-08-01 09:46:31.021708,4
April,2019,,,0.0,,4960,NIWA Station 4960,April,2025-08-01 09:46:31.021708,4
April,2020,18.2,9.0,0.0,21.4,4960,NIWA Station 4960,April,2025-08-01 09:46:31.021708,4
