PERIOD,year,total_deficit_mm,rain_days_count,total_runoff_mm,total_rainfall_mm,station_id,station_name,month_name,load_timestamp,month_number
April,1933,,,,135.9,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1934,,,,127.0,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1935,,,,120.7,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1936,,,,80.8,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1937,,,,162.6,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1938,,,,151.9,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1939,,,,103.6,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1940,,,,73.9,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1941,,,,71.6,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1942,,,,100.6,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1943,,,,113.5,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1944,,,,116.8,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1945,,,,106.4,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1946,,,,179.1,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1947,,,,197.6,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1948,,,,160.0,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1949,,,,143.0,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1950,,,,164.1,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1951,,,,234.7,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1952,,,,79.0,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1953,,,,185.9,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1954,,,,203.2,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1955,,,,45.5,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1956,,,,348.0,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1957,,,,44.5,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1958,,,,89.7,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1959,,,0.0,141.0,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1960,,,,137.4,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1961,,,,140.0,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1962,,,,215.9,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1963,,,0.0,125.0,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1964,,,,55.1,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1965,,,,127.0,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1966,,,,101.6,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1967,,,0.0,59.9,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1968,,,,297.9,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1969,4.5,22.0,7.7,176.6,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1970,0.0,14.0,0.0,82.5,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1971,0.0,19.0,0.0,88.2,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1972,,,,152.0,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1973,12.3,18.0,0.0,84.3,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1974,,19.0,,147.0,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1975,0.0,15.0,5.9,118.2,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1976,0.0,13.0,0.0,108.2,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1977,17.0,24.0,0.0,118.8,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1978,19.8,19.0,92.2,255.8,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1979,0.0,14.0,84.7,154.0,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
April,1980,0.0,12.0,45.9,133.8,1464,NIWA Station 1464,April,2025-08-01 09:46:31.000251,4
