year,mean_temperature_c,extreme_grass_min_c,earth_temperature_10cm_c,temperature_std_dev,ground_frost_days,station_id,station_name,load_timestamp
1947,13.4,-5.1,13.6,3.9,25.0,2109,NIWA Station 2109,2025-08-01 09:46:31.042913
1948,13.7,-5.7,13.7,4.2,23.0,2109,NIWA Station 2109,2025-08-01 09:46:31.042913
1949,13.4,-5.5,,3.5,16.0,2109,NIWA Station 2109,2025-08-01 09:46:31.042913
1950,13.8,-5.6,13.9,3.9,41.0,2109,NIWA Station 2109,2025-08-01 09:46:31.042913
1951,,-6.3,13.2,,57.0,2109,NIWA Station 2109,2025-08-01 09:46:31.042913
1952,13.4,-5.2,13.4,3.8,34.0,2109,NIWA Station 2109,2025-08-01 09:46:31.042913
1953,,-6.2,13.7,,26.0,2109,NIWA Station 2109,2025-08-01 09:46:31.042913
1954,14.0,-6.9,14.0,4.2,30.0,2109,NIWA Station 2109,2025-08-01 09:46:31.042913
1955,,-5.3,14.5,,29.0,2109,NIWA Station 2109,2025-08-01 09:46:31.042913
1956,,-4.6,14.0,,16.0,2109,NIWA Station 2109,2025-08-01 09:46:31.042913
1957,13.6,-5.1,13.6,4.1,22.0,2109,NIWA Station 2109,2025-08-01 09:46:31.042913
1958,14.0,-5.3,14.0,4.3,22.0,2109,NIWA Station 2109,2025-08-01 09:46:31.042913
1959,13.4,-4.7,13.7,4.4,21.0,2109,NIWA Station 2109,2025-08-01 09:46:31.042913
1960,13.5,-5.1,13.6,3.9,20.0,2109,NIWA Station 2109,2025-08-01 09:46:31.042913
1961,13.6,-4.0,13.9,4.1,24.0,2109,NIWA Station 2109,2025-08-01 09:46:31.042913
1962,14.4,-5.3,14.2,4.0,13.0,2109,NIWA Station 2109,2025-08-01 09:46:31.042913
1963,13.4,-4.8,13.4,4.2,31.0,2109,NIWA Station 2109,2025-08-01 09:46:31.042913
1964,13.3,-4.6,13.3,3.8,16.0,2109,NIWA Station 2109,2025-08-01 09:46:31.042913
1965,13.0,-4.9,13.0,4.2,40.0,2109,NIWA Station 2109,2025-08-01 09:46:31.042913
1966,13.3,-5.8,13.1,4.4,44.0,2109,NIWA Station 2109,2025-08-01 09:46:31.042913
1967,13.4,-6.6,13.4,4.2,43.0,2109,NIWA Station 2109,2025-08-01 09:46:31.042913
1968,13.4,-4.9,13.6,4.2,23.0,2109,NIWA Station 2109,2025-08-01 09:46:31.042913
1969,13.3,-7.1,13.7,4.1,40.0,2109,NIWA Station 2109,2025-08-01 09:46:31.042913
1970,14.3,-4.9,,4.4,37.0,2109,NIWA Station 2109,2025-08-01 09:46:31.042913
1971,14.5,-4.0,14.4,4.0,31.0,2109,NIWA Station 2109,2025-08-01 09:46:31.042913
1972,13.5,-5.5,13.8,4.2,44.0,2109,NIWA Station 2109,2025-08-01 09:46:31.042913
1973,14.3,-11.7,14.4,4.1,38.0,2109,NIWA Station 2109,2025-08-01 09:46:31.042913
1974,14.6,-5.5,14.5,4.3,31.0,2109,NIWA Station 2109,2025-08-01 09:46:31.042913
1975,14.0,-5.5,13.8,4.3,32.0,2109,NIWA Station 2109,2025-08-01 09:46:31.042913
1976,13.3,-6.5,13.2,4.0,28.0,2109,NIWA Station 2109,2025-08-01 09:46:31.042913
1977,13.3,-3.7,13.0,3.9,30.0,2109,NIWA Station 2109,2025-08-01 09:46:31.042913
1978,14.3,-5.9,14.0,4.3,,2109,NIWA Station 2109,2025-08-01 09:46:31.042913
1979,14.2,-5.8,14.1,4.0,18.0,2109,NIWA Station 2109,2025-08-01 09:46:31.042913
1980,,,13.5,,,2109,NIWA Station 2109,2025-08-01 09:46:31.042913
1981,14.5,-4.6,14.0,4.4,33.0,2109,NIWA Station 2109,2025-08-01 09:46:31.042913
1982,13.2,-6.9,13.2,4.2,35.0,2109,NIWA Station 2109,2025-08-01 09:46:31.042913
1983,,-5.3,13.9,,,2109,NIWA Station 2109,2025-08-01 09:46:31.042913
