month_name,year,station_id,station_name,load_timestamp,month_number,mean_temperature_c
April,1947,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,1.9
April,1948,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,2.8
April,1949,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,1.8
April,1950,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,2.1
April,1951,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,2.1
April,1952,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,1.8
April,1953,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,2.0
April,1954,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,2.7
April,1955,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,2.3
April,1956,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,1.6
April,1957,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,1.9
April,1958,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,1.8
April,1959,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,1.9
April,1960,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,2.0
April,1961,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,2.4
April,1962,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,2.7
April,1963,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,2.4
April,1964,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,2.7
April,1965,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,1.6
April,1966,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,1.8
April,1967,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,2.4
April,1968,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,3.1
April,1969,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,3.3
April,1970,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,2.1
April,1971,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,1.4
April,1972,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,2.4
April,1973,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,2.0
April,1974,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,3.3
April,1975,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,2.3
April,1976,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,1.9
April,1977,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,2.6
April,1978,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,1.6
April,1979,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,1.9
April,1980,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,1.8
April,1981,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,1.7
April,1982,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,1.8
April,1983,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,2.4
April,1984,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,4,2.1
April,1984,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,2.3
April,1985,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,2.8
April,1986,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,2.6
April,1987,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,2.9
April,1988,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,2.6
April,1989,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,2.3
April,1990,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,3.4
April,1991,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,3.3
April,1992,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,2.2
April,1993,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,3.0
April,1995,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,2.5
April,1996,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,2.0
April,1997,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,3.2
April,1998,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,2.5
April,1999,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,2.8
April,2000,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,2.3
April,2001,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,2.6
April,2002,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,2.6
April,2003,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,2.0
April,2004,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,3.0
April,2005,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,2.8
April,2006,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,2.5
April,2007,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,2.3
April,2008,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,2.5
April,2009,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,3.4
April,2010,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,2.8
April,2011,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,2.9
April,2012,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,1.8
April,2013,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,2.6
April,2015,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,3.6
April,2016,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,2.1
April,2017,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,2.6
April,2018,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,3.4
April,2019,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,2.5
April,2020,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,2.3
April,2021,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,3.1
April,2022,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,2.0
April,2023,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,1.9
April,2024,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,2.4
April,2025,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,4,2.6
August,1947,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,2.3
August,1948,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,1.8
August,1949,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,1.8
August,1950,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,2.0
August,1951,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,1.9
August,1952,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,1.9
August,1953,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,1.8
August,1954,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,2.1
August,1955,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,2.3
August,1956,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,2.0
August,1957,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,2.2
August,1958,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,2.6
August,1959,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,1.7
August,1960,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,1.8
August,1961,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,1.9
August,1962,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,2.0
August,1963,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,1.7
August,1964,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,1.4
August,1965,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,3.0
August,1966,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,2.2
August,1967,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,2.2
August,1968,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,1.7
August,1969,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,2.3
August,1970,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,2.3
August,1971,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,2.3
August,1972,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,2.2
August,1973,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,2.0
August,1974,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,1.5
August,1975,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,2.2
August,1976,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,1.5
August,1977,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,2.4
August,1978,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,1.7
August,1979,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,2.0
August,1980,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,2.2
August,1981,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,1.8
August,1982,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,1.5
August,1983,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,1.9
August,1984,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,8,1.9
August,1984,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,8,2.7
August,1985,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,8,2.2
August,1986,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,8,2.0
August,1987,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,8,1.3
August,1988,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,8,2.3
August,1989,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,8,2.3
August,1990,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,8,2.0
August,1993,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,8,1.8
August,1995,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,8,2.6
August,1996,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,8,2.0
August,1997,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,8,3.1
August,1998,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,8,2.5
August,1999,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,8,1.9
August,2000,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,8,2.2
August,2001,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,8,2.3
August,2002,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,8,2.7
August,2003,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,8,1.8
August,2004,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,8,2.4
August,2005,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,8,2.1
August,2006,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,8,3.1
August,2007,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,8,2.3
August,2008,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,8,1.9
August,2009,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,8,1.8
August,2010,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,8,1.9
August,2011,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,8,3.0
August,2012,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,8,1.9
August,2013,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,8,1.6
