report_year,report_date,period_type,visitor_arrivals,data_source,dataset_description,load_timestamp
1923,1923-12-31,Annual,11618,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1924,1924-12-31,Annual,11325,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1925,1925-12-31,Annual,12046,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1926,1926-12-31,Annual,13372,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1927,1927-12-31,Annual,12847,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1928,1928-12-31,Annual,13588,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1929,1929-12-31,Annual,12970,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1930,1930-12-31,Annual,11203,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1931,1931-12-31,Annual,7615,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1932,1932-12-31,Annual,7283,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1933,1933-12-31,Annual,8955,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1934,1934-12-31,Annual,10880,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1935,1935-12-31,Annual,11837,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1936,1936-12-31,Annual,14390,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1937,1937-12-31,Annual,16031,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1938,1938-12-31,Annual,16424,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1939,1939-12-31,Annual,14151,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1940,1940-12-31,Annual,7392,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1941,1941-12-31,Annual,4462,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1942,1942-12-31,Annual,1334,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1943,1943-12-31,Annual,1676,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1944,1944-12-31,Annual,3453,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1945,1945-12-31,Annual,3650,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1946,1946-12-31,Annual,8672,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1947,1947-12-31,Annual,10530,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1948,1948-12-31,Annual,10952,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1949,1949-12-31,Annual,13559,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1950,1950-12-31,Annual,16516,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1951,1951-12-31,Annual,16473,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1952,1952-12-31,Annual,18615,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1953,1953-12-31,Annual,18719,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1954,1954-12-31,Annual,20911,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1955,1955-12-31,Annual,23558,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1956,1956-12-31,Annual,26913,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1957,1957-12-31,Annual,29062,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1958,1958-12-31,Annual,30780,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1959,1959-12-31,Annual,34205,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1960,1960-12-31,Annual,39134,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1961,1961-12-31,Annual,49029,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1962,1962-12-31,Annual,56925,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1963,1963-12-31,Annual,65520,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1964,1964-12-31,Annual,75929,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1965,1965-12-31,Annual,94242,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1966,1966-12-31,Annual,108095,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1967,1967-12-31,Annual,119484,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1968,1968-12-31,Annual,130054,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1969,1969-12-31,Annual,148109,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1970,1970-12-31,Annual,177580,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1971,1971-12-31,Annual,219489,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1972,1972-12-31,Annual,242462,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1973,1973-12-31,Annual,297581,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1974,1974-12-31,Annual,348942,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1975,1975-12-31,Annual,377534,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1976,1976-12-31,Annual,384030,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1977,1977-12-31,Annual,389504,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1978,1978-12-31,Annual,406976,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1979,1979-12-31,Annual,432382,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1980,1980-12-31,Annual,465163,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1981,1981-12-31,Annual,478037,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1982,1982-12-31,Annual,481726,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1983,1983-12-31,Annual,508465,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1984,1984-12-31,Annual,567611,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1985,1985-12-31,Annual,669558,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1986,1986-12-31,Annual,733424,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1987,1987-12-31,Annual,844313,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1988,1988-12-31,Annual,864892,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1989,1989-12-31,Annual,901078,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1990,1990-12-31,Annual,976010,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1991,1991-12-31,Annual,963470,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1992,1992-12-31,Annual,1055681,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1993,1993-12-31,Annual,1156978,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1994,1994-12-31,Annual,1322565,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1995,1995-12-31,Annual,1408795,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1996,1996-12-31,Annual,1528720,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1997,1997-12-31,Annual,1497225,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1998,1998-12-31,Annual,1484739,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
1999,1999-12-31,Annual,1607478,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
2000,2000-12-31,Annual,1789078,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
2001,2001-12-31,Annual,1909809,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
2002,2002-12-31,Annual,2044962,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
2003,2003-12-31,Annual,2106229,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
2004,2004-12-31,Annual,2347672,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
2005,2005-12-31,Annual,2382950,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
2006,2006-12-31,Annual,2421561,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
2007,2007-12-31,Annual,2465680,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
2008,2008-12-31,Annual,2458503,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
2009,2009-12-31,Annual,2458382,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
2010,2010-12-31,Annual,2525044,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
2011,2011-12-31,Annual,2601444,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
2012,2012-12-31,Annual,2564618,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
2013,2013-12-31,Annual,2717695,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
2014,2014-12-31,Annual,2857400,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
2015,2015-12-31,Annual,3131927,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
2016,2016-12-31,Annual,3499939,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
2017,2017-12-31,Annual,3733707,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
2018,2018-12-31,Annual,3863217,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
2019,2019-12-31,Annual,3888473,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
2020,2020-12-31,Annual,996350,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
2021,2021-12-31,Annual,206862,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
2022,2022-12-31,Annual,1433832,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
2023,2023-12-31,Annual,2956940,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
2024,2024-12-31,Annual,3313802,Stats NZ ITM475712,Visitor arrival total - month ended annuals,2025-08-03
